Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;KANDIDACIJSKA LISTA GRUPE BIRAČA -  RADE BILIĆ;DOMOVINSKI POKRET - DP;"HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, STJEPAN KOŽIĆ - NEZAVISNA LISTA - SKNL, ""BANDIĆ MILAN 365 - STRANKA RADA I SOLIDARNOSTI"" - ""365 STRANKA RADA I SOLIDARNOSTI"", HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA DEMOKRŠĆANSKA STRANKA - HDS, HRVATSKA SELJAČKA STRANKA BRAĆE RADIĆ - HSS BRAĆE RADIĆ";HRVATSKA RADIĆEVSKA STRANKA - HRS;HRVATSKA SELJAČKA STRANKA - HSS, BLOK UMIROVLJENICI ZAJEDNO - BUZ;HRVATSKA STRANKA PRAVA - HSP;KANDIDACIJSKA LISTA GRUPE BIRAČA -  SINIŠA KLJAJIĆ;MOST;KANDIDACIJSKA LISTA GRUPE BIRAČA -  NENAD PANIAN;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;001;DUGO SELO - ZAPAD I;OSNOVNA ŠKOLA IVAN BENKOVIĆ;DUGO SELO, HRVATSKOG PREPORODA 68;807;297;297;296;1;2;26;76;6;45;1;30;12;81;17
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;002;DUGO SELO - ZAPAD II;ZGRADA GLAZBENE ŠKOLE;DUGO SELO, ZAGREBAČKA ULICA 24;685;231;231;227;4;9;17;88;3;9;2;17;5;67;10
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;003;DUGO SELO - ZAPAD III;ZGRADA GLAZBENE ŠKOLE;DUGO SELO, ZAGREBAČKA ULICA 24;788;325;325;317;8;6;17;71;4;16;7;46;6;124;20
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;004;DUGO SELO - ZAPAD IV;ZGRADA GLAZBENE ŠKOLE;DUGO SELO, ZAGREBAČKA ULICA 24;767;276;276;265;11;7;24;63;4;4;1;45;11;74;32
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;005;DUGO SELO - JUG I;OSNOVNA ŠKOLA IVAN BENKOVIĆ;DUGO SELO, HRVATSKOG PREPORODA 68;1007;287;287;283;4;7;20;89;5;18;1;30;6;73;34
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;006;DUGO SELO - JUG II;GRADSKA VIJEĆNICA GRADA DUGOG SELA;DUGO SELO, JOSIPA ZORIĆA 1;820;260;260;251;9;7;12;62;3;5;5;30;12;73;42
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;007;DUGO SELO - JUG III;OSNOVNA ŠKOLA IVAN BENKOVIĆ;DUGO SELO, HRVATSKOG PREPORODA 68;860;283;283;280;3;5;12;54;4;18;1;64;8;80;34
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;008;DUGO SELO - SJEVER I;ZGRADA PUČKOG OTVORENOG UČILIŠTA-PRIZEMLJE;DUGO SELO, JOSIPA ZORIĆA 21 A;677;275;275;267;8;19;8;70;7;1;0;37;11;82;32
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;009;DUGO SELO - SJEVER II;ZGRADA PUČKOG OTVORENOG UČILIŠTA-PRIZEMLJE;DUGO SELO, JOSIPA ZORIĆA 21 A;737;277;277;268;9;20;14;70;4;3;5;51;7;68;26
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;010;DUGO SELO - SJEVER III;SREDNJA ŠKOLA DUGO SELO;DUGO SELO, STJEPANA FERENČAKA 25;578;217;217;209;8;8;14;40;1;4;9;53;6;56;18
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;011;DUGO SELO - SJEVER IV;SREDNJA ŠKOLA DUGO SELO;DUGO SELO, STJEPANA FERENČAKA 25;522;217;217;213;4;3;14;56;3;12;7;21;14;59;24
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;012;DUGO SELO - ISTOK I;OSNOVNA ŠKOLA JOSIPA ZORIĆA;DUGO SELO, JOSIPA ZORIĆA 86;730;306;306;298;8;11;19;87;2;9;5;84;14;39;28
