Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;"""BANDIĆ MILAN 365 - STRANKA RADA I SOLIDARNOSTI"" - ""365 STRANKA RADA I SOLIDARNOSTI"", HRVATSKA STRANKA PRAVA - HSP, HRVATSKA SELJAČKA STRANKA BRAĆE RADIĆ - HSS BRAĆE RADIĆ";DOMOVINSKI POKRET - DP;FOKUS;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, NARODNA STRANKA - REFORMISTI - REFORMISTI, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA STRANKA UMIROVLJENIKA - HSU;HRVATSKA SELJAČKA STRANKA - HSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP;STJEPAN KOŽIĆ - NEZAVISNA LISTA - SKNL
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;001;IVANIĆ-GRAD - JALŠEVEC BREŠKI;DRUŠTVENI DOM U JALŠEVCU BREŠKOM;IVANIĆ-GRAD;584;258;258;243;15;8;22;17;107;7;43;39
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;002;OPATINEC;DRUŠTVENI DOM OPATINEC;OPATINEC;352;129;129;125;4;13;9;11;57;4;24;7
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;003;IVANIĆ-GRAD - LONJA;DRUŠTVENI DOM LONJA;STJEPANA GREGORKA BB, IVANIĆ-GRAD;1112;422;422;396;26;13;28;17;247;3;54;34
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;004;IVANIĆ-GRAD - POLJANA 1;UČENIČKI DOM;ULICA SLOBODE BB, IVANIĆ-GRAD;579;244;244;232;12;6;4;14;97;7;82;22
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;005;TREBOVEC;DRUŠTVENI DOM TREBOVEC;TREBOVEC;301;81;81;80;1;5;3;2;32;4;14;20
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;006;POSAVSKI BREGI;DRUŠTVENI DOM POSAVSKI BREGI;POSAVSKI BREGI;733;233;233;227;6;12;26;13;114;21;29;12
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;007;GREDA BREŠKA;DRUŠTVENI DOM GREDA BREŠKA;GREDA BREŠKA;276;103;103;96;7;5;7;9;45;6;17;7
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;008;LIJEVI DUBROVČAK;STARA ŠKOLA;LIJEVI DUBROVČAK;373;165;165;159;6;10;4;7;67;28;21;22
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;009;PREROVEC;DRUŠTVENI DOM PREROVEC;PREROVEC;84;31;31;31;0;3;3;1;4;10;3;7
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;010;PREČNO;DRUŠTVENI DOM PREČNO;PREČNO;64;17;17;17;0;0;0;2;7;3;5;0
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;011;CAGINEC;DRUŠTVENI DOM CAGINEC;CAGINEC;820;260;260;242;18;3;17;17;129;10;44;22
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;012;GRABERJE IVANIĆKO;DRUŠTVENI DOM GRABERJE IVANIĆKO;ZAGREBAČKA UL. BB, GRABERJE IVANIĆKO;768;223;223;218;5;6;28;14;80;6;58;26
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;013;ŠUMEĆANI;DRUŠTVENI DOM ŠUMEĆANI;ŠUMEĆANI;394;122;122;120;2;1;9;1;77;4;19;9
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;014;DEANOVEC;DRUŠTVENI DOM DEANOVEC;DEANOVEC;464;207;207;198;9;4;10;10;124;10;34;6
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;015;IVANIĆ-GRAD - ŠARAMPOV GORNJI 1;"O.Š.""STJEPANA BASARIČEKA""";UL. MILKE TRNINE BB, IVANIĆ-GRAD;855;373;373;359;14;11;20;22;180;11;86;29
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;016;IVANIĆ-GRAD - ŠARAMPOV GORNJI 2;"SPOMEN DOM ""A. VULINCA"" - I. KAT";BELICEVA 1, IVANIĆ-GRAD;1192;405;405;393;12;21;29;29;198;8;70;38
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;017;IVANIĆ-GRAD - CENTAR 1;MALA SALA PUČKOG OTVORENOG UČILIŠTA;MOSLAVAČKA 11, IVANIĆ-GRAD;552;260;260;242;18;9;9;19;116;8;66;15
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;018;IVANIĆ-GRAD - CENTAR 2;DOM UMIROVLJENIKA;UL. KRALJA TOMISLAVA BB, IVANIĆ-GRAD;896;386;386;375;11;8;29;41;166;2;96;33
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;019;IVANIĆ-GRAD - POLJANA 2;DRUŠTVENI DOM POLJANA;SAVSKA BB, IVANIĆ-GRAD;724;293;293;277;16;24;19;29;131;7;45;22
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;020;IVANIĆ-GRAD - DONJI ŠARAMPOV;DRUŠTVENI DOM;MAJDEKOVA BB, DONJI ŠARAMPOV;545;208;208;195;13;9;9;18;92;19;33;15
01;ZAGREBAČKA ŽUPANIJA;grad;IVANIĆ-GRAD;021;IVANIĆ-GRAD - ŠARAMPOV GORNJI 3;SPORTSKA DVORANA ŽERAVINEC;MILKE TRNINE BB, IVANIĆ-GRAD;587;227;227;219;8;5;15;6;119;9;54;11
