Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ANDREJ KRLIN;ZVONIMIR NOVOSEL;ROMAN RODIĆ;MICHAEL SHARP;KRUNOSLAV TANDARIĆ
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;001;BREZNIK PLEŠIVIČKI;KUĆA STJEPANA SLEMENŠEKA - GARAŽA;BREZNIK PLEŠIVIČKI 43;114;66;66;64;2;11;39;2;3;9
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;002;DONJI DESINEC;DOM DVD;DONJI DESINEC;669;300;300;295;5;64;149;42;12;28
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;003;GORNJI DESINEC;DOM DVD;GORNJI DESINEC;811;345;345;338;7;76;196;10;28;28
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;004;LOKOŠIN DOL;"PROSTORIJE ""MOTO CROSS KLUBA JASKA"", MLADINA";MLADINA;83;45;45;45;0;6;32;1;0;6
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;005;VLAŠKOVEC;KUĆA BRANKICE KOPIĆ, VLAŠKOVEC 31.;VLAŠKOVEC;95;44;44;41;3;7;24;2;3;5
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;006;STANKOVO;DOM DVD;STANKOVO;296;161;161;155;6;24;80;5;9;37
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;007;DONJA REKA;"PROSTORIJE TRGOVINE ""IVANČIĆ"", VL. MIRJANA IVANČIĆ";DONJA REKA 35 A;284;164;164;163;1;36;95;8;5;19
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;008;GORNJA REKA;DOM DVD;GORNJA REKA;320;157;157;154;3;26;99;7;4;18
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;009;ZDIHOVO;DOM DVD;ZDIHOVO;136;76;76;76;0;24;35;2;2;13
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;010;PAVLOVČANI I;DRUŠTVENI DOM;PAVLOVČANI;101;60;60;58;2;1;17;1;0;39
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;011;PAVLOVČANI II;DRUŠTVENI DOM;PAVLOVČANI;147;90;90;89;1;20;46;2;1;20
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;012;PLEŠIVICA;DOM DVD PLEŠIVICA;PLEŠIVICA;259;130;130;128;2;27;85;4;2;10
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;013;PRILIPJE;DRUŠTVENI DOM;PRILIPJE;178;120;120;118;2;51;48;2;5;12
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;014;VRANOV DOL;DOM DVD;VRANOV DOL;123;80;80;80;0;27;36;2;5;10
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;015;JURJEVČANI;DRUŠTVENI DOM;JURJEVČANI;73;42;42;39;3;12;19;0;0;8
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;016;MALUNJE I;DOM DVD;MALUNJE;179;97;97;93;4;24;50;2;7;10
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;017;MALUNJE II;DOM DVD;MALUNJE;150;83;83;82;1;33;34;2;3;10
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;018;ČRNILOVEC;DOM DVD;ČRNILOVEC;111;63;63;63;0;15;31;1;9;7
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;019;CVETKOVIĆ;DOM DVD;CVETKOVIĆ;520;249;249;242;7;89;103;13;18;19
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;020;ČABDIN;DOM DVD;ČABDIN;123;71;71;70;1;21;31;4;7;7
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;021;CRNA MLAKA;"ZGRADA TVRTKE ""IHOR PARK""";CRNA MLAKA;22;14;14;14;0;4;7;1;0;2
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;022;BREBROVAC;DRUŠTVENI DOM;BREBROVAC;83;45;45;45;0;20;20;2;1;2
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;023;PETROVINA;DOM DVD;PETROVINA;353;179;179;169;10;48;102;6;5;8
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;024;DRAGOVANŠČAK;"PROSTORIJE MNK ""PRIGORAC""";DRAGOVANŠČAK;131;46;46;46;0;9;30;2;2;3
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;025;SLAVETIĆ;"PROSTORIJE MNK ""SLAVETIĆ""";SLAVETIĆ;63;37;37;37;0;12;24;1;0;0
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;026;HRAŠĆA;DRUŠTVENI DOM;HRAŠĆA;95;49;49;48;1;22;24;0;0;2
01;ZAGREBAČKA ŽUPANIJA;grad;JASTREBARSKO;027;BELČIĆI;DOM DVD;BELČIĆI;164;54;54;52;2;29;20;0;1;2
