Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DAMIR-KRISTIJAN ROGINA;MILJENKO VUČKOVIĆ
01;ZAGREBAČKA ŽUPANIJA;općina;KLINČA SELA;001;BIRAČKO MJESTO BR. 1 - BETER I;DOM DVD;BETER;268;130;130;121;9;39;82
01;ZAGREBAČKA ŽUPANIJA;općina;KLINČA SELA;002;BIRAČKO MJESTO BR. 2 - BETER II;KUĆA JOSIPA KUFRINA;GORNJA PURGARIJA 9;56;40;40;40;0;13;27
01;ZAGREBAČKA ŽUPANIJA;općina;KLINČA SELA;003;BIRAČKO MJESTO BR. 3 - BETER III;KUĆA FRANJE KELEČIĆA;NOVO SELO OKIĆKO 14;167;95;95;91;4;32;59
01;ZAGREBAČKA ŽUPANIJA;općina;KLINČA SELA;004;BIRAČKO MJESTO BR. 4 - DONJA ZDENČINA I;DOM DVD;DONJA ZDENČINA;301;147;147;140;7;50;90
01;ZAGREBAČKA ŽUPANIJA;općina;KLINČA SELA;005;BIRAČKO MJESTO BR. 5 - DONJA ZDENČINA II;SLUŽBENE PROSTORIJE MO DONJA ZDENČINA U SKLOPU PROSTORA NK ZDENČINA;DONJA ZDENČINA, VLADIMIRA NAZORA 41;536;241;241;221;20;116;105
01;ZAGREBAČKA ŽUPANIJA;općina;KLINČA SELA;006;BIRAČKO MJESTO BR. 6 - GOLI VRH;DOM DVD GOLI VRH;GOLI VRH;223;108;108;101;7;33;68
01;ZAGREBAČKA ŽUPANIJA;općina;KLINČA SELA;007;BIRAČKO MJESTO BR. 7 - GORNJA ZDENČINA;DOM DVD;GORNJA ZDENČINA;127;83;83;82;1;28;54
01;ZAGREBAČKA ŽUPANIJA;općina;KLINČA SELA;008;BIRAČKO MJESTO BR. 8 - KLINČA SELA I;DRUŠTVENI DOM;KLINČA SELA;1023;406;406;389;17;164;225
01;ZAGREBAČKA ŽUPANIJA;općina;KLINČA SELA;009;BIRAČKO MJESTO BR. 9 - KLINČA SELA II;DRUŠTVENI DOM;KLINČA SELA;542;273;273;267;6;124;143
01;ZAGREBAČKA ŽUPANIJA;općina;KLINČA SELA;010;BIRAČKO MJESTO BR. 10 -  KLINČA SELA III;KUĆA NEVENKA HLEBETINE;TRŽIĆ 5;97;39;39;34;5;19;15
01;ZAGREBAČKA ŽUPANIJA;općina;KLINČA SELA;011;BIRAČKO MJESTO BR. 11- KUPINEC I;STARA ŠKOLA;KUPINEC;289;111;111;108;3;60;48
01;ZAGREBAČKA ŽUPANIJA;općina;KLINČA SELA;012;BIRAČKO MJESTO BR. 12 - KUPINEC II;NOVA ŠKOLA;KUPINEC;267;105;105;100;5;53;47
01;ZAGREBAČKA ŽUPANIJA;općina;KLINČA SELA;013;BIRAČKO MJESTO BR. 13 - KUPINEC III;KUĆA DRAŽENA GRADSKI;KUPINEC 198;105;54;54;49;5;35;14
01;ZAGREBAČKA ŽUPANIJA;općina;KLINČA SELA;014;BIRAČKO MJESTO BR. 14 - KUPINEC IV;KUĆA STJEPANA HORVATIĆA;KUPINEC 234;66;38;38;37;1;13;24
01;ZAGREBAČKA ŽUPANIJA;općina;KLINČA SELA;015;BIRAČKO MJESTO BR. 15- REPIŠĆE;DRUŠTVENI DOM;REPIŠĆE;311;160;160;158;2;35;123
01;ZAGREBAČKA ŽUPANIJA;općina;KLINČA SELA;016;BIRAČKO MJESTO BR. 16- KOZLIKOVO;KUĆA RUDAR ŽELJKA;KOZLIKOVO 20;130;72;72;69;3;23;46
