Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;JOSIP PETKOVIĆ FAJNIK
01;ZAGREBAČKA ŽUPANIJA;općina;KRAŠIĆ;001;BIRAČKO MJESTO BR.1 - BRLENIĆ;PROSTORIJE VATROGASNOG DOMA;BRLENIĆ;156;56;56;45;11;45
01;ZAGREBAČKA ŽUPANIJA;općina;KRAŠIĆ;002;BIRAČKO MJESTO BR.2 - MIRKOPOLJE;"PROSTORIJE LU ""FAZAN""";MIRKOPOLJE 49;73;26;26;23;3;23
01;ZAGREBAČKA ŽUPANIJA;općina;KRAŠIĆ;003;BIRAČKO MJESTO BR.3 - BREZARIĆ;KUĆA ŽUPANAC IVANA;BREZARIĆ 28;221;90;90;60;30;60
01;ZAGREBAČKA ŽUPANIJA;općina;KRAŠIĆ;004;BIRAČKO MJESTO BR.4 - KRAŠIĆ I;PROSTORIJE VATROGASNOG DOMA KRAŠIĆ;KRAŠIĆ 69 B;260;100;100;81;19;81
01;ZAGREBAČKA ŽUPANIJA;općina;KRAŠIĆ;005;BIRAČKO MJESTO BR.5 - KRAŠIĆ II;PROSTORIJE OPĆINE KRAŠIĆ;KRAŠIĆ 101;288;100;100;70;30;70
01;ZAGREBAČKA ŽUPANIJA;općina;KRAŠIĆ;006;BIRAČKO MJESTO BR.6 - HRŽENIK;KUĆA PETKOVIĆ IVANA;HRŽENIK 33;126;53;53;51;2;51
01;ZAGREBAČKA ŽUPANIJA;općina;KRAŠIĆ;007;BIRAČKO MJESTO BR.7 - PRIBIĆ;KUĆA TUŠETIĆ DAVORA;PRIBIĆ 86A;206;61;61;44;17;44
01;ZAGREBAČKA ŽUPANIJA;općina;KRAŠIĆ;008;BIRAČKO MJESTO BR.8 - PUŠKAROV JARAK;PROSTORIJE DRUŠTVENOG DOMA, PUŠKAROV JARAK;PUŠKAROV JARAK;213;75;75;58;17;58
01;ZAGREBAČKA ŽUPANIJA;općina;KRAŠIĆ;009;BIRAČKO MJESTO BR.9 - PRIBIĆ CRKVENI;PROSTORIJE MJESNOG ODBORA PRIBIĆ;PRIBIĆ CRKVENI 28 C;344;77;77;61;16;61
01;ZAGREBAČKA ŽUPANIJA;općina;KRAŠIĆ;010;BIRAČKO MJESTO BR.10 - DONJE PREKRIŽJE;PROSTORIJE DRUŠTVENOG DOMA, DONJE PREKRIŽJE;DONJE PREKRIŽJE 2;114;52;52;47;5;47
01;ZAGREBAČKA ŽUPANIJA;općina;KRAŠIĆ;011;BIRAČKO MJESTO BR.11 - JEZERINE;KUĆA LJUBOMIRA JEZERINCA;JEZERINE 1;51;23;23;19;4;19
01;ZAGREBAČKA ŽUPANIJA;općina;KRAŠIĆ;012;BIRAČKO MJESTO BR.12 - KONJARIĆ VRH;PROSTORIJE VATROGANOG DOMA;KONJARIĆ VRH;31;10;10;8;2;8
