Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA STRANKA PRAVA - HSP;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  DOMINIK KRAMARIÆ
01;ZAGREBAÈKA ŽUPANIJA;opæina;PISAROVINA;001;BIRAÈKO MJESTO BR.1 - PISAROVINA;ZGRADA OPÆINE;TRG HRVATSKIH VELIKANA 1, PISAROVINA;459;251;251;244;7;137;28;79
01;ZAGREBAÈKA ŽUPANIJA;opæina;PISAROVINA;002;BIRAÈKO MJESTO BR.2 - VELIKA JAMNIÈKA;KUÆA STJEPANA POLDRUGAÈ;VELIKA JAMNIÈKA 9 A;170;85;85;84;1;36;1;47
01;ZAGREBAÈKA ŽUPANIJA;opæina;PISAROVINA;003;BIRAÈKO MJESTO BR.3 - DVORANCI;KUÆA MARICE BRITVEC;DVORANCI 74;139;63;63;63;0;52;3;8
01;ZAGREBAÈKA ŽUPANIJA;opæina;PISAROVINA;004;BIRAÈKO MJESTO BR.4 - BRATINA;DRUŠTVENI DOM BRATINA;BRATINA;607;222;222;210;12;79;96;35
01;ZAGREBAÈKA ŽUPANIJA;opæina;PISAROVINA;005;BIRAÈKO MJESTO BR.5-BREGANA PISAROVINSKA;ZGRADA STARE ŠKOLE;BREGANA PISAROVINSKA;285;111;111;107;4;54;12;41
01;ZAGREBAÈKA ŽUPANIJA;opæina;PISAROVINA;006;BIRAÈKO MJESTO BR.6 - LIJEVO SREDIÈKO;DRUŠTVENI DOM LIJEVO SREDIÈKO;LIJEVO SREDIÈKO;176;77;77;77;0;44;4;29
01;ZAGREBAÈKA ŽUPANIJA;opæina;PISAROVINA;007;BIRAÈKO MJESTO BR.7 - GRADEC POKUPSKI;DRUŠTVENI DOM GRADEC POKUPSKI;GRADEC POKUPSKI;96;58;58;53;5;24;8;21
01;ZAGREBAÈKA ŽUPANIJA;opæina;PISAROVINA;008;BIRAÈKO MJESTO BR.8 - SELSKO BRDO;DRUŠTVENI DOM SELSKO BRDO (DVD);SELSKO BRDO;92;42;42;41;1;29;3;9
01;ZAGREBAÈKA ŽUPANIJA;opæina;PISAROVINA;009;BIRAÈKO MJESTO BR.9 - LUÈELNICA;DRUŠTVENI DOM LUÈELNICA;LUÈELNICA;237;109;109;109;0;69;8;32
01;ZAGREBAÈKA ŽUPANIJA;opæina;PISAROVINA;010;BIRAÈKO MJESTO BR.10 - DONJA KUPÈINA;DRUŠTVENI DOM DONJA KUPÈINA;DONJA KUPÈINA;786;248;248;242;6;112;48;82
