Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;"HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, ""BANDIĆ MILAN 365 - STRANKA RADA I SOLIDARNOSTI"" - ""365 STRANKA RADA I SOLIDARNOSTI""";HRVATSKA SELJAČKA STRANKA - HSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP;STJEPAN KOŽIĆ - NEZAVISNA LISTA - SKNL
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;001;PRESEKA;ZGRADA OPĆINE;PRESEKA 57;79;43;43;43;0;3;13;12;15
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;002;SLATINA;MJESNI DOM;SLATINA BB;89;46;46;45;1;9;20;5;11
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;003;KAMENICA;OBITELJSKA KUĆA MARIJA GUDIĆA;KAMENICA 12A;55;26;26;26;0;14;4;3;5
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;004;POGANČEC;MJESNI DOM;POGANČEC BB;67;47;47;46;1;4;37;2;3
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;005;ŠELOVEC;MJESNI DOM;ŠELOVEC BB;125;48;48;47;1;15;8;4;20
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;006;VINKOVEC;MJESNI DOM;VINKOVEC BB;142;65;65;65;0;3;14;11;37
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;007;KRUŠLJEVEC;OBITELJSKA KUĆA GUČANIN BOŽICE;KRUŠLJEVEC 30;47;31;31;31;0;4;7;3;17
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;008;GORNJAKI;OBITELJSKA KUĆA HABIJANEC SLAVKA;GORNJAKI 13;36;23;23;22;1;0;10;1;11
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;009;LEDINA;MJESNI DOM;LEDINA BB;134;63;63;62;1;13;26;7;16
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;010;KRALJEV VRH-STRMEC;VATROGASNI DOM;KRALJEV VRH 11;84;65;65;63;2;5;11;19;28
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;011;ŽABNJAK;OBITELJSKA KUĆA BERNARDICE KIŠUR;ŽABNJAK 26;46;18;18;18;0;0;4;6;8
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;012;DONJA VELIKA;KUĆA LEŠČIĆ ĐURE;DONJA VELIKA 26;48;18;18;16;2;1;3;1;11
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;013;SREDNJA VELIKA;OBITELJSKA KUĆA  HRGOVAN DAVORA;SREDNJA VELIKA 13A;32;14;14;14;0;0;7;0;7
01;ZAGREBAČKA ŽUPANIJA;općina;PRESEKA;014;GORNJA VELIKA;OBITELJSKA KUĆA STJEPANA ZAREPA;GORNJA VELIKA 12;47;30;30;30;0;0;5;5;20
