Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MATO ČIČAK;RUŽA MILETIĆ;ŽELJKO VOJKOVIĆ
01;ZAGREBAČKA ŽUPANIJA;općina;RUGVICA;001;SOP - HRUŠČICA;DOM U SOPI;SOP;509;225;225;219;6;156;15;48
01;ZAGREBAČKA ŽUPANIJA;općina;RUGVICA;002;OTOK SVIBOVSKI;DOM U OTOKU SVIBOVSKOM;OTOK SVIBOVSKI;1429;636;619;604;15;432;67;105
01;ZAGREBAČKA ŽUPANIJA;općina;RUGVICA;003;JALŠEVEC NARTSKI;DOM U JALŠEVCU NARTSKOM;JALŠEVEC NARTSKI;1938;746;746;730;16;592;61;77
01;ZAGREBAČKA ŽUPANIJA;općina;RUGVICA;004;RUGVICA;DRUŠTVENI DOM;TRG DR. FRANJE TUĐMANA 1, RUGVICA;1492;688;688;670;18;519;55;96
01;ZAGREBAČKA ŽUPANIJA;općina;RUGVICA;005;ČRNEC DUGOSELSKI;DOM U ČRNCU DUGOSELSKOM;ČRNEC DUGOSELSKI;177;97;97;94;3;32;46;16
01;ZAGREBAČKA ŽUPANIJA;općina;RUGVICA;006;ČRNEC RUGVIČKI;KUĆA HORVAT IVANA;ČRNEC RUGVIČKI, S. RADIĆA 7;65;40;40;39;1;25;11;3
01;ZAGREBAČKA ŽUPANIJA;općina;RUGVICA;007;JEŽEVO;DOM U JEŽEVU;JEŽEVO;378;208;208;208;0;125;25;58
01;ZAGREBAČKA ŽUPANIJA;općina;RUGVICA;008;OBEDIŠĆE JEŽEVSKO;DOM U OBEDIŠĆU JEŽEVSKOM;OBEDIŠĆE JEŽEVSKO;97;55;55;54;1;35;3;16
01;ZAGREBAČKA ŽUPANIJA;općina;RUGVICA;009;DONJA GREDA;DOM U DONJOJ GREDI;DONJA GREDA;102;67;67;64;3;20;20;24
01;ZAGREBAČKA ŽUPANIJA;općina;RUGVICA;010;NOVAKI OBOROVSKI;DOM U NOVAKIMA OBOROVSKIM;NOVAKI OBOROVSKI;247;117;117;114;3;75;4;35
01;ZAGREBAČKA ŽUPANIJA;općina;RUGVICA;011;PRESEKA OBOROVSKA;DOM U PRESEKI OBOROVSKOJ;PRESEKA OBOROVSKA;121;43;43;42;1;34;2;6
01;ZAGREBAČKA ŽUPANIJA;općina;RUGVICA;012;OBOROVO GORNJE;DOM  U RADIĆEVOJ ULICI;OBOROVO;201;77;77;71;6;49;9;13
01;ZAGREBAČKA ŽUPANIJA;općina;RUGVICA;013;OBOROVO DONJE;DOM U OBOROVU;OBOROVO;302;158;158;155;3;85;40;30
01;ZAGREBAČKA ŽUPANIJA;općina;RUGVICA;014;PREVLAKA;DOM U PREVLAKI;PREVLAKA;75;41;41;41;0;32;2;7
