Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;"HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, ""BANDIĆ MILAN 365 - STRANKA RADA I SOLIDARNOSTI"" - ""365 STRANKA RADA I SOLIDARNOSTI"", STJEPAN KOŽIĆ - NEZAVISNA LISTA - SKNL, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS";MOST, NEOVISNI ZA HRVATSKU - NHR, HRVATSKA STRANKA PRAVA - HSP;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, GRAĐANSKO-LIBERALNI SAVEZ - GLAS, HRVATSKA SELJAČKA STRANKA - HSS
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;001;BRAĆA RADIĆ;DOM KULTURE GALŽENICA - PRIZEMLJE;VEL.GORICA, TRG S.RADIĆA 5;1093;461;460;438;22;68;179;99;92
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;002;BRAĆA RADIĆ;DOM KULTURE GALŽENICA-KINO DVORANA;VEL.GORICA, TRG S. RADIĆA 5;786;284;284;273;11;32;95;72;74
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;003;BRAĆA RADIĆ;DJEČJI VRTIĆ CICIBAN;VEL.GORICA, S. KOLARA 39;856;376;375;354;21;52;121;83;98
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;004;BRAĆA RADIĆ;DJEČJI VRTIĆ CICIBAN;VEL.GORICA, V. VIDRIĆA 2;1129;459;456;441;15;70;102;112;157
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;005;HRVATSKI VELIKANI;CVJETNO NASELJE - SKLONIŠTE;VEL.GORICA, CVJETNO NASELJE 18 A;1447;609;609;596;13;76;168;140;212
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;006;HRVATSKI VELIKANI;GIMNAZIJA VELIKA GORICA;VEL.GORICA, KRALJA TOMAŠEVIĆA 21;1319;591;589;564;25;76;198;116;174
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;007;HRVATSKI VELIKANI;GIMNAZIJA VELIKA GORICA;VELIKA GORICA, KRALJA TOMAŠEVIĆA 21;506;233;233;222;11;51;65;42;64
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;008;MILJENKO GRANIĆ;PROSTORIJE GRADSKE ČETVRTI;VELIKA GORICA, VINKOVAČKA 2;1548;691;691;661;30;96;189;151;225
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;009;MILJENKO GRANIĆ;"OSNOVNA ŠKOLA ""EUGEN KUMIČIĆ""";VEL.GORICA, J. PUCEKOVIĆA 4;1477;543;543;527;16;70;163;128;166
01;ZAGREBAČKA ŽUPANIJA;grad;VELIKA GORICA;010;MILJENKO GRANIĆ;"OSNOVNA ŠKOLA ""EUGEN KUMIČIĆ""";VELIKA GORICA, J. PUCEKOVIĆA 4;771;299;299;288;11;39;69;65;115
