Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DENIS BEGIĆ;BARBARA KNEŽEVIĆ;IVONA MILETIĆ;MATIJA TEUR;ŽELJKO TURK
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;001;HRUŠEVEC KUPLJENSKI;OSNOVNA ŠKOLA HRUŠEVEC KUPLJENSKI;HRUŠEVEC KUPLJENSKI, HRUŠEVEČKA CESTA 20;452;208;208;204;4;20;22;5;7;150
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;002;KUPLJENOVO;DRUŠTVENI DOM KUPLJENOVO;KUPLJENOVO, MATIJE GUPCA 57;640;308;308;300;8;31;59;14;8;188
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;003;POJATNO;VATROGASNI DOM POJATNO;POJATNO, MATIJE GUPCA 90;1006;462;462;457;5;53;98;14;27;265
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;004;ŠIBICE;DRUŠTVENI DOM ŠIBICE;ŠIBICE, ZAGREBAČKA 2;696;316;316;311;5;39;92;34;29;117
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;005;IVANEC BISTRANSKI;DRUŠTVENI DOM IVANEC;IVANEC BISTRANSKI, STUBIČKA 75;773;327;327;319;8;56;94;19;18;132
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;006;JABLANOVEC;PODRUČNA ŠKOLA JABLANOVEC;JABLANOVEC, STUBIČKA 198;1262;449;448;443;5;70;150;22;27;174
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;007;ZAPREŠIĆ;SREDNJA ŠKOLA BAN JOSIP JELAČIĆ;ZAPREŠIĆ, TRG DR. FRANJE TUĐMANA 1;1194;577;577;562;15;115;149;40;82;176
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;008;ZAPREŠIĆ;SREDNJA ŠKOLA BAN JOSIP JELAČIĆ;ZAPREŠIĆ, TRG DR. FRANJE TUĐMANA 1;1249;556;554;541;13;121;149;23;81;167
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;009;ZAPREŠIĆ;"OSNOVNA ŠKOLA ""LJUDEVITA GAJA""";ZAPREŠIĆ, LJUDEVITA GAJA 2;1054;479;479;469;10;88;149;40;37;155
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;010;ZAPREŠIĆ;"OSNOVNA ŠKOLA ""LJUDEVITA GAJA""";ZAPREŠIĆ, LJUDEVITA GAJA 2;1062;405;405;392;13;83;137;16;40;116
