Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;"""BANDIĆ MILAN 365 - STRANKA RADA I SOLIDARNOSTI"" - ""365 STRANKA RADA I SOLIDARNOSTI"", STJEPAN KOŽIĆ - NEZAVISNA LISTA - SKNL, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, NARODNA STRANKA - REFORMISTI - REFORMISTI, HRVATSKA SELJAČKA STRANKA BRAĆE RADIĆ - HSS BRAĆE RADIĆ";DOMOVINSKI POKRET - DP, MOST, PROJEKT DOMOVINA;FOKUS;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA UMIROVLJENIKA - HSU;HRVATSKA STRANKA SVIH ČAKAVACA KAJKAVACA I ŠTOKAVACA - HSSČKŠ;NEZAVISNI ZA ZAPREŠIĆ - NZ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP;SOCIJALISTIČKA RADNIČKA PARTIJA HRVATSKE - SRP
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;001;HRUŠEVEC KUPLJENSKI;OSNOVNA ŠKOLA HRUŠEVEC KUPLJENSKI;HRUŠEVEC KUPLJENSKI, HRUŠEVEČKA CESTA 20;452;207;207;200;7;4;21;8;122;0;17;23;5
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;002;KUPLJENOVO;DRUŠTVENI DOM KUPLJENOVO;KUPLJENOVO, MATIJE GUPCA 57;640;308;308;301;7;7;64;14;147;3;16;47;3
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;003;POJATNO;VATROGASNI DOM POJATNO;POJATNO, MATIJE GUPCA 90;1006;462;462;459;3;14;105;36;216;3;17;64;4
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;004;ŠIBICE;DRUŠTVENI DOM ŠIBICE;ŠIBICE, ZAGREBAČKA 2;696;316;316;314;2;6;84;33;97;7;45;39;3
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;005;IVANEC BISTRANSKI;DRUŠTVENI DOM IVANEC;IVANEC BISTRANSKI, STUBIČKA 75;773;327;327;321;6;4;98;20;110;3;39;46;1
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;006;JABLANOVEC;PODRUČNA ŠKOLA JABLANOVEC;JABLANOVEC, STUBIČKA 198;1262;449;448;441;7;9;146;30;154;7;19;71;5
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;007;ZAPREŠIĆ;SREDNJA ŠKOLA BAN JOSIP JELAČIĆ;ZAPREŠIĆ, TRG DR. FRANJE TUĐMANA 1;1194;577;577;561;16;14;151;98;144;1;35;113;5
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;008;ZAPREŠIĆ;SREDNJA ŠKOLA BAN JOSIP JELAČIĆ;ZAPREŠIĆ, TRG DR. FRANJE TUĐMANA 1;1249;556;556;539;17;12;155;89;134;5;23;118;3
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;009;ZAPREŠIĆ;"OSNOVNA ŠKOLA ""LJUDEVITA GAJA""";ZAPREŠIĆ, LJUDEVITA GAJA 2;1054;478;478;470;8;14;154;38;132;1;44;84;3
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;010;ZAPREŠIĆ;"OSNOVNA ŠKOLA ""LJUDEVITA GAJA""";ZAPREŠIĆ, LJUDEVITA GAJA 2;1062;405;405;388;17;8;132;46;99;2;14;83;4
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;011;ZAPREŠIĆ;ZDRAVSTVENI CENTAR ZAPREŠIĆ SJEVER;ZAPREŠIĆ, MOKRIČKA 54;1049;408;408;393;15;5;119;62;112;3;31;55;6
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;012;ZAPREŠIĆ;ZDRAVSTVENI CENTAR ZAPREŠIĆ SJEVER;ZAPREŠIĆ, MOKRIČKA 54;956;352;352;344;8;11;113;34;107;1;25;52;1
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;013;ZAPREŠIĆ;ŠPORTSKO REKREACIJSKI CENTAR;ZAPREŠIĆ, VLADIMIRA NOVAKA 23;1173;526;524;515;9;11;123;54;128;3;61;129;6
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;014;ZAPREŠIĆ;POSLOVNI PROSTOR;"ZAPREŠIĆ, ANTE STARČEVIĆA 11 (""PAVUNA"" D.O.O.)";1055;414;414;409;5;18;111;42;77;3;30;120;8
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;015;ZAPREŠIĆ;KLUB UMIROVLJENIKA;ZAPREŠIĆ, ULICA PAVLA ŠTOOSA 2 (ULAZ SA ŠETNICE KARDINALA FRANJE KUHARIĆA);873;368;368;355;13;11;77;45;120;3;31;62;6
01;ZAGREBAČKA ŽUPANIJA;grad;ZAPREŠIĆ;016;ZAPREŠIĆ;KLUB UMIROVLJENIKA;ZAPREŠIĆ, ULICA PAVLA ŠTOOSA 2 (ULAZ SA ŠETNICE KARDINALA FRANJE KUHARIĆA);977;397;397;386;11;10;102;23;100;13;37;94;7
