Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ANA BOLŠEC;STJEPAN KOŽIĆ;DOMAGOJ LOVRIĆ;MIHAEL ZMAJLOVIĆ
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;001;DUGO SELO - ZAPAD I;OSNOVNA ŠKOLA IVAN BENKOVIĆ;DUGO SELO, HRVATSKOG PREPORODA 68;807;295;295;281;14;28;141;34;78
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;002;DUGO SELO - ZAPAD II;ZGRADA GLAZBENE ŠKOLE;DUGO SELO, ZAGREBAČKA ULICA 24;685;225;225;215;10;15;125;31;44
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;003;DUGO SELO - ZAPAD III;ZGRADA GLAZBENE ŠKOLE;DUGO SELO, ZAGREBAČKA ULICA 24;788;325;325;292;33;39;135;30;88
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;004;DUGO SELO - ZAPAD IV;ZGRADA GLAZBENE ŠKOLE;DUGO SELO, ZAGREBAČKA ULICA 24;767;276;276;260;16;27;119;39;75
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;005;DUGO SELO - JUG I;OSNOVNA ŠKOLA IVAN BENKOVIĆ;DUGO SELO, HRVATSKOG PREPORODA 68;1007;281;280;272;8;40;123;29;80
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;006;DUGO SELO - JUG II;GRADSKA VIJEĆNICA GRADA DUGOG SELA;DUGO SELO, JOSIPA ZORIĆA 1;820;260;260;244;16;31;109;26;78
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;007;DUGO SELO - JUG III;OSNOVNA ŠKOLA IVAN BENKOVIĆ;DUGO SELO, HRVATSKOG PREPORODA 68;860;283;283;270;13;50;111;31;78
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;008;DUGO SELO - SJEVER I;ZGRADA PUČKOG OTVORENOG UČILIŠTA-PRIZEMLJE;DUGO SELO, JOSIPA ZORIĆA 21 A;677;275;275;257;18;31;123;24;79
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;009;DUGO SELO - SJEVER II;ZGRADA PUČKOG OTVORENOG UČILIŠTA-PRIZEMLJE;DUGO SELO, JOSIPA ZORIĆA 21 A;737;277;277;259;18;30;127;32;70
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;010;DUGO SELO - SJEVER III;SREDNJA ŠKOLA DUGO SELO;DUGO SELO, STJEPANA FERENČAKA 25;578;217;217;200;17;43;75;27;55
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;011;DUGO SELO - SJEVER IV;SREDNJA ŠKOLA DUGO SELO;DUGO SELO, STJEPANA FERENČAKA 25;522;217;217;207;10;20;87;37;63
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;012;DUGO SELO - ISTOK I;OSNOVNA ŠKOLA JOSIPA ZORIĆA;DUGO SELO, JOSIPA ZORIĆA 86;730;306;306;283;23;32;144;39;68
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;013;DUGO SELO - ISTOK II;OSNOVNA ŠKOLA JOSIPA ZORIĆA;DUGO SELO, JOSIPA ZORIĆA 86;592;211;211;196;15;22;94;37;43
