Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;FOKUS;GRAĐANSKO-LIBERALNI SAVEZ - GLAS;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;MOST;"""PAVAO GROM - NEZAVISNA LISTA"" - ""PGnl"", DEMOKRATSKI HSS - DHSS, STRANKA UMIROVLJENIKA - SU";SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA SELJAČKA STRANKA - HSS;"STJEPAN KOŽIĆ - NEZAVISNA LISTA - SKNL, ""BANDIĆ MILAN 365 - STRANKA RADA I SOLIDARNOSTI"" - ""365 STRANKA RADA I SOLIDARNOSTI""";ŽIVI ZID
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;001;DUGO SELO - ZAPAD I;OSNOVNA ŠKOLA IVAN BENKOVIĆ;DUGO SELO, HRVATSKOG PREPORODA 68;807;295;295;281;14;41;26;2;65;22;9;58;53;5
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;002;DUGO SELO - ZAPAD II;ZGRADA GLAZBENE ŠKOLE;DUGO SELO, ZAGREBAČKA ULICA 24;685;225;225;215;10;31;9;5;85;16;1;29;32;7
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;003;DUGO SELO - ZAPAD III;ZGRADA GLAZBENE ŠKOLE;DUGO SELO, ZAGREBAČKA ULICA 24;788;325;325;301;24;29;40;5;71;25;3;67;55;6
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;004;DUGO SELO - ZAPAD IV;ZGRADA GLAZBENE ŠKOLE;DUGO SELO, ZAGREBAČKA ULICA 24;767;276;276;257;19;38;26;3;60;18;2;66;40;4
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;005;DUGO SELO - JUG I;OSNOVNA ŠKOLA IVAN BENKOVIĆ;DUGO SELO, HRVATSKOG PREPORODA 68;1007;279;279;269;10;35;30;3;76;15;5;63;28;14
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;006;DUGO SELO - JUG II;GRADSKA VIJEĆNICA GRADA DUGOG SELA;DUGO SELO, JOSIPA ZORIĆA 1;820;260;260;242;18;29;20;0;57;20;4;67;39;6
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;007;DUGO SELO - JUG III;OSNOVNA ŠKOLA IVAN BENKOVIĆ;DUGO SELO, HRVATSKOG PREPORODA 68;860;283;283;274;9;26;42;4;65;16;1;76;33;11
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;008;DUGO SELO - SJEVER I;ZGRADA PUČKOG OTVORENOG UČILIŠTA-PRIZEMLJE;DUGO SELO, JOSIPA ZORIĆA 21 A;677;275;275;256;19;17;27;5;60;22;3;68;48;6
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;009;DUGO SELO - SJEVER II;ZGRADA PUČKOG OTVORENOG UČILIŠTA-PRIZEMLJE;DUGO SELO, JOSIPA ZORIĆA 21 A;737;277;277;259;18;33;18;5;63;22;0;64;44;10
01;ZAGREBAČKA ŽUPANIJA;grad;DUGO SELO;010;DUGO SELO - SJEVER III;SREDNJA ŠKOLA DUGO SELO;DUGO SELO, STJEPANA FERENČAKA 25;578;217;217;204;13;24;22;3;40;21;4;45;38;7
