Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DARKO BAN;JANKO BUZJAK;MARKO OCVIREK;ŽELJKO ODAK;BRIGITA ROGAN
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;001;POZNANOVEC;VATROGASNI DOM U POZNANOVCU;POZNANOVEC, ZAGORSKE BRIGADE 34;763;432;432;427;5;127;11;235;39;15
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;002;LUG POZNANOVEČKI;PROSTORIJE MJESNOG ODBORA;POZNANOVEC, ZAGORSKE BRIGADE 20 A;539;261;261;255;6;64;3;96;69;23
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;003;KRIŽANČE;DRUŠTVENI DOM;KRIŽANČE 20B;112;55;55;54;1;21;13;2;16;2
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;004;ŽIDOVINJAK;DRUŠTVENI DOM;ŽIDOVINJAK 9;141;78;78;76;2;28;6;12;28;2
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;005;BEDEKOVČINA;STARA ŠKOLA KOD GRGIĆA;BEDEKOVČINA, STJEPANA RADIĆA 78;556;289;289;285;4;103;16;57;85;24
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;006;BEDEKOVČINA;VATROGASNI DOM BEDEKOVČINA;STJEPANA RADIĆA 76A;751;460;460;457;3;110;22;27;270;28
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;007;BEDEKOVČINA;ZGRADA OPĆINE (DVORANA);BEDEKOVČINA, TRG A. STARČEVIĆA 4;921;487;487;477;10;205;32;62;143;35
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;008;BEDEKOVČINA;PROSTORIJA UDRUGE UMIROVLJENIKA;BEDEKOVČINA, TRG A. STARČEVIĆA 15;556;302;302;294;8;94;6;54;108;32
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;009;KEBEL;VATROGASNI DOM;KEBEL 57 C;322;117;117;114;3;57;0;28;25;4
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;010;OREHOVICA;PODRUČNA ŠKOLA OREHOVICA;OREHOVICA 24;308;125;125;122;3;18;7;36;59;2
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;011;BRESTOVEC OREHOVEČKI;STARA ŠKOLA BRESTOVEC OREHOVIČKI;BRESTOVEC OREHOVIČKI 19;876;355;355;341;14;159;12;50;110;10
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;012;GRABE;DRUŠTVENI DOM GRABE;GRABE 118B;271;107;107;105;2;63;0;13;27;2
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;BEDEKOVČINA;013;MARTINEC OREHOVIČKI;DRUŠTVENI DOM;MARTINEC OREHOVIČKI 19A;405;223;223;217;6;82;5;24;102;4
