Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;BRANKICA BUBANKO;NIKOLA GOSPOÈIÆ;IVICA KUPINIÆ
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;DONJA STUBICA;001;DONJA STUBICA;OSNOVNA ŠKOLA;DONJA STUBICA, TOPLIÈKA C.27;923;428;428;418;10;22;342;54
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;DONJA STUBICA;002;PUSTODOL;DRUŠTVENI DOM;PUSTODOL 143;529;187;187;186;1;12;163;11
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;DONJA STUBICA;003;DONJA PODGORA;DRUŠTVENI DOM;DONJA PODGORA 8;282;153;153;147;6;6;121;20
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;DONJA STUBICA;004;HRUŠEVEC (DONJI);PODRUÈNA ŠKOLA HRUŠEVEC;HRUŠEVEC 28;204;98;98;98;0;5;84;9
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;DONJA STUBICA;005;HRUŠEVEC (GORNJI);DRUŠTVENI DOM;HRUŠEVEC 199 A;122;56;56;56;0;3;52;1
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;DONJA STUBICA;006;DONJA STUBICA;DOM KJULTURE DONJA STUBICA;GOLUBOVEÈKA ULICA 7;942;526;526;516;10;32;455;29
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;DONJA STUBICA;007;MILEKOVO SELO;DRUŠTVENI DOM (GRABRINA);MILEKOVO SELO 43;461;211;211;209;2;29;163;17
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;DONJA STUBICA;008;MATENCI (GORNJI);DRUŠTVENI DOM MATENCI;MATENCI 126 B;213;105;105;101;4;5;91;5
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;DONJA STUBICA;009;MATENCI (DONJI);DRUŠTVENI DOM MATENCI;MATENCI 58;218;134;134;133;1;4;111;18
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;DONJA STUBICA;010;LEPA VES;PODRUÈNA OSNOVNA ŠKOLA LEPA VES;LEPA VES 17;314;124;124;123;1;11;102;10
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;DONJA STUBICA;011;VUÈAK;PODRUÈNA OSNOVNA ŠKOLA VUÈAK;VUÈAK 28;382;127;127;126;1;12;100;14
