Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA UMIROVLJENIKA - HSU;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  ZVONIMIR VARJAÈIÆ
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;ÐURMANEC;001;ÐURMANEC;"ZGRADA ""STARE ŠKOLSKE KUHINJE"" U DRUŠTVENIM PROSTORIJAMA U PRIZEMLJU ZGRADE";ÐURMANEC 141 A;705;424;424;415;9;176;181;58
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;ÐURMANEC;002;DONJI MACELJ;PODRUÈNA ŠKOLA MACELJ, UÈIONICA BR. 1;DONJI MACELJ 126;460;258;258;256;2;128;105;23
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;ÐURMANEC;003;DONJI MACELJ;PODRUÈNA ŠKOLA MACELJ, UÈIONICA BR. 2;DONJI MACELJ 126;156;63;63;63;0;32;27;4
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;ÐURMANEC;004;RAVNINSKO;KUÆA DUBRAVKA KONJIÆA;RAVNINSKO 91A;414;257;257;249;8;140;65;44
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;ÐURMANEC;005;HROMEC;ZGRADA ZADRUŽNOG DOMA, U DRUŠTVENIM PROSTORIJAMA U PRIZEMLJU ZGRADE;HROMEC 49;323;186;186;181;5;116;45;20
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;ÐURMANEC;006;HLEVNICA;KUÆA DRAGUTINA KRANJECA;HLEVNICA 72;198;101;101;100;1;76;12;12
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;ÐURMANEC;007;LUKOVÈAK;KUÆA LJUBICE PAVIÆ;LUKOVÈAK 49;179;115;115;112;3;87;19;6
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;ÐURMANEC;008;JEZERIŠÆE;PROSTORI SPORTSKOG DRUŠTVA JEZERIŠÆE;JEZERIŠÆE;87;62;62;58;4;51;5;2
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;ÐURMANEC;009;PODBREZOVICA;PROSTOR UDRUGE ZA ŠPORT I REKREACIJU GORNJA PODBREZOVICA, KOD IGRALIŠTA;PODBREZOVICA;220;155;155;152;3;92;19;41
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;ÐURMANEC;010;PUTKOVEC;IGRALIŠTE KOD PODRUÈNE ŠKOLE U PUTKOVCU, ULAZ U ŠATOR BROJ 1;PUTKOVEC 29;173;103;103;101;2;59;18;24
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;ÐURMANEC;011;PUTKOVEC;IGRALIŠTE KOD PODRUÈNE ŠKOLE U PUTKOVCU, ULAZ U ŠATOR BROJ 2;PUTKOVEC 29;248;120;120;116;4;61;44;11
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;ÐURMANEC;012;GORIÈANOVEC;PROSTOR SPORTSKOG DRUŠTVA JAVOR, KOD IGRALIŠTA;GORIÈANOVEC;201;104;104;103;1;73;29;1
