Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;TATJANA HIKEC;JASMIN KRIZMANIĆ;VLADIMIR ŠKVORC
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;GORNJA STUBICA;001;SVETI MATEJ I;KUĆA MLADENA ŠIŠAKA;SVETI MATEJ 10;135;33;33;31;2;3;18;10
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;GORNJA STUBICA;002;SVETI MATEJ II;PODRUČNA ŠKOLA;SVETI MATEJ 128;341;154;154;150;4;36;76;38
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;GORNJA STUBICA;003;HUM STUBIČKI;PODRUČNA ŠKOLA;HUM STUBIČKI 47;478;238;238;235;3;25;124;86
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;GORNJA STUBICA;004;DOBRI ZDENCI;PODRUČNA ŠKOLA;DOBRI ZDENCI 24;303;164;164;156;8;14;84;58
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;GORNJA STUBICA;005;DUBOVEC;PODRUČNA ŠKOLA;DUBOVEC 76;271;156;156;154;2;4;26;124
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;GORNJA STUBICA;006;GUSAKOVEC;KUĆA DRAGUTINA MIKULEC;GUSAKOVEC 55B;170;78;78;73;5;9;29;35
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;GORNJA STUBICA;007;MODROVEC;DRUŠTVENI DOM;MODROVEC BB;330;181;181;175;6;19;104;52
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;GORNJA STUBICA;008;SLANI POTOK;KUĆA IVANA ĐURĐEVIĆA;SLANI POTOK 19;326;125;125;120;5;22;60;38
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;GORNJA STUBICA;009;BREZJE;KUĆA STJEPANA NOVINE;BREZJE 7;195;113;113;110;3;20;62;28
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;GORNJA STUBICA;010;KARIVAROŠ;KUĆA SLAVKA MAKARA;KARIVAROŠ 96;258;96;96;92;4;11;53;28
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;GORNJA STUBICA;011;JAKŠINEC;KUĆA JOSIPA IVANIĆA;JAKŠINEC 3D;210;93;93;88;5;8;48;32
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;GORNJA STUBICA;012;GORNJA STUBICA;"OSNOVNA ŠKOLA ""MATIJE GUPCA""";ULICA MATIJE GUPCA 2;732;298;298;282;16;31;117;134
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;GORNJA STUBICA;013;SAMCI;MUZEJ SELJAČKIH BUNA;SAMCI 64;276;172;172;161;11;22;82;57
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;GORNJA STUBICA;014;PASANSKA GORICA;KUĆA MLADENA ČUPARA;PASANSKA GORICA 4B;129;77;77;75;2;12;33;30
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;GORNJA STUBICA;015;ŠAGUDOVEC;DVD ŠAGUDOVEC;ŠAGUDOVEC BB;162;70;70;69;1;4;44;21
