Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MARKO KOS;TOMISLAV MILUNOVIĆ;MIRKO ŠIVALEC
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;SVETI KRIŽ ZAČRETJE;001;TEMOVEC;PODRUČNA ŠKOLA;TEMOVEC BB;168;104;104;102;2;25;8;69
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;SVETI KRIŽ ZAČRETJE;002;ZLEĆ;KUĆA MIHOVILIĆ ŽELJKA;ZLEĆ 1D;120;74;74;73;1;49;21;3
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;SVETI KRIŽ ZAČRETJE;003;ŠTRUCLJEVO;DRUŠTVENI DOM;ŠTRUCLJEVO;281;134;134;128;6;71;47;10
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;SVETI KRIŽ ZAČRETJE;004;PUSTODOL ZAČRETSKI;KUĆA BLAGEC KRUNOSLAVA;PUSTODOL ZAČRETSKI 42B;273;121;121;119;2;64;45;10
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;SVETI KRIŽ ZAČRETJE;005;SVETI KRIŽ ZAČRETJE;ZGRADA OPĆINE;TRG HRVATSKE KRALJICE JELENE 1;767;391;391;379;12;243;122;14
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;SVETI KRIŽ ZAČRETJE;006;DONJA PAČETINA;KUĆA ZAVRŠKI MLADENA;DONJA PAČETINA 58;355;146;146;144;2;78;53;13
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;SVETI KRIŽ ZAČRETJE;007;DONJA PAČETINA;KUĆA DRAGČEVIĆ JANKA;DONJA PAČETINA 152;287;102;102;101;1;63;29;9
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;SVETI KRIŽ ZAČRETJE;008;DUKOVEC;KUĆA MARTINJAK STANKA;DUKOVEC 25;187;105;105;104;1;42;49;13
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;SVETI KRIŽ ZAČRETJE;009;ŠVALJKOVEC;KUĆA PETRAČIJA VIKTORA - RADIONA RIBICA;ŠVALJKOVEC 43A;509;213;213;197;16;111;60;26
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;SVETI KRIŽ ZAČRETJE;010;VRANKOVEC;KUĆA ČVEK BRANKA;VRANKOVEC 10D;214;92;92;91;1;49;32;10
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;SVETI KRIŽ ZAČRETJE;011;KOZJAK ZAČRETSKI;PODRUČNA ŠKOLA;KOZJAK ZAČRETSKI;294;74;74;72;2;38;18;16
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;SVETI KRIŽ ZAČRETJE;012;SEKIRIŠĆE;PODRUČNA ŠKOLA;SEKIRIŠĆE;300;81;81;78;3;29;27;22
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;SVETI KRIŽ ZAČRETJE;013;CIGLENICA ZAGORSKA;KUĆA CIGLENEČKI HRVOJA;CIGLENICA ZAGORSKA 7B;500;204;204;200;4;115;64;21
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;SVETI KRIŽ ZAČRETJE;014;MIRKOVEC;VATROGASNI DOM;MIRKOVEC;704;321;321;311;10;237;47;27
