Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;MLADEN HERCIGONJA;MARTIN TURČIN;RUDOLF ŽLENDER
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;TUHELJ;001;SVETI KRIŽ I;KUĆA KREŠIMIRA KOLETIĆA;SVETI KRIŽ 56;173;104;104;102;2;80;20;2
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;TUHELJ;002;SVETI KRIŽ II;KUĆA ANKICE FEKEŽA;SVETI KRIŽ 205;213;120;120;117;3;88;26;3
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;TUHELJ;003;TUHELJ;OSNOVNA ŠKOLA LIJEPA NAŠA TUHELJ;TUHELJ 54;181;108;108;106;2;73;29;4
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;TUHELJ;004;TRSTENO;KUĆA ŠTEFANIJE I LJUDEVITA HUDIĆA;TRSTENO  1C;139;95;95;94;1;42;52;0
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;TUHELJ;005;GLOGOVEC ZAGORSKI;KUĆA IVICE KUNŠTEKA;GLOGOVEC ZAGORSKI 4A;129;85;85;84;1;52;30;2
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;TUHELJ;006;ČREŠNJEVEC;KUĆA RADE HORVATIN;ČREŠNJEVEC, ULICA STJEPANA PUKLJAKA 15D;224;113;113;111;2;73;30;8
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;TUHELJ;007;TUHELJSKE TOPLICE;TERME TUHELJ D.O.O. - DVORAC MIHANOVIĆ;TUHELJSKE TOPLICE, ULICA LJUDEVITA GAJA 4;237;111;111;105;6;41;47;17
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;TUHELJ;008;LENIŠĆE;KUĆA DRAGUTINA ORLOVIĆA;LENIŠĆE 49;89;50;50;50;0;22;26;2
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;TUHELJ;009;PRISTAVA;KUĆA POK. EMILA GJURIĆA;PRISTAVA 135;196;130;130;126;4;69;38;19
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;općina;TUHELJ;010;PROSENIK;SELJAČKI DOM;PROSENIK;164;109;109;106;3;64;38;4
