Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DAVOR DRETAR;ANĐELKO FEREK-JAMBREK;ŽELJKO KOLAR;ERNEST SVAŽIĆ
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;DONJA STUBICA;001;DONJA STUBICA;OSNOVNA ŠKOLA;DONJA STUBICA, TOPLIČKA C.27;923;428;428;415;13;57;28;258;72
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;DONJA STUBICA;002;PUSTODOL;DRUŠTVENI DOM;PUSTODOL 143;529;187;187;185;2;16;8;140;21
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;DONJA STUBICA;003;DONJA PODGORA;DRUŠTVENI DOM;DONJA PODGORA 8;282;153;153;146;7;14;8;93;31
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;DONJA STUBICA;004;HRUŠEVEC (DONJI);PODRUČNA ŠKOLA HRUŠEVEC;HRUŠEVEC 28;204;98;98;96;2;11;4;68;13
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;DONJA STUBICA;005;HRUŠEVEC (GORNJI);DRUŠTVENI DOM;HRUŠEVEC 199 A;122;56;56;56;0;4;0;49;3
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;DONJA STUBICA;006;DONJA STUBICA;DOM KJULTURE DONJA STUBICA;GOLUBOVEČKA ULICA 7;942;526;526;513;13;57;28;357;71
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;DONJA STUBICA;007;MILEKOVO SELO;DRUŠTVENI DOM (GRABRINA);MILEKOVO SELO 43;461;211;211;207;4;41;17;121;28
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;DONJA STUBICA;008;MATENCI (GORNJI);DRUŠTVENI DOM MATENCI;MATENCI 126 B;213;105;105;103;2;24;5;63;11
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;DONJA STUBICA;009;MATENCI (DONJI);DRUŠTVENI DOM MATENCI;MATENCI 58;218;134;134;130;4;6;5;93;26
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;DONJA STUBICA;010;LEPA VES;PODRUČNA OSNOVNA ŠKOLA LEPA VES;LEPA VES 17;314;124;124;124;0;12;7;86;19
