Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DENIS DIMITRIĆ;MARIJA MAČKOVIĆ
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;JASENOVAC;001;JASENOVAC;PRIZEMNE PROSTORIJE OPĆINE JASENOVAC (PROSTORIJE UDRUGE UMIROVLJENIKA);TRG KRALJA PETRA SVAČIĆA 19;510;370;370;367;3;141;226
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;JASENOVAC;002;KOŠUTARICA;PUČKI DOM;KOŠUTARICA;214;150;150;148;2;52;96
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;JASENOVAC;003;MLAKA;PODRUČNA ŠKOLA MLAKA;MLAKA;37;14;14;14;0;4;10
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;JASENOVAC;004;UŠTICA;PODRUČNA ŠKOLA UŠTICA;UŠTICA;128;78;78;77;1;25;52
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;JASENOVAC;005;VIŠNJICA;PUČKI DOM VIŠNJICA;VIŠNJICA;124;87;87;87;0;10;77
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;JASENOVAC;006;TANAC;PUČKI DOM TANAC;TANAC;87;74;74;72;2;19;53
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;JASENOVAC;007;DRENOV BOK;VATROGASNI DOM;DRENOV BOK;75;62;62;60;2;11;49
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;JASENOVAC;008;KRAPJE;VATROGASNI DOM;KRAPJE;106;69;69;66;3;22;44
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;JASENOVAC;009;PUSKA;VATROGASNI DOM;PUSKA;243;136;136;134;2;42;92
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;JASENOVAC;010;TREBEŽ;PUČKI DOM TREBEŽ;TREBEŽ;44;27;27;27;0;12;15
