Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DOMOVINSKI POKRET - DP, MOST;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;HRVATSKA SELJAÈKA STRANKA - HSS;HRVATSKA STRANKA PRAVA - HSP;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKI LABURISTI - STRANKA RADA - LABURISTI
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;001;KUTINA;O.Š. STJEPAN KEFELJA - PROSTOR BR. 1;NIKOLE TESLE 1;1235;525;525;512;13;62;233;59;31;127
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;002;KUTINA;TEHNIÈKA ŠKOLA KUTINA - PROSTOR BR. 1;HRVATSKIH BRANITELJA 6;478;151;151;148;3;31;73;11;1;32
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;003;KUTINA;"O.Š. ""VLADIMIR VIDRIÆ"" - PROSTOR BR. 1";ŠKOLSKA 2;327;182;182;175;7;19;64;15;11;66
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;004;KUTINA;"O.Š. ""VLADIMIR VIDRIÆ"" - PROSTOR BR. 2";ŠKOLSKA 2;837;392;391;375;16;52;141;31;17;134
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;005;KUTINA;VATROGASNI DOM KUTINA;LJUDEVITA POSAVSKOG 27;509;202;202;189;13;28;71;13;2;75
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;006;KUTINA;"DJEÈJI VRTIÆ""MASLAÈAK""";ANDRIJE HEBRANGA 1;711;317;317;308;9;57;125;25;12;89
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;007;KUTINA;ŠUMARIJA;UL. ANTUNA GUSTAVA MATOŠA;866;413;413;395;18;51;145;31;15;153
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;008;KUTINA;"O.Š. ""STJEPAN KEFELJA"" - PROSTOR BR. 2";NIKOLE TESLE 1;667;283;283;274;9;38;118;24;10;84
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;009;KUTINA;"O.Š. ""STJEPAN KEFELJA"" - PROSTOR BR. 3";NIKOLE TESLE 1;707;293;293;286;7;44;117;16;10;99
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;010;KUTINA;"O.Š. ""MATE LOVRAK"" - PROSTOR BR. 1";CRKVENA 59;679;262;262;251;11;27;137;11;14;62
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;011;KUTINA;"O.Š. ""MATE LOVRAK"" - PROSTOR BR. 2";CRKVENA 59;432;199;199;190;9;25;85;8;7;65
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;012;KUTINA;TEHNIÈKA ŠKOLA KUTINA PROSTOR BR. 2;HRVATSKIH BRANITELJA 6;771;347;347;330;17;34;118;29;8;141
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;013;KUTINA;"O.Š. ""ZVONIMIR FRANK"" - PROSTOR BR. 1";SILVIJA STRAHIMIRA KRANJÈEVIÆA 2;931;344;344;334;10;59;164;20;6;85
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;014;KUTINA;"O.Š. ""ZVONIMIR FRANK"" - PROSTOR BR. 2";SILVIJA STRAHIMIRA KRANJÈEVIÆA 2;736;330;330;317;13;66;136;15;12;88
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;015;KUTINA;DOM RADNIÈKO NASELJE;HUSAINSKA 41;316;123;123;121;2;44;42;13;2;20
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;016;KUTINA;DOM;ULICA STJEPANA RADIÆA;1003;452;452;425;27;59;227;60;7;72
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;017;DOM REPUŠNICA;DOM REPUŠNICA;REPUŠNICA, LJUDEVITA GAJA 101;842;415;415;391;24;41;235;23;21;71
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;018;ŠKOLA REPUŠNICA;ŠKOLA REPUŠNICA;REPUŠNICA, LJUDEVITA GAJA 120;707;300;300;290;10;40;153;27;12;58
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;019;MEÐURIÆ;DOM MEÐURIÆ;MEÐURIÆ;386;216;216;215;1;1;104;6;3;101
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;020;JANJA LIPA;DOM JANJA LIPA;HRVATSKIH BRANITELJA 44;155;105;105;104;1;14;82;6;0;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;021;JAMARICE;DOM JAMARICE;JAMARICA;331;146;146;137;9;10;91;4;0;32
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;022;BANOVA JARUGA;VATROGASNI DOM BANOVA JARUGA;BANOVA JARUGA;576;213;213;204;9;29;94;18;5;58
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;023;ILOVA;ŠKOLA ILOVA;ILOVA;694;252;252;243;9;37;126;36;7;37
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;024;ZBJEGOVAÈA;DOM ZBJEGOVAÈA;ZBJEGOVAÈA;284;112;112;109;3;9;74;4;2;20
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;025;HUSAIN;DOM HUSAIN;HUSAIN;805;345;345;340;5;45;165;20;14;96
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;026;BATINA;DOM BATINA;BATINA;176;81;81;81;0;8;61;2;0;10
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;027;GOJLO;DOM GOJLO;GOJLO;289;138;138;134;4;16;65;13;4;36
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;028;MIŠINKA;KUÆA OBITELJI MLINAR;MIŠINKA 6;116;45;45;44;1;5;28;3;0;8
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;029;KUTINSKA SLATINA;DOM KUTINSKA SLATINA;KUTINSKA SLATINA;503;262;262;256;6;27;179;24;7;19
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;030;KATOLIÈKE ÈAIRE;DOM KATOLIÈKE ÈAIRE;KATOLIÈKE ÈAIRE;198;84;84;82;2;15;51;8;2;6
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;031;KLETIŠTE;DRUŠTVENI DOM;GORNJE KLETIŠTE;106;52;52;51;1;10;35;1;0;5
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;032;ŠARTOVAC;DOM ŠARTOVAC;ŠARTOVAC;321;185;185;180;5;24;135;7;2;12
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;033;STUPOVAÈA;ŠKOLA STUPOVAÈA;STUPOVAÈA;375;155;155;151;4;11;68;10;5;57
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;034;BRINJANI;DOM BRINJANI;BRINJANI;185;110;110;109;1;2;60;7;1;39
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;035;KRAJIŠKA KUTINICA;DOM KRAJIŠKA KUTINICA;KRAJIŠKA KUTINICA;58;29;29;28;1;2;15;4;0;7
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;036;KUTINICA;DOM KUTINICA;KUTINICA;53;27;27;27;0;0;18;3;0;6
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;037;ÈAIRE;OBJEKAT OPG MALBAŠIÆ;ÈAIRE 12;25;15;15;15;0;0;6;1;0;8
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;038;SELIŠTE;DOM SELIŠTE;SELIŠTE;240;116;116;115;1;9;62;12;0;32
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;KUTINA;039;MIKLEUŠKA;DOM MIKLEUŠKA;MIKLEUŠKA;103;32;32;32;0;2;10;12;1;7
