Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;VLADO KLASAN;VALENTINA OPIĆ;MARIN PILETIĆ
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;001;NOVSKA;OSNOVNA ŠKOLA NOVSKA;TRG DR. FRANJE TUĐMANA 1;1049;456;456;433;23;111;49;273
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;002;NOVSKA;DJEČJI VRTIĆ STRIBOR;POSAVSKA 5;1235;524;524;508;16;119;47;342
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;003;NOVSKA;GRADSKA GALERIJA PUČKOG OTVORENOG UČILIŠTA;TRG DR. FRANJE TUĐMANA BR. 3;718;322;322;308;14;109;23;176
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;004;NOVSKA;DJEČJI VRTIĆ ''RADOST'';ULICA I. BRLIĆ MAŽURANIĆ 1;1204;526;526;501;25;135;53;313
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;005;NOVSKA;PODUZETNIČKI INKUBATOR PISMO;TRG L. ILIĆA ORIOVČANINA 8;537;231;231;216;15;47;22;147
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;006;NOVSKA;ZGRADA RAZVOJNE AGENCIJE NOVSKA NORA;POTOČNA ULICA 25;1029;443;443;433;10;147;26;260
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;007;BROČICE;HRVATSKI DOM;BROČICE;735;349;349;334;15;77;31;226
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;008;BRESTAČA;HRVATSKI DOM;BRESTAČA;729;276;276;263;13;70;19;174
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;009;KOZARICE;HRVATSKI SELJAČKI PROSVJETNI DOM U KOZARICAMA;KOZARICE;342;134;134;130;4;24;5;101
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;010;NOVA SUBOCKA;OSNOVNA ŠKOLA;NOVA SUBOCKA;598;259;259;249;10;60;10;179
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;011;STARA SUBOCKA;HRVATSKI DOM;STARA SUBOCKA;384;161;161;156;5;41;10;105
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;012;SIGETAC;HRVATSKI DOM;SIGETAC;96;61;61;59;2;16;1;42
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;013;PLESMO;HRVATSKI DOM;PLESMO;58;38;38;38;0;0;8;30
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;014;STARI GRABOVAC;HRVATSKI DOM;STARI GRABOVAC;335;159;159;154;5;20;7;127
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;015;PAKLENICA;HRVATSKI DOM;PAKLENICA;214;86;86;85;1;30;17;38
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;016;VOĆARICA;HRVATSKI DOM;VOĆARICA;129;76;76;74;2;7;0;67
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;017;JAZAVICA;HRVATSKI DOM;JAZAVICA;304;142;142;138;4;32;6;100
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;018;ROŽDANIK;HRVATSKI DOM;ROŽDANIK;212;112;112;110;2;16;4;90
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;019;RAJIĆ;VATROGASNI DOM;RAJIĆ;725;275;275;260;15;65;30;165
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;020;BOROVAC;HRVATSKI DOM;BOROVAC;195;92;92;92;0;22;16;54
