Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DEMOKRATSKA LOKALNA STRANKA - DLS, DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SELJAČKA STRANKA - HSS;HRVATSKA STRANKA PRAVA - HSP, HRVATSKA STRANKA UMIROVLJENIKA - HSU, MOST;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;001;NOVSKA;OSNOVNA ŠKOLA NOVSKA;TRG DR. FRANJE TUĐMANA 1;1049;456;456;434;22;109;230;32;63
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;002;NOVSKA;DJEČJI VRTIĆ STRIBOR;POSAVSKA 5;1235;523;523;505;18;112;303;36;54
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;003;NOVSKA;GRADSKA GALERIJA PUČKOG OTVORENOG UČILIŠTA;TRG DR. FRANJE TUĐMANA BR. 3;718;322;322;307;15;105;159;23;20
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;004;NOVSKA;DJEČJI VRTIĆ ''RADOST'';ULICA I. BRLIĆ MAŽURANIĆ 1;1204;527;527;509;18;112;286;57;54
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;005;NOVSKA;PODUZETNIČKI INKUBATOR PISMO;TRG L. ILIĆA ORIOVČANINA 8;537;231;231;215;16;36;134;16;29
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;006;NOVSKA;ZGRADA RAZVOJNE AGENCIJE NOVSKA NORA;POTOČNA ULICA 25;1029;443;443;435;8;134;244;27;30
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;007;BROČICE;HRVATSKI DOM;BROČICE;735;349;349;342;7;67;222;24;29
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;008;BRESTAČA;HRVATSKI DOM;BRESTAČA;729;277;277;263;14;64;166;14;19
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;009;KOZARICE;HRVATSKI SELJAČKI PROSVJETNI DOM U KOZARICAMA;KOZARICE;342;134;134;130;4;24;95;4;7
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;010;NOVA SUBOCKA;OSNOVNA ŠKOLA;NOVA SUBOCKA;598;259;258;249;9;55;178;8;8
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;011;STARA SUBOCKA;HRVATSKI DOM;STARA SUBOCKA;384;161;161;154;7;35;101;13;5
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;012;SIGETAC;HRVATSKI DOM;SIGETAC;96;61;61;57;4;14;42;0;1
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;013;PLESMO;HRVATSKI DOM;PLESMO;58;38;38;38;0;0;29;2;7
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;014;STARI GRABOVAC;HRVATSKI DOM;STARI GRABOVAC;335;159;159;156;3;22;117;11;6
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;015;PAKLENICA;HRVATSKI DOM;PAKLENICA;214;86;86;81;5;25;40;0;16
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;016;VOĆARICA;HRVATSKI DOM;VOĆARICA;129;76;76;74;2;6;67;0;1
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;017;JAZAVICA;HRVATSKI DOM;JAZAVICA;304;142;142;139;3;24;92;19;4
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;018;ROŽDANIK;HRVATSKI DOM;ROŽDANIK;212;112;112;107;5;12;81;9;5
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;019;RAJIĆ;VATROGASNI DOM;RAJIĆ;725;275;275;261;14;48;157;44;12
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;NOVSKA;020;BOROVAC;HRVATSKI DOM;BOROVAC;195;92;92;92;0;19;56;6;11
