Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;VESNA BREBRIÆ;DARINKO DUMBOVIÆ;ROBERT GROZA;MAGDALENA KOMES;FRAN KOMLINOVIÆ;JASENKO KROVINOVIÆ;SVJETLANA LAZIÆ;DAVORKA ŠUŠNJIÆ
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;001;PETRINJA;GRADSKA UPRAVA (BIVŠA KOTVA - U DVORIŠTU);ULICA BRAÆE HANŽEK 19;448;277;277;266;11;9;55;36;78;12;68;4;4
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;002;PETRINJA;GRADSKA UPRAVA (BIVŠA KOTVA - U DVORIŠTU);ULICA BRAÆE HANŽEK 19;539;301;301;296;5;12;59;22;87;23;79;11;3
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;003;PETRINJA;RUKOMETNO IGRALIŠTE;ULICA ANTUNA MATIJE RELJKOVIÆA BB (ŠATOR);875;488;488;481;7;12;66;63;199;32;91;11;7
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;004;PETRINJA;HRVAÈKA DVORANA;TRG NARODNIH UÈITELJA 7/A;872;502;502;494;8;14;82;58;120;40;145;24;11
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;005;PETRINJA;DJEÈJI VRTIÆ, PETRINJA;ULICA MILANA DUJNIÆA 25;765;378;378;369;9;9;52;32;124;25;110;14;3
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;006;PETRINJA;DJEÈJI VRTIÆ NA SAJMIŠTU, PETRINJA;ULICA DRAŽENA PETROVIÆA 18/3;650;314;314;309;5;13;44;38;103;15;88;7;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;007;PETRINJA;DJEÈJI VRTIÆ NA SAJMIŠTU, PETRINJA;ULICA DRAŽENA PETROVIÆA 18/3;962;511;511;500;11;33;75;61;151;30;129;15;6
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;008;PETRINJA;KONTEJNERSKO NASELJE NA SAJMIŠTU;SAJMIŠTE BB (ŠATOR);868;447;447;430;17;13;89;53;128;31;94;20;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;009;PETRINJA;DOM ZDRAVLJA PETRINJA;R. LOPAŠIÆA BB;634;352;352;343;9;8;52;50;120;10;67;14;22
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;010;PETRINJA;DJEÈJI VRTIÆ, PETRINJA;ULICA MILANA DUJNIÆA 25;863;319;319;314;5;15;51;49;106;23;54;10;6
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;011;PETRINJA;"OŠ ""MATO LOVRAK""";M. ANTOLIÆA 18;965;354;354;342;12;9;66;35;135;23;61;8;5
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;012;PETRINJA;"OŠ ""MATO LOVRAK""";M. ANTOLIÆA 18;966;420;420;414;6;11;93;41;120;33;94;18;4
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;013;PETRINJA;VATROGASNI DOM PETRINJA;VATROGASNA 57;935;379;378;373;5;15;82;38;105;18;87;21;7
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;014;PETRINJA;VATROGASNI DOM PETRINJA;VATROGASNA 57;879;366;366;351;15;21;62;42;113;24;69;14;6
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;015;PETRINJA;PODRUÈNA ŠKOLA MATE LOVRAKA;ÈEŠKO SELO, SISAÈKA BB;1098;439;439;429;10;20;130;23;136;16;66;37;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;016;NOVA DRENÈINA;HRVATSKI DOM NOVA DRENÈINA;NOVA DRENÈINA;321;163;163;156;7;7;30;18;67;1;27;6;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;017;BREST POKUPSKI;HRVATSKI DOM BREST POKUPSKI;BREST POKUPSKI;266;164;164;157;7;8;40;8;64;6;30;1;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;018;MALA GORICA;PODRUÈNA ŠKOLA MALA GORICA;MALA GORICA;313;123;123;121;2;7;46;6;38;2;20;2;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;019;DONJA BUDIÈINA;IGRALIŠTE U DONJOJ BUDIÈINI;DONJA BUDIÈINA (ŠATOR);229;114;114;111;3;1;26;4;57;1;18;4;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;020;TABORIŠTE;HRVATSKI DOM TABORIŠTE;TABORIŠTE;202;108;108;103;5;3;29;5;48;3;11;3;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;021;KRIŽ HRASTOVAÈKI;PRIVATNA KUÆA ÐURE PEJAKOVIÆA;KRIŽ HRASTOVAÈKI 22;256;131;131;129;2;5;36;19;47;2;18;2;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;022;HRASTOVICA;"NARODNI DOM ""STJEPAN RADIÆ"" HRASTOVICA";HRASTOVICA BB, HRASTOVICA;389;234;234;224;10;10;67;19;79;11;34;2;2
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;023;SREDNJE MOKRICE;DRUŠTVENI DOM SREDNJE MOKRICE;SREDNJE MOKRICE;185;99;99;97;2;2;28;4;41;4;18;0;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;024;NOVI FARKAŠIÆ;HRVATSKI DOM;NOVI FARKAŠIÆ;248;158;158;157;1;2;104;3;37;0;11;0;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;025;STRAŠNIK;HRVATSKI DOM STRAŠNIK;STRAŠNIK 26/A;505;272;272;262;10;9;82;9;106;9;38;4;5
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;026;GRABERJE;DRUŠTVENI DOM GRABERJE;GRABERJE 7/A (ŠATOR);124;77;77;75;2;7;36;3;15;2;11;0;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;027;NEBOJAN;DRUŠTVENI DOM NEBOJAN;NEBOJAN;149;80;80;76;4;5;27;4;31;2;6;1;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;028;MOŠÆENICA;HRVATSKI DOM MOŠÆENICA;MOŠÆENICA, ULICA MARINA DRŽIÆA 7;1208;602;602;580;22;30;310;11;108;36;54;21;10
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;029;MOŠÆENICA;OSNOVNA ŠKOLA MOŠÆENICA;MOŠÆENICA;979;504;504;488;16;20;331;14;67;8;21;19;8
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;030;PRNJAVOR ÈUNTIÈKI;DIC;PRNJAVOR ÈUNTIÈKI 1/B;201;91;91;89;2;1;38;4;15;0;17;13;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;031;JABUKOVAC;OSNOVNA ŠKOLA;JABUKOVAC;614;296;296;285;11;9;167;7;31;8;23;34;6
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;032;BLINJA;HRVATSKI DOM BLINJA;BLINJA (ŠATOR);319;165;165;160;5;2;101;0;12;2;18;24;1
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;033;GRABOVAC BANSKI;CENTAR ZA ŠLJIVU I KESTEN;DONJA BAÈUGA 108/C (ŠATOR);385;135;135;129;6;1;102;1;3;1;9;12;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;034;NOVO SELIŠTE;KONTEJNERSKO NASELJE NA SAJMIŠTU;SAJMIŠTE BB (ŠATOR);276;125;125;120;5;7;18;19;43;12;19;2;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;035;SLANA;DRUŠTVENI DOM;SLANA;227;101;101;100;1;8;6;1;60;3;22;0;0
03;SISAÈKO-MOSLAVAÈKA ŽUPANIJA;grad;PETRINJA;036;PETRINJA;PODRUÈNA ŠKOLA MATE LOVRAKA;ÈEŠKO SELO, SISAÈKA BB;1043;448;448;438;10;21;89;40;131;28;99;24;6
