Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;BOJAN DADASOVIĆ;RAJKO DELIĆ;KRISTINA IKIĆ BANIČEK;ŽELJKA JOSIĆ;SREĆKO TELAR
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;001;SISAK;PROSTORIJE GRADSKE ČETVRTI CENTAR;IVANA MEŠTROVIĆA 32;895;447;447;432;15;77;14;181;133;27
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;002;SISAK;PROSTORIJE DRUŠTVA GLUHIH I NAGLUHIH GRADA SISKA;TRG 22. LIPNJA 4B;500;267;267;262;5;46;8;117;74;17
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;003;SISAK;OSNOVNA ŠKOLA 22. LIPNJA;FRANJE LOVRIĆA 27 (UMJESTO U ZGRADI SISAČKO-MOSLAVAČKE ŽUPANIJE, S. I A. RADIĆA 36);481;253;253;244;9;49;9;89;83;14
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;004;SISAK;OSNOVNA ŠKOLA 22. LIPNJA;FRANJE LOVRIĆA 27 (UMJESTO U ZGRADI SISAČKO-MOSLAVAČKE ŽUPANIJE, S. I A. RADIĆA 36);439;233;233;224;9;34;7;88;80;15
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;005;SISAK;NARODNA KNJIŽNICA I ČITAONICA VLADO GOTOVAC SISAK;RIMSKA 27;533;270;270;262;8;46;5;85;104;22
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;006;SISAK;PROSTORIJE GRADSKOG DRUŠTVA CRVENOG KRIŽA SISAK;ULICA KRALJA TOMISLAVA 18;639;379;379;369;10;71;9;134;129;26
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;007;SISAK;PROSTORIJE ZAVODA ZA ZAPOŠLJAVANJE;UL. KRALJA TOMISLAVA 13;538;295;294;285;9;58;7;129;78;13
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;008;SISAK;PROSTORIJE GRADSKE ČETVRTI ZELENI BRIJEG;FRANA KRŠINIĆA 19;551;251;251;246;5;26;9;101;84;26
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;009;SISAK;DJEČJI VRTIĆ PČELICA;ULICA ANTUNA CUVAJA 3;910;404;404;384;20;45;9;203;99;28
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;010;SISAK;PROSTORIJE BIVŠE POSLOVNICE ALIANZ OSIGURANJE;MARIJANA CELJAKA 79;1218;521;521;511;10;59;16;178;211;47
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;011;SISAK;OSNOVNA ŠKOLA BRAĆA RIBAR SISAK;ZAGREBAČKA 8A;537;287;287;281;6;42;14;114;100;11
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;012;SISAK;OSNOVNA ŠKOLA BRAĆA RIBAR SISAK;ZAGREBAČKA 8A;749;311;311;305;6;49;7;128;98;23
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;013;SISAK;PROSTORIJE GRADSKE ČETVRTI ZELENI BRIJEG;FRANA KRŠINIĆA 19;631;267;267;264;3;31;8;122;82;21
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;014;SISAK;OSNOVNA ŠKOLA BRAĆA RIBAR SISAK;ZAGREBAČKA 8A;658;315;315;305;10;39;8;148;95;15
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;015;SISAK;PROSTORIJE AMBULANTE;FERDE HEFELEA 10;807;407;407;390;17;74;13;155;137;11
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;016;SISAK;PROSTORIJE DRUŠTVENOG DOMA VIKTOROVAC;PERIVOJ VIKTOROVAC BB;650;312;312;302;10;44;2;136;104;16
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;017;SISAK;ŠATOR NA JAVNOJ POVRŠINI PREKO PUTA BIVŠE STRUKOVNE ŠKOLE SISAK;LAĐARSKA 1;604;323;323;313;10;58;12;108;117;18
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;018;SISAK;ŠATOR NA JAVNOJ POVRŠINI PREKO PUTA BIVŠE STRUKOVNE ŠKOLE SISAK;LAĐARSKA 1;740;360;359;341;18;47;9;135;129;21
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;019;SISAK;DJEČJI VRTIĆ TRATINČICA;NIKOLE ŠUBIĆA ZRINSKOG 23;734;427;425;407;18;67;12;176;124;28
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;020;SISAK;RC ZIBEL - STARI OBJEKT (STOLNOTENISKA DVORANA);ULAZ IZ CESARČEVE ULICE;477;230;230;221;9;29;10;95;71;16
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;021;SISAK;OSNOVNA ŠKOLA VIKTOROVAC SISAK;ALEJA NARODNIH HEROJA 2;1148;503;503;483;20;69;11;249;120;34
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;022;SISAK;OSNOVNA ŠKOLA VIKTOROVAC SISAK;ALEJA NARODNIH HEROJA 2;1246;599;599;570;29;68;22;310;141;29
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;023;SISAK;PROSTORIJE AMBULANTE;AUGUSTA CESARCA 109B;877;444;444;425;19;62;5;206;120;32
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;024;SISAK;ŠATOR NA PARKIRALIŠTU ISPRED PROSTORIJA GRADSKE ČETVRTI GALDOVO;GALDOVAČKA ULICA 6;1234;582;582;572;10;148;18;177;188;41
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;025;SISAK;OSNOVNA ŠKOLA GALDOVO (U PREDVORJU ŠKOLE);ULICA BREZOVIČKOG ODREDA 1;883;429;429;419;10;191;4;124;82;18
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;026;SISAK;OSNOVNA ŠKOLA GALDOVO (ŠKOLSKA DVORANA);ULICA BREZOVIČKOG ODREDA 1;765;374;374;367;7;95;8;110;123;31
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;027;SISAK;DRUŠTVENI DOM ( PROSTORIJE PRIJAŠNJEG MO GALDOVO KAPTOLSKO);VLADIMIRA LOGOMERCA 27;1494;699;699;684;15;124;23;254;237;46
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;028;SISAK;PROSTORIJE  PRIJAŠNJEG MO CAPRAG;ANDRIJE HEBRANGA 25;1359;494;494;480;14;45;12;267;121;35
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;029;SISAK;PROSTORIJE PRIJAŠNJEG MO IVAN BUIĆ;NINE MARAKOVIĆA 4;305;109;109;107;2;17;6;56;25;3
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;030;SISAK;PROSTORIJE DJ. VRTIĆA MASLAČAK;HRVATSKOG NARODNOG PREPORODA 33;761;319;319;310;9;34;9;174;70;23
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;031;SISAK;NARODNA KNJIŽNICA I ČITAONICA VLADO GOTOVAC - ODJEL CAPRAG;TRG HRVATSKE DRŽAVNOSTI 1;752;330;330;318;12;20;13;194;76;15
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;032;SISAK;OSNOVNA ŠKOLA BRAĆA BOBETKO SISAK;MARIJANA CVETKOVIĆA 2;924;409;409;396;13;37;18;207;105;29
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;033;SISAK;PROSTORIJE PRIJAŠNJEG MO IVAN BUIĆ;NINE MARAKOVIĆA 4;313;101;101;98;3;15;3;57;21;2
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;034;SISAK;DOM INA RAFINERIJE NAFTE SISAK;ANTE KOVAČIĆA 1;337;122;122;118;4;25;7;45;33;8
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;035;SISAK;DRUŠTVENI DOM, PROSTORIJE GRADSKE ČETVRTI CAPRAG ( PRIJAŠNJI MO EUGEN KVATERNIK);LASINJSKA UL 15;1313;587;587;560;27;76;20;262;165;37
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;036;SISAK;MO CRNAC U ZGRADI BIVŠE PODRUČNE ŠKOLE BRAĆA BOBETKO;ULICA BRAĆE BOBETKO;202;123;123;119;4;8;6;23;79;3
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;037;NOVO SELO;PROSTORIJE U VATROGASNOM DOMU DVD-A MLADOST U NOVOM SELU;NOVOSELSKA ULICA 50;504;212;212;202;10;21;3;86;68;24
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;038;CAPRAŠKE POLJANE;ROMSKA KUĆA;CAPRAŠKE POLJANE 54;352;178;178;172;6;6;10;151;5;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;039;NOVO PRAČNO;PROSTORIJE OŠ I.K. SAKCINSKI;NOVO PRAČNO;322;165;165;155;10;4;6;54;80;11
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;040;HRASTELNICA;OSNOVNA ŠKOLA GALDOVO - PODRUČNA ŠKOLA HRASTELNICA;HRASTELNICA 85 (UMJESTO U DRUŠTVENOM DOMU MO HRASTELNICA, HRASTELNICA 85A);689;332;332;326;6;75;5;111;106;29
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;041;PALANJEK;DRUŠTVENI DOM MO PALANJEK;PALANJEK BB;253;141;141;139;2;14;17;67;31;10
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;042;PRELOŠĆICA;PROSTORIJE DVD PRELOŠĆICA;PRELOŠĆICA;416;193;193;187;6;12;3;58;105;9
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;043;BUKOVSKO;DRUŠTVENI DOM BUKOVSKO;BUKOVSKO 10;65;22;22;21;1;5;0;1;15;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;044;KOMAREVO;DRUŠTVENI DOM MO KOMAREVO;GORNJE KOMAREVO 4;630;288;288;280;8;15;14;85;129;37
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;045;BLINJSKI KUT;DRUŠTVENI DOM BLINJSKI KUT;BLINJSKI KUT 34 A;240;92;92;87;5;9;4;48;20;6
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;046;MADŽARI;DRUŠTVENI DOM MO MADŽARI-LETOVANCI;MADŽARI 30 A;204;125;125;124;1;11;1;69;34;9
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;047;KLOBUČAK;ŠATOR NA POVRŠINI POKRAJ PROSTORIJA MO KLOBUČAK - KONTEJNER;KLOBUČAK BB;58;24;24;22;2;4;0;18;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;048;LETOVANCI;DRUŠTVENI DOM ( PROSTORIJE PRIJAŠNJEG MO LETOVANCI);LETOVANCI;46;31;31;30;1;1;1;8;20;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;049;ODRA;DRUŠTVENI DOM MO ODRA;ODRA SISAČKA 38;638;320;320;313;7;43;11;86;158;15
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;050;ŽABNO;PROSTORIJE OSNOVNE ŠKOLE BRAĆA RIBAR SISAK;PODRUČNA ŠKOLA ŽABNO;396;190;190;180;10;23;3;49;93;12
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;051;GREDA;"PROSTORIJE O.Š. ""SELA"", PODRUČNI ODJEL GREDA";GREDA;726;320;320;309;11;10;5;125;130;39
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;052;JAZVENIK;"DRUŠTVENI DOM ""ČEŠKA BESEDA""";JAZVENIK 7B;111;75;75;71;4;6;2;16;43;4
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;053;SELA;OSNOVNA ŠKOLA SELA;SELA;798;364;364;351;13;30;8;95;192;26
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;054;STARA DRENČINA;NOVI VATROGASNI DOM DVD-A STARA DRENČINA;STARA DRENČINA 59A (UMJESTO U DRUŠTVENOM DOMU STARA DRENČINA, STARA DRENČINA BB);177;108;108;106;2;5;2;31;63;5
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;055;STARO PRAČNO;DRUŠTVENI DOM STARO PRAČNO;STARO PRAČNO 10;737;354;354;344;10;66;8;122;131;17
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;056;STUPNO;DRUŠTVENI DOM MO STUPNO;STUPNO 58;403;201;201;196;5;25;4;48;105;14
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;057;VUROT;DRUŠTVENI DOM MO VUROT;VUROT 33A;102;44;44;43;1;10;2;11;13;7
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;058;BUDAŠEVO;OSNOVNA ŠKOLA BUDAŠEVO - TOPOLOVAC - GUŠĆE;TRG MARIJANA ŠOKČEVIĆA 1 (UMJESTO U DRUŠTVENOM DOMU MO BUDAŠEVO, TRG MARIJANA ŠOKČEVIĆA 3);1320;552;552;537;15;66;7;144;261;59
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;059;NOVO SELO PALANJEČKO;DRUŠTVENI DOM MO NOVO SELO PALANJEČKO;NOVO SELO PALANJEČKO BB;463;186;186;177;9;17;4;56;79;21
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;060;TOPOLOVAC;PROSTORIJE NOGOMETNOG KLUBA TŠK, TOPOLOVAC;TRG HRVATSKIH DRAGOVOLJACA 1A (UMJESTO U DRUŠTVENOM DOMU MO TOPOLOVAC, TRG HRVATSKIH DRAGOVOLJACA 1);740;341;341;333;8;45;4;95;159;30
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;061;LUKAVEC POSAVSKI;DRUŠTVENI DOM MO LUKAVEC POSAVSKI;LUKAVEC POSAVSKI 1C;100;49;49;48;1;6;1;15;25;1
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;062;GUŠĆE;MO GUŠĆE U ZGRADI DVD GUŠĆE;GUŠĆE 105;292;130;130;129;1;8;3;50;60;8
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;063;ČIGOĆ;PROSTORIJE DOBROVOLJNOG VATROGASNOG DRUŠTVA ČIGOĆ;ČIGOĆ 16;62;28;28;27;1;0;5;7;11;4
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;064;KRATEČKO;DRUŠTVENI DOM MO KRATEČKO;KRATEČKO 96;149;73;73;71;2;2;1;23;41;4
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;065;MUŽILOVČICA;VATROGASNI DOM MUŽILOVČICA;MUŽILOVČICA;67;34;34;34;0;1;0;14;19;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;066;SUVOJ;DRUŠTVENI DOM (PROSTORIJE PRIJAŠNJEG MO SUVOJ);SUVOJ;27;21;21;21;0;1;0;10;7;3
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;067;LONJA;PROSTORIJE DVD-A LONJA;LONJA BB;84;27;27;26;1;1;0;9;13;3
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;068;SVINJIČKO;PROSTORIJE MO VELIKO SVINJIČKO U PODRUČNOJ ŠKOLI;VELIKO SVINJIČKO 105;191;88;88;87;1;2;1;40;43;1
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;grad;SISAK;069;STARO SELO;KUĆA MILOŠA ĐUKIĆA;STARO SELO 61;108;47;47;46;1;6;4;35;0;1
