Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;KANDIDACIJSKA LISTA GRUPE BIRAČA -  DRAGUTIN BUTKOVIĆ;KANDIDACIJSKA LISTA GRUPE BIRAČA -  TOMISLAV ČIPOR;DOMOVINSKI POKRET - DP, MOST;KANDIDACIJSKA LISTA GRUPE BIRAČA -  GRGA DRAGIČEVIĆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;KANDIDACIJSKA LISTA GRUPE BIRAČA -  JOSIP MAČAK;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;SUNJA;001;LETINA GORNJA;DVD DOM;LETINA GORNJA 38A;76;39;39;38;1;1;6;0;2;6;1;0;22
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;SUNJA;002;GREDA SUNJSKA;"DOM ""SELJAČKE SLOGE""";GREDA SUNJSKA 99;357;193;193;179;14;6;24;6;52;71;7;0;13
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;SUNJA;003;SUNJA1;RIBIČKI DOM;TRG KRALJA TOMISLAVA 5B, SUNJA;653;373;373;355;18;12;47;15;124;88;16;15;38
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;SUNJA;004;SUNJA2;DRUŠTVENI DOM;TRG KRALJA TOMISLAVA 5A, SUNJA;594;363;363;355;8;11;62;12;101;100;19;5;45
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;SUNJA;005;KRIVAJ SUNJSKI;DRUŠTVENI DOM;KRIVAJ SUNJSKI 30;88;60;60;60;0;0;5;0;28;21;1;1;4
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;SUNJA;006;ŽREME;PRIVATNA KUĆA IVICE KOŠKOVIĆA;ŽREME 28;45;37;37;36;1;0;2;0;14;17;3;0;0
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;SUNJA;007;SELIŠĆE SUNJSKO;DOM DVD-A;SELIŠĆE SUNJSKO 45;92;53;53;51;2;0;4;1;7;25;6;0;8
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;SUNJA;008;BOBOVAC;DRUŠTVENI DOM;BOBOVAC 162;258;159;159;154;5;1;7;10;11;61;58;1;5
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;SUNJA;009;CRKVENI BOK;DRUŠTVENI DOM;CRKVENI BOK 126A;249;106;106;101;5;0;11;2;7;2;35;8;36
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;SUNJA;010;ŠAŠ;DRUŠTVENI DOM;ŠAŠ 71A;266;86;86;81;5;12;2;3;18;18;2;0;26
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;SUNJA;011;SLOVINCI;DOM DVD-A;SLOVINCI 87/A;124;68;68;64;4;5;7;3;21;13;4;4;7
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;SUNJA;012;TIMARCI;DRUŠTVENI DOM;TIMARCI 48A;98;50;50;48;2;0;3;1;10;13;7;1;13
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;SUNJA;013;PAPIĆI;DRUŠTVENI DOM PAPIĆI;PAPIĆI 14 A;188;78;78;70;8;3;7;1;23;9;8;10;9
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;SUNJA;014;STAZA;DRUŠTVENI DOM;STAZA 86/C;167;108;108;103;5;0;5;12;17;49;7;0;13
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;SUNJA;015;DONJI HRASTOVAC;DRUŠTVENI DOM;DONJI HRASTOVAC 187/A;185;73;73;68;5;1;4;2;18;18;3;2;20
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;SUNJA;016;DRLJAČA;PRIVATNA KUĆA MARIJANA GRBCA;DRLJAČA 31;456;206;206;197;9;74;14;8;43;18;7;16;17
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;SUNJA;017;BRĐANI CESTA;PRIVATNA KUĆA STIPE JOZIĆA;BRĐANI CESTA 26A;274;136;136;130;6;26;29;14;14;23;5;11;8
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;SUNJA;018;BRĐANI KOSA;DRUŠTVENI DOM;BRĐANI KOSA 1F;65;41;41;41;0;4;2;1;0;24;7;2;1
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;SUNJA;019;KINJAČKA;DRUŠTVENI DOM;KINJAČKA 45A;191;74;74;71;3;5;9;5;12;17;6;13;4
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;SUNJA;020;BESTRMA;DRUŠTVENI DOM;BESTRMA BB;104;39;39;36;3;3;4;0;4;7;6;7;5
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;SUNJA;021;VELIKA GRADUSA;DRUŠTVENI DOM;VELIKA GRADUSA 27;152;58;58;54;4;3;22;2;10;0;2;12;3
