Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA DEMOKRŠĆANSKA STRANKA - HDS;HRVATSKA STRANKA PRAVA - HSP;KANDIDACIJSKA LISTA GRUPE BIRAČA -  ZLATKO NEŽIĆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;001;MUSTAFINA KLADA;DRUŠTVENI DOM MUSTAFINA KLADA;MUSTAFINA KLADA 37A;119;62;62;60;2;30;2;2;5;21
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;002;KOMPATOR;DRUŠTVENI DOM KOMPATOR;KOMPATOR 28A;63;39;39;38;1;15;3;12;1;7
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;003;RUŠKOVICA;DRUŠTVENI DOM RUŠKOVICA;RUŠKOVICA 27;38;27;27;27;0;11;1;5;3;7
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;004;MALA LUDINA;DRUŠTVENI DOM MALA LUDINA;MALA LUDINA, MOSLAVAČKA 46;118;65;65;62;3;7;13;8;26;8
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;005;GRABRIČINA;OSNOVNA ŠKOLA GRABRIČINA;ČAZMANSKA 15;22;8;8;8;0;2;0;0;1;5
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;006;VIDRENJAK;"SELJAČKI DOM ""MIJO STUPARIĆ""";MIJE STUPARIĆA 30;410;230;230;222;8;114;22;16;12;58
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;007;OKOLI;DRUŠTVENI DOM OKOLI;OKOLI, CRKVENA ULICA 86;230;109;109;104;5;57;2;3;9;33
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;008;VELIKA LUDINA;DRUŠTVENI DOM VELIKA LUDINA;OBRTNIČKA 3;617;377;377;367;10;138;10;65;35;119
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;009;GRABROV POTOK;DRUŠTVENI DOM GRABROV POTOK;GRABROV POTOK, ZAGREBAČKA ULICA 10;99;66;66;62;4;13;2;3;2;42
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;010;GORNJA VLAHINIČKA;DRUŠTVENI DOM GORNJA VLAHINIČKA;MOSLAVAČKA 32;218;111;111;108;3;42;4;35;7;20
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;011;LUDINICA;PRIVATNA KUĆA JOSIPA LISECA;JELENGRADSKA 21;15;8;8;7;1;4;0;0;0;3
03;SISAČKO-MOSLAVAČKA ŽUPANIJA;općina;VELIKA LUDINA;012;KATOLIČKO SELIŠĆE;DRUŠTVENI DOM KATOLIČKO SELIŠĆE;MOSLAVAČKIH VINOGRADA 64;136;72;72;71;1;20;2;13;10;26
