Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DRAŽEN BENKOVIĆ;TOMISLAV BOLJAR;JADRANKA GOLUBIĆ
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;001;BIRAČKO MJESTO BR. 1;OŠ VLADIMIR NAZOR;JOZEFINSKA CESTA 85;782;389;389;383;6;23;277;83
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;002;BIRAČKO MJESTO BR. 2;DJEČJI VRTIĆ;TRG HRVATSKIH MUČENIKA BB;673;309;309;302;7;23;238;41
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;003;BIRAČKO MJESTO BR. 3;"PROSTORIJE SPORTSKOG DRUŠTVA ""MLADOST"" NA NOGOMETNOM IGRALIŠTU U DONJEM MRZLOM POLJU";DONJE MRZLO POLJE BB;423;219;219;211;8;22;142;47
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;004;BIRAČKO MJESTO BR. 4;UDRUŽENJE UMIROVLJENIKA;JOSEFA JERUZALEMA 2;580;260;260;259;1;24;194;41
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;005;BIRAČKO MJESTO BR. 5;DOM SPORTOVA;BANA JOSIPA JELAČIĆA 41;404;191;191;184;7;11;144;29
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;006;BIRAČKO MJESTO BR. 6;OŠ IVAN GORAN KOVAČIĆ;BANA JOSIPA JELAČIĆA 8;586;321;319;314;5;20;241;53
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;007;BIRAČKO MJESTO BR. 7;PEKARA MUS;TRG KRALJA TOMISLAVA 1;465;229;229;222;7;19;166;37
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;008;BIRAČKO MJESTO BR. 8;KUĆA GAJSKI IVANA;NIKOLE TESLE 4;311;167;167;162;5;18;124;20
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;009;BIRAČKO MJESTO BR. 9;PROSTORIJE MO TREŠNJEVKA;TRG HRVATSKIH MUČENIKA 17;485;247;247;236;11;17;186;33
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;010;BIRAČKO MJESTO BR. 10;VATROGASNI DOM STARA SELA;FRANKOPANSKA BB;615;306;306;300;6;22;209;69
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;011;BIRAČKO MJESTO BR. 11;KUĆA PROTULIPAC VIDE;PETRAKOVO BRDO 22B;118;66;66;65;1;5;40;20
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;012;BIRAČKO MJESTO BR. 12;PROSTORIJE SPORTSKOG DRUŠTVA BRODAC;GORNJE MRZLO POLJE MREŽNIČKO 101 C;531;239;239;228;11;21;146;61
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;013;BIRAČKO MJESTO BR. 13;PROSTORIJE MO VAROŠ;RADIĆEVA ULICA BB;799;361;361;353;8;17;251;85
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;014;BIRAČKO MJESTO BR. 14;PROSTORIJE MO BELAJSKA VINICA;BELAJSKA VINICA BB;232;121;121;118;3;20;60;38
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;015;BIRAČKO MJESTO BR. 15;PROSTORIJE BIVŠE EKONOMIJE;MREŽNIČKI BRIG 51;283;136;136;131;5;43;67;21
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;016;BIRAČKO MJESTO BR. 16;MONTAŽNI OBJEKT PORED KUĆE MIJE MIHALIĆA;MIHALIĆ SELO 15;111;49;49;47;2;8;20;19
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;017;BIRAČKO MJESTO BR. 17;PROSTOR MO SVETA JELENA;MREŽNIČKI NOVAKI BB;148;78;78;77;1;13;25;39
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;018;BIRAČKO MJESTO BR. 18;PROSTORIJE PODRUČNE ŠKOLE BELAVIĆI;BELAVIĆI;476;233;233;232;1;25;156;51
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;019;BIRAČKO MJESTO BR. 19;DRUŠTVENI DOM DVORJANCI;DVORJANCI BB;174;92;92;92;0;12;57;23
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;020;BIRAČKO MJESTO BR. 20;PODRUČNA ŠKOLA ZVEČAJ;ZVEČAJ 78;248;125;125;122;3;9;54;59
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;021;BIRAČKO MJESTO BR. 21;ŠKOLA DONJI ZVEČAJ;DONJI ZVEČAJ 8;144;83;83;81;2;8;46;27
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;022;BIRAČKO MJESTO BR. 22;KUĆA MALOVIĆ IVICE;MREŽNIČKI VENAC 17;113;62;62;61;1;6;31;24
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;023;BIRAČKO MJESTO BR. 23;KUĆA MIJE KAPELIĆA;GRŠĆAKI 1;64;29;29;29;0;5;20;4
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;024;BIRAČKO MJESTO BR. 24;"KLUB ŠPORTSKIH RIBOLOVACA ""MREŽNICA""";SVETI PETAR MREŽNIČKI 28A;329;156;156;148;8;16;80;52
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;025;BIRAČKO MJESTO BR. 25;PROSTORIJE MO LIŠNICA;LIŠNICA BB;149;89;89;86;3;8;42;36
