Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;AKCIJA UMIROVLJENICI ZAJEDNO - AUZ, HRVATSKA STRANKA UMIROVLJENIKA - HSU;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;HRVATSKA SELJAČKA STRANKA - HSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;001;BIRAČKO MJESTO BR. 1;OŠ VLADIMIR NAZOR;JOZEFINSKA CESTA 85;782;389;389;383;6;39;86;18;201;39
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;002;BIRAČKO MJESTO BR. 2;DJEČJI VRTIĆ;TRG HRVATSKIH MUČENIKA BB;673;309;309;298;11;15;55;15;166;47
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;003;BIRAČKO MJESTO BR. 3;"PROSTORIJE SPORTSKOG DRUŠTVA ""MLADOST"" NA NOGOMETNOM IGRALIŠTU U DONJEM MRZLOM POLJU";DONJE MRZLO POLJE BB;423;219;219;213;6;6;51;39;97;20
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;004;BIRAČKO MJESTO BR. 4;UDRUŽENJE UMIROVLJENIKA;JOSEFA JERUZALEMA 2;580;260;260;259;1;12;58;22;142;25
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;005;BIRAČKO MJESTO BR. 5;DOM SPORTOVA;BANA JOSIPA JELAČIĆA 41;404;191;191;184;7;15;42;4;99;24
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;006;BIRAČKO MJESTO BR. 6;OŠ IVAN GORAN KOVAČIĆ;BANA JOSIPA JELAČIĆA 8;586;321;320;312;8;8;61;18;186;39
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;007;BIRAČKO MJESTO BR. 7;PEKARA MUS;TRG KRALJA TOMISLAVA 1;465;229;229;221;8;8;45;20;112;36
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;008;BIRAČKO MJESTO BR. 8;KUĆA GAJSKI IVANA;NIKOLE TESLE 4;311;168;168;162;6;8;32;9;87;26
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;009;BIRAČKO MJESTO BR. 9;PROSTORIJE MO TREŠNJEVKA;TRG HRVATSKIH MUČENIKA 17;485;247;247;237;10;18;44;10;129;36
04;KARLOVAČKA ŽUPANIJA;grad;DUGA RESA;010;BIRAČKO MJESTO BR. 10;VATROGASNI DOM STARA SELA;FRANKOPANSKA BB;615;306;306;296;10;21;73;21;133;48
