Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;ANAMARIJA FUMIĆ;ZLATKO MIHALJEVIĆ;DRAGAN RUDANČIĆ;ALEN ŽANIĆ
04;KARLOVAČKA ŽUPANIJA;općina;JOSIPDOL;001;BIRAČKO MJESTO BR. 1;ZGRADA OPĆINE, JOSIPDOL;OGULINSKA 12;996;605;604;585;19;24;163;259;139
04;KARLOVAČKA ŽUPANIJA;općina;JOSIPDOL;002;BIRAČKO MJESTO BR. 2;ZGRADA DOMA ''SV. ANTUN'' U CAREVOM POLJU;CAREVO POLJE 41;138;75;75;74;1;5;20;31;18
04;KARLOVAČKA ŽUPANIJA;općina;JOSIPDOL;003;BIRAČKO MJESTO BR. 3;KUĆA JOSIPA BOŽIČEVIĆA, OŠTARIJE;ČAKOVAC 408;160;84;84;82;2;10;18;35;19
04;KARLOVAČKA ŽUPANIJA;općina;JOSIPDOL;004;BIRAČKO MJESTO BR. 4;PROSTORIJE ŠKOLE;MODRUŠ 28;117;87;87;86;1;2;8;67;9
04;KARLOVAČKA ŽUPANIJA;općina;JOSIPDOL;005;BIRAČKO MJESTO BR. 5;ZGRADA ŠKOLE U CEROVNIKU;CEROVNIK 30;141;89;89;86;3;1;20;52;13
04;KARLOVAČKA ŽUPANIJA;općina;JOSIPDOL;006;BIRAČKO MJESTO BR. 6;ZGRADA ŠKOLE;MUNJAVA MODRUŠKA 11 A;53;40;40;38;2;2;6;24;6
04;KARLOVAČKA ŽUPANIJA;općina;JOSIPDOL;007;BIRAČKO MJESTO BR. 7;STARA ŠKOLSKA ZGRADA U MODRUŠKIM SABLJACIMA;MODRUŠKI SABLJACI 19;32;15;15;15;0;1;6;6;2
04;KARLOVAČKA ŽUPANIJA;općina;JOSIPDOL;008;BIRAČKO MJESTO BR. 8;DRUŠTVENI DOM U VOJNOVCU;VOJNOVAC 5 A;114;62;62;61;1;2;4;38;17
04;KARLOVAČKA ŽUPANIJA;općina;JOSIPDOL;009;BIRAČKO MJESTO BR. 9;POSLOVNA ZGRADA, OŠTARIJE;OŠTARIJE 231;831;480;480;473;7;20;171;197;85
04;KARLOVAČKA ŽUPANIJA;općina;JOSIPDOL;010;BIRAČKO MJESTO BR. 10;"ZGRADA DOMA ""SVETI MARKO""";SKRADNIK 40;301;202;202;198;4;16;78;91;13
04;KARLOVAČKA ŽUPANIJA;općina;JOSIPDOL;011;BIRAČKO MJESTO BR. 11;DOM MIHALJEVIĆI, OŠTARIJE;MIHALJEVIĆI 121;115;81;81;78;3;4;34;34;6
