Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA STRANKA PRAVA - HSP;KANDIDACIJSKA LISTA GRUPE BIRAČA - SINIŠA LJUBOJEVIĆ;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;001;BIRAČKO MJESTO BR. 1;DOM DONJE DUBRAVE;DONJE DUBRAVE BB;152;68;68;64;4;0;6;0;23;17;18
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;002;BIRAČKO MJESTO BR. 2;PROSTORIJE MJESNOG ODBORA GORNJE DUBRAVE;GORNJE DUBRAVE BB;70;27;27;25;2;0;3;0;7;9;6
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;003;BIRAČKO MJESTO BR. 3;PODRUČNA ŠKOLA TROŠMARIJA;TROŠMARIJA 1;135;81;81;78;3;0;37;0;17;8;16
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;004;BIRAČKO MJESTO BR. 4;DOM SV. ANTUN;ŽEGAR 1;973;601;601;592;9;62;221;15;15;6;273
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;005;BIRAČKO MJESTO BR. 5;PODRUČNA ŠKOLA PONIKVE;PONIKVE 21;59;35;35;33;2;0;0;0;5;22;6
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;006;BIRAČKO MJESTO BR. 6;PODRUČNA ŠKOLA HRELJIN OGULINSKI;HRELJIN OGULINSKI 3;395;200;200;196;4;11;77;3;19;29;57
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;007;BIRAČKO MJESTO BR. 7;DOM SV. PETAR;SV. PETAR BB;888;545;545;528;17;65;178;6;7;1;271
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;008;BIRAČKO MJESTO BR. 8;PODRUČNA ŠKOLA TURKOVIĆI, TURKOVIĆI OGULINSKI;TURKOVIĆI 10;266;178;178;174;4;10;62;1;8;30;63
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;009;BIRAČKO MJESTO BR. 9;PROSTORIJE MJESNOG ODBORA PRAPUĆE-ZAGRAD (BIVŠI ''METIS'');MALA CESTA 6;1421;853;853;836;17;98;251;14;20;11;442
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;010;BIRAČKO MJESTO BR. 10;PODRUČNA ŠKOLA DESMERICE;DESMERICE 54;204;137;137;132;5;19;67;1;0;0;45
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;011;BIRAČKO MJESTO BR. 11;PODRUČNA ŠKOLA ZAGORJE;GORNJE ZAGORJE BB;504;284;284;281;3;109;116;3;1;1;51
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;012;BIRAČKO MJESTO BR. 12;PODRUČNA ŠKOLA KUČINIĆI;KUČINIĆ SELO 26;1127;659;658;651;7;86;240;11;9;4;301
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;013;BIRAČKO MJESTO BR. 13;DOM RIBARIĆI;RIBARIĆI BB;256;190;190;188;2;46;94;0;0;0;48
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;014;BIRAČKO MJESTO BR. 14;PODRUČNA ŠKOLA OTOK OŠTARIJSKI;OTOK OŠTARIJSKI 73;317;196;196;192;4;1;13;1;37;37;103
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;015;BIRAČKO MJESTO BR. 15;PODRUČNA ŠKOLA POTOK MUSULINSKI;POTOK MUSULINSKI BB;84;33;33;27;6;2;3;0;6;5;11
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;016;BIRAČKO MJESTO BR. 16;PODRUČNA ŠKOLA JASENAK;JASENAK 28;173;84;84;80;4;1;6;0;19;36;18
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;017;BIRAČKO MJESTO BR. 17;PROSTORIJE MJESNOG ODBORA DREŽNICA (IZNAD POŠTE);DREŽNICA 8;354;175;175;168;7;4;9;1;56;49;49
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;018;BIRAČKO MJESTO BR. 18;DOM SV. JAKOVA;SV. JAKOV BB;801;482;482;476;6;55;164;6;2;2;247
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;019;BIRAČKO MJESTO BR. 19;"DOM DOBROTVORNOG PODUPIRAJUĆEG DRUŠTVA ""SV. ROK"" U LOMOSTU";LOMOŠĆANSKA CESTA 19;967;599;599;589;10;45;220;7;10;7;300
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;020;BIRAČKO MJESTO BR. 20;DOM ŽELJEZNIČARA;SABORČANSKA 5;357;210;210;206;4;11;55;6;9;4;121
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;021;BIRAČKO MJESTO BR. 21;"SPORTSKA DVORANA ""IVICA CINDRIĆ - PIVA""";J.B. JELAČIĆA 1 A;625;384;383;368;15;26;109;4;7;11;211
04;KARLOVAČKA ŽUPANIJA;grad;OGULIN;022;BIRAČKO MJESTO BR. 22;GIMNAZIJA I STRUKOVNA ŠKOLA BERNARDINA FRANKOPANA;STRUGA 3;764;457;457;444;13;31;122;1;12;22;256
