Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;LIDIJA BOŠNJAK;GORDANA LIPŠINIĆ;BISERKA VRANIĆ
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;001;BIRAČKO MJESTO BR. 1 KURILOVAC;GRADSKA VIJEĆNICA;KURILOVAC 1;831;476;476;461;15;145;147;169
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;002;BIRAČKO MJESTO BR. 2 ZAJAČKO SELO;VATROGASNI DOM;ZAJAČKO SELO;331;221;221;219;2;83;98;38
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;003;BIRAČKO MJESTO BR. 3 OZALJ GRAD;OZALJ GRAD;ZRINSKIH I FRANKOPANA 15;264;149;149;146;3;36;51;59
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;004;BIRAČKO MJESTO BR. 4 MALI ERJAVEC;MO MALI ERJAVEC;MALI ERJAVEC;394;178;178;173;5;66;43;64
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;005;BIRAČKO MJESTO BR. 5 GRDUN;MO GRDUN;GRDUN;108;55;55;55;0;29;17;9
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;006;BIRAČKO MJESTO BR. 6 TOMAŠNICA;KUĆA STJEPANA DUMEŠIĆA;TOMAŠNICA 19;119;65;65;64;1;16;24;24
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;007;BIRAČKO MJESTO BR. 7 JAŠKOVO;MO JAŠKOVO;JAŠKOVO;374;167;167;164;3;62;42;60
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;008;BIRAČKO MJESTO BR. 8 NOVAKI OZALJSKI;VATROGASNI DOM DVORIŠĆE;OZALJSKI NOVAKI;141;64;64;64;0;17;24;23
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;009;BIRAČKO MJESTO BR. 9 FRATROVCI;KUĆA JOSIPA MRLJAKA;FRATROVCI  21;34;13;13;13;0;1;1;11
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;010;BIRAČKO MJESTO BR. 10 SVETIČKO HRAŠĆE;LOVAČKI DOM;SVETIČKO HRAŠĆE;121;63;63;62;1;6;36;20
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;011;BIRAČKO MJESTO BR. 11 POLICE;ŠKOLA POLICE;POLICE;199;82;82;80;2;18;24;38
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;012;BIRAČKO MJESTO BR. 12 VIVODINA;MO VIVODINA;VIVODINA;323;201;201;197;4;108;56;33
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;013;BIRAČKO MJESTO BR. 13 OBREŽ VIVODINSKI;VATROGASNI DOM;OBREŽ VIVODINSKI;155;78;78;78;0;18;25;35
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;014;BIRAČKO MJESTO BR. 14 DOJUTROVICA;VATROGASNI DOM;DOJUTROVICA;51;30;30;30;0;3;9;18
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;015;BIRAČKO MJESTO BR. 15 STOJAVNICE;KUĆA JANKA KOSTELCA;SRŠIĆI 6;44;24;24;24;0;9;8;7
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;016;BIRAČKO MJESTO BR. 16 PODBREŽJE;ŠKOLA PODBREŽJE;PODBREŽJE;252;125;125;120;5;42;33;45
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;017;BIRAČKO MJESTO BR. 17 LOVIĆ PREKRIŠKI;VATROGASNI DOM;LOVIĆ PREKRIŠKI;58;36;36;34;2;15;18;1
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;018;BIRAČKO MJESTO BR. 18 VRHOVAC;VATROGASNI DOM;VRHOVAC;429;211;211;206;5;52;76;78
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;019;BIRAČKO MJESTO BR. 19 TRG;ŠKOLA TRG;TRG;176;86;86;83;3;42;8;33
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;020;BIRAČKO MJESTO BR. 20 POLJE OZALJSKO;DOM ŠLJUNČARA;POLJE OZALJSKO;242;110;110;108;2;71;9;28
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;021;BIRAČKO MJESTO BR. 21 ZORKOVAC;ŠKOLA ZORKOVAC;ZORKOVAC;174;87;87;83;4;59;10;14
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;022;BIRAČKO MJESTO BR. 22 ZORKOVAC NA KUPI;KUĆA BRANKA KOSMAČA;ZORKOVAC NA KUPI 18;91;53;53;52;1;36;7;9
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;023;BIRAČKO MJESTO BR. 23 LEVKUŠJE;VATROGASNI DOM;LEVKUŠJE;155;69;69;69;0;33;9;27
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;024;BIRAČKO MJESTO BR. 24 GORNJE POKUPJE;KUĆA VESNE SEVERINSKI;GORNJE POKUPJE 30;139;65;65;64;1;35;17;12
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;025;BIRČKO MJESTO BROJ 25 RADATOVIĆI;VATROGASNI DOM;RADATOVIĆI;159;48;48;48;0;5;12;31
04;KARLOVAČKA ŽUPANIJA;grad;OZALJ;026;BIRAČKO MJESTO BROJ 26 KAŠT;VATROGASNI DOM;KAŠT;98;45;45;45;0;10;17;18
