Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
04;KARLOVAÈKA ŽUPANIJA;grad;SLUNJ;001;BIRAÈKO MJESTO BR. 1;KNJIŽNICA I ÈITAONICA SLUNJ;TRG DR. FRANJE TUÐMANA 9, SLUNJ;622;274;274;255;19;30;145;9;71
04;KARLOVAÈKA ŽUPANIJA;grad;SLUNJ;002;BIRAÈKO MJESTO BR. 2;OSNOVNA ŠKOLA SLUNJ;SPORTSKA DVORANA, ULICA ŠKOLSKA 17;491;248;248;233;15;27;102;6;98
04;KARLOVAÈKA ŽUPANIJA;grad;SLUNJ;003;BIRAÈKO MJESTO BR. 3;VATROGASNI DOM SLUNJ;ULICA PLITVIÈKA 9, SLUNJ;572;263;263;252;11;32;130;5;85
04;KARLOVAÈKA ŽUPANIJA;grad;SLUNJ;004;BIRAÈKO MJESTO BR. 4;MJESNI DOM U TABORIŠTU;DONJE TABORIŠTE 149 A;445;224;224;217;7;20;119;3;75
04;KARLOVAÈKA ŽUPANIJA;grad;SLUNJ;005;BIRAÈKO MJESTO BR. 5;OSNOVNA ŠKOLA U NIKŠIÆU;DONJI NIKŠIÆ 1;339;172;172;165;7;11;125;7;22
04;KARLOVAÈKA ŽUPANIJA;grad;SLUNJ;006;BIRAÈKO MJESTO BR. 6;OSNOVNA ŠKOLA U BLAGAJU;BLAGAJ 14;61;32;32;31;1;6;21;2;2
04;KARLOVAÈKA ŽUPANIJA;grad;SLUNJ;007;BIRAÈKO MJESTO BR. 7;VATROGASNI DOM U CVITOVIÆU;CVITOVIÆ 100;356;152;152;142;10;15;106;1;20
04;KARLOVAÈKA ŽUPANIJA;grad;SLUNJ;008;BIRAÈKO MJESTO BR. 8;OSNOVNA ŠKOLA KREMEN;KREMEN BB;329;127;127;125;2;23;79;7;16
04;KARLOVAÈKA ŽUPANIJA;grad;SLUNJ;009;BIRAÈKO MJESTO BR. 9;MJESNI DOM U LUMBARDENIKU;LUMBARDENIK 76 C;247;102;102;101;1;13;68;3;17
04;KARLOVAÈKA ŽUPANIJA;grad;SLUNJ;010;BIRAÈKO MJESTO BR. 10;OSNOVNA ŠKOLA LAÐEVAC;DONJI LAÐEVAC  BB;287;96;96;90;6;20;63;2;5
04;KARLOVAÈKA ŽUPANIJA;grad;SLUNJ;011;BIRAÈKO MJESTO BR. 11;OSNOVNA ŠKOLA U FURJANU;DONJI FURJAN 41;159;61;61;56;5;5;42;1;8
04;KARLOVAÈKA ŽUPANIJA;grad;SLUNJ;012;BIRAÈKO MJESTO BR. 12;OSNOVNA ŠKOLA PRIMIŠLJE;MJESTO PRIMIŠLJE 31 A;154;32;32;31;1;2;5;6;18
04;KARLOVAÈKA ŽUPANIJA;grad;SLUNJ;013;BIRAÈKO MJESTO BR. 13;AMBULANTA VELJUN;VELJUN BB;280;103;103;98;5;7;20;43;28
