Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;JOSIP KURTOVIĆ
04;KARLOVAČKA ŽUPANIJA;općina;VOJNIĆ;001;BIRAČKO MJESTO BR. 1;UTINJA VRELO - KUĆA RADE BASARA;PODSEDLO 36;23;13;13;13;0;13
04;KARLOVAČKA ŽUPANIJA;općina;VOJNIĆ;002;BIRAČKO MJESTO BR. 2;KNEŽEVIĆ KOSA - KUĆA MILE MIHANOVIĆ;KNEŽEVIĆ KOSA 34;109;58;58;57;1;57
04;KARLOVAČKA ŽUPANIJA;općina;VOJNIĆ;003;BIRAČKO MJESTO BR. 3;BUKOVICA UTINJSKA - KUĆA JEKE BIJELIĆ;BUKOVICA UTINJSKA 27;26;3;3;3;0;3
04;KARLOVAČKA ŽUPANIJA;općina;VOJNIĆ;004;BIRAČKO MJESTO BR. 4;VOJIŠNICA - KUĆA DRAGANA VUKOBRATOVIĆ;VOJIŠNICA 99A;175;117;117;104;13;104
04;KARLOVAČKA ŽUPANIJA;općina;VOJNIĆ;005;BIRAČKO MJESTO BR. 5;RADONJA - KUĆA PAJIĆ NENADA;GORNJI VOJNIĆ 26;144;38;38;33;5;33
04;KARLOVAČKA ŽUPANIJA;općina;VOJNIĆ;006;BIRAČKO MJESTO BR. 6;VOJNIĆ - DOM KULTURE VOJNIĆ;ANDRIJE HEBRANGA 2;622;397;397;359;38;359
04;KARLOVAČKA ŽUPANIJA;općina;VOJNIĆ;007;BIRAČKO MJESTO BR. 7;KUPLJENSKO - KUĆA NAPIJALO MILANA;KUPLJENSKO 108;109;52;52;49;3;49
04;KARLOVAČKA ŽUPANIJA;općina;VOJNIĆ;008;BIRAČKO MJESTO BR. 8;KRSTINJA - ZGRADA POLJOPRIVREDNE ZADRUGE;KRSTINJA B.B.;41;2;2;2;0;2
04;KARLOVAČKA ŽUPANIJA;općina;VOJNIĆ;009;BIRAČKO MJESTO BR. 9;MIHOLJSKO - KUĆA MIRKO PAVLOVIĆ;MIHOLJSKO 60;36;19;19;17;2;17
04;KARLOVAČKA ŽUPANIJA;općina;VOJNIĆ;010;BIRAČKO MJESTO BR. 10;SVINICA KRSTINJSKA -  ZGRADA BIVŠE PODRUČNE ŠKOLE;SVINICA KRSTINJSKA B.B.;49;6;6;2;4;2
04;KARLOVAČKA ŽUPANIJA;općina;VOJNIĆ;011;BIRAČKO MJESTO BR. 11;ŠIROKA RIJEKA - KUĆA HUSEIN DELIĆ;ŠIROKA RIJEKA 9;32;4;4;4;0;4
04;KARLOVAČKA ŽUPANIJA;općina;VOJNIĆ;012;BIRAČKO MJESTO BR. 12;KESTENOVAC - ZGRADA BIVŠE ŠKOLE;KESTENOVAC B.B.;8;0;0;0;0;0
