Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;MIRKO MARTINOVIÆ;DEJAN MIHAJLOVIÆ;DUŠAN PREDOVIÆ
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;001;BIRAÈKO MJESTO BR. 1;OŠ VLADIMIR NAZOR;JOZEFINSKA CESTA 85;9;0;0;0;0;0;0;0
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;002;BIRAÈKO MJESTO BR. 2;DJEÈJI VRTIÆ;TRG HRVATSKIH MUÈENIKA BB;32;1;1;1;0;1;0;0
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;003;BIRAÈKO MJESTO BR. 3;"PROSTORIJE SPORTSKOG DRUŠTVA ""MLADOST"" NA NOGOMETNOM IGRALIŠTU U DONJEM MRZLOM POLJU";DONJE MRZLO POLJE BB;6;0;0;0;0;0;0;0
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;004;BIRAÈKO MJESTO BR. 4;UDRUŽENJE UMIROVLJENIKA;JOSEFA JERUZALEMA 2;15;0;0;0;0;0;0;0
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;005;BIRAÈKO MJESTO BR. 5;DOM SPORTOVA;BANA JOSIPA JELAÈIÆA 41;18;0;0;0;0;0;0;0
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;006;BIRAÈKO MJESTO BR. 6;OŠ IVAN GORAN KOVAÈIÆ;BANA JOSIPA JELAÈIÆA 8;8;0;0;0;0;0;0;0
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;007;BIRAÈKO MJESTO BR. 7;PEKARA MUS;TRG KRALJA TOMISLAVA 1;29;0;0;0;0;0;0;0
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;008;BIRAÈKO MJESTO BR. 8;KUÆA GAJSKI IVANA;NIKOLE TESLE 4;4;0;0;0;0;0;0;0
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;009;BIRAÈKO MJESTO BR. 9;PROSTORIJE MO TREŠNJEVKA;TRG HRVATSKIH MUÈENIKA 17;12;0;0;0;0;0;0;0
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;010;BIRAÈKO MJESTO BR. 10;VATROGASNI DOM STARA SELA;FRANKOPANSKA BB;1;0;0;0;0;0;0;0
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;011;BIRAÈKO MJESTO BR. 11;KUÆA PROTULIPAC VIDE;PETRAKOVO BRDO 22B;0;0;0;0;0;0;0;0
04;KARLOVAÈKA ŽUPANIJA;grad;DUGA RESA;012;BIRAÈKO MJESTO BR. 12;PROSTORIJE SPORTSKOG DRUŠTVA BRODAC;GORNJE MRZLO POLJE MREŽNIÈKO 101 C;6;0;0;0;0;0;0;0
