Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DAMIR POLJAK;VELIMIR SEKOL;DARKO VUGRINSKI
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;001;BEDNJA;OSNOVNA ŠKOLA;LJUDEVITA GAJA 15;783;475;475;465;10;381;60;24
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;002;PLEŠ;ŠPORTSKO REKREATIVNI CENTAR;PLEŠ BB;354;173;173;168;5;113;38;17
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;003;ŠAŠA;KUĆA MARICE KREŠ;ŠAŠA 49;157;77;77;77;0;52;8;17
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;004;ŠINKOVICA BEDNJANSKA;DRUŠTVENI DOM;ŠINKOVICA BEDNJANSKA BB;112;52;52;51;1;41;1;9
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;005;RINKOVEC;DRUŠTVENI DOM;RINKOVEC BB;312;146;146;142;4;117;12;13
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;006;BENKOVEC;KUĆA ANICE PRAVICA;BENKOVEC 33 D;158;91;91;91;0;65;4;22
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;007;PREBUKOVJE;KUĆA U VLASNIŠTVU OPĆINE BEDNJA;PREBUKOVJE 81;127;60;60;59;1;56;2;1
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;008;VRBNO;OSNOVNA ŠKOLA VRBNO;VRBNO 22A;466;269;269;264;5;180;22;62
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;009;CVETLIN;OSNOVNA ŠKOLA;CVETLIN BB;632;269;269;265;4;190;47;28
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;010;BREZOVA GORA;KUĆA ZDENKE GRABROVEC;BREZOVA GORA 11;76;37;37;37;0;35;1;1
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;011;JAMNO;ETNO KUĆA JAMNO;JAMNO BB;118;64;64;62;2;42;18;2
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;012;MELJAN;KUĆA GABRIJELA ŠTEFANCA;MELJAN 24;168;78;78;76;2;71;1;4
05;VARAŽDINSKA ŽUPANIJA;općina;BEDNJA;013;JEŽOVEC GORNJI;DRUŠTVENI DOM;JEŽOVEC BB;141;66;66;66;0;46;4;16
