Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;NARODNA STRANKA - REFORMISTI - REFORMISTI;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
05;VARAŽDINSKA ŽUPANIJA;općina;CESTICA;001;GORNJE VRATNO;PROSTORIJE DRUŠTVENOG DOMA;VARAŽDINSKA ULICA 136;923;428;428;420;8;64;143;98;115
05;VARAŽDINSKA ŽUPANIJA;općina;CESTICA;002;RADOVEC;PROSTORIJE STARE ŠKOLE RADOVEC;TRG IVANA PAVLA II;260;142;142;137;5;33;55;17;32
05;VARAŽDINSKA ŽUPANIJA;općina;CESTICA;003;CESTICA;PROSTORIJE KULTURNOG CENTRA OPĆINE CESTICA;DRAVSKA 1 A;628;349;349;341;8;73;164;7;97
05;VARAŽDINSKA ŽUPANIJA;općina;CESTICA;004;OTOK VIRJE;PROSTORIJE DRUŠTVENOG DOMA;MOŠE PIJADE;177;89;89;87;2;5;40;1;41
05;VARAŽDINSKA ŽUPANIJA;općina;CESTICA;005;VIRJE KRIŽOVLJANSKO;PROSTORIJE VATROGASNOG DOMA;ORMOŠKA ULICA;232;146;146;141;5;21;65;4;51
05;VARAŽDINSKA ŽUPANIJA;općina;CESTICA;006;RADOVEC POLJE;PROSTORIJE DRUŠTVENOG DOMA;RADOVEC POLJE;119;79;79;78;1;17;28;1;32
05;VARAŽDINSKA ŽUPANIJA;općina;CESTICA;007;BABINEC;PROSTORIJE VATROGASNOG DOMA DVD-A BABINEC;ŠKOLSKA ULICA;646;386;386;365;21;48;252;19;46
05;VARAŽDINSKA ŽUPANIJA;općina;CESTICA;008;VELIKI LOVREČAN;PROSTORIJE VATROGASNOG DOMA DVD-A LOVREČAN-DUBRAVA;SVETOG LOVRE;498;264;264;257;7;36;138;10;73
05;VARAŽDINSKA ŽUPANIJA;općina;CESTICA;009;DUBRAVA KRIŽOVLJANSKA;"PROSTORIJE ZGRADE ""MIHALIĆ""";DUBRAVA KRIŽOVLJANSKA;195;97;97;96;1;17;55;3;21
05;VARAŽDINSKA ŽUPANIJA;općina;CESTICA;010;JARKI;PROSTORIJE MJESNOG ODBORA JARKI;JARKI;277;146;146;140;6;21;73;10;36
05;VARAŽDINSKA ŽUPANIJA;općina;CESTICA;011;GRADIŠĆE;PROSTORIJE VATROGASNOG DOMA GRADIŠĆE;GRADIŠĆE;225;116;116;114;2;25;48;5;36
05;VARAŽDINSKA ŽUPANIJA;općina;CESTICA;012;NATKRIŽOVLJAN;PROSTORIJE MJESNOG ODBORA NATKRIŽOVLJAN;NATKRIŽOVLJAN;233;152;152;147;5;56;51;2;38
05;VARAŽDINSKA ŽUPANIJA;općina;CESTICA;013;GORNJE VRATNO - 2;PROSTORIJE PRIVATNE KUĆE MLADENA IGNACA;G.VRATNO, VARAŽDINSKA 408;141;99;99;97;2;1;94;1;1
