Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;KANDIDACIJSKA LISTA GRUPE BIRAČA -  VJEKOSLAV BAHUN;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA SELJAČKA STRANKA BRAĆE RADIĆ - HSS BRAĆE RADIĆ, BLOK UMIROVLJENICI ZAJEDNO - BUZ;HRVATSKA SELJAČKA STRANKA - HSS;NARODNA STRANKA - REFORMISTI - REFORMISTI;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP;KANDIDACIJSKA LISTA GRUPE BIRAČA -  JOSIP ŠPOLJAR
05;VARAŽDINSKA ŽUPANIJA;općina;MARUŠEVEC;001;DONJE LADANJE;DRUŠTVENI DOM;DONJE LADANJE;906;441;441;430;11;85;61;79;18;63;97;27
05;VARAŽDINSKA ŽUPANIJA;općina;MARUŠEVEC;002;ČALINEC;DOM KULTURE;ČALINEC;314;137;137;131;6;11;13;6;17;45;34;5
05;VARAŽDINSKA ŽUPANIJA;općina;MARUŠEVEC;003;CERJE NEBOJSE;DRUŠTVENI DOM;CERJE NEBOJSE;357;193;193;184;9;7;24;8;12;8;114;11
05;VARAŽDINSKA ŽUPANIJA;općina;MARUŠEVEC;004;MARUŠEVEC - 1;DRUŠTVENI DOM;MARUŠEVEC;373;188;188;182;6;1;14;49;48;38;26;6
05;VARAŽDINSKA ŽUPANIJA;općina;MARUŠEVEC;005;ČALINEC;"OSNOVNA ŠKOLA ""GUSTAV KRKLEC""";ČALINEC;485;247;247;243;4;5;18;27;22;98;52;21
05;VARAŽDINSKA ŽUPANIJA;općina;MARUŠEVEC;006;MARUŠEVEC - 2;ZDRAVSTVENA AMBULANTA;MARUŠEVEC;275;130;130;127;3;2;17;20;18;21;38;11
05;VARAŽDINSKA ŽUPANIJA;općina;MARUŠEVEC;007;GREDA;DRUŠTVENI DOM;GREDA;428;191;191;185;6;2;19;15;25;51;57;16
05;VARAŽDINSKA ŽUPANIJA;općina;MARUŠEVEC;008;JURKETINEC;DRUŠTVENI DOM;JURKETINEC;351;201;201;199;2;8;31;37;16;39;57;11
05;VARAŽDINSKA ŽUPANIJA;općina;MARUŠEVEC;009;BIKOVEC;DRUŠTVENI DOM;BIKOVEC;186;94;94;92;2;0;12;12;14;31;21;2
05;VARAŽDINSKA ŽUPANIJA;općina;MARUŠEVEC;010;NOVAKI;DRUŠTVENI DOM;NOVAKI;440;210;209;206;3;2;34;51;32;15;67;5
05;VARAŽDINSKA ŽUPANIJA;općina;MARUŠEVEC;011;DRUŠKOVEC - 1;DRUŠTVENI DOM;DRUŠKOVEC;297;113;113;111;2;1;23;29;11;16;31;0
05;VARAŽDINSKA ŽUPANIJA;općina;MARUŠEVEC;012;DRUŠKOVEC - 2;PODRUČNA ŠKOLA;DRUŠKOVEC;185;68;68;67;1;4;11;8;1;2;39;2
05;VARAŽDINSKA ŽUPANIJA;općina;MARUŠEVEC;013;BRODAROVEC;KUĆA ŽELJKA IVANČEVIĆA;BRODAROVEC 14;167;60;60;58;2;10;16;14;3;1;14;0
05;VARAŽDINSKA ŽUPANIJA;općina;MARUŠEVEC;014;KORENJAK;KUĆA SUZANE PIŽETA;KORENJAK 34;66;43;43;43;0;0;13;4;7;6;8;5
05;VARAŽDINSKA ŽUPANIJA;općina;MARUŠEVEC;015;SELNIK;KUĆA ANDRIJE KORPARA;SELNIK 127;318;131;131;130;1;2;28;7;18;22;33;20
