Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;LUKA BREZOVEC;JOSIP GAZDEK;SINIŠA JENKAČ;MLADEN SMOLJANEC
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;001;NOVI MAROF 1.;"KULTURNI CENTAR ""IVAN RABUZIN"" (MALA DVORANA)";ULICA ANTUNA MIHANOVIĆA 3;665;352;352;343;9;26;26;192;99
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;002;NOVI MAROF 2.;OSNOVNA ŠKOLA NOVI MAROF;ZAGORSKA ULICA 23;619;285;285;279;6;13;4;201;61
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;003;NOVI MAROF 3.;"U POSLOVNOM PROSTORU ""MARŠIĆ"", NOVI MAROF";VARAŽDINSKA ULICA 88;359;187;187;182;5;14;14;107;47
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;004;PURGARI;POSLOVNO-STAMBENI PROSTOR, VL. ŠTEFANIJE ZIDAR;REMETINEC 8A;248;139;139;137;2;53;0;72;12
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;005;REMETINEC 1.;DRUŠTVENI DOM REMETINEC;REMETINEC 294;628;301;301;296;5;50;33;183;30
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;006;REMETINEC 2.;DRUŠTVENI DOM REMETINEC;REMETINEC 294;379;188;187;181;6;24;24;111;22
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;007;STRMEC REMETINEČKI;DRUŠTVENI DOM STRMEC REMETINEČKI;STRMEC REMETINEČKI 76;423;257;257;251;6;7;9;210;25
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;008;GORNJE PRESEČNO;BIVŠA PODRUČNA ŠKOLA PRESEČNO;PRESEČNO 35;484;204;204;191;13;9;20;142;20
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;009;KLJUČ 1.;DOM KULTURE KLJUČ;VIKTORA ČOLJE 2, KLJUČ;530;262;262;256;6;10;11;205;30
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;010;KLJUČ 2.;PODRUČNA ŠKOLA KLJUČ;VIKTORA ČOLJE 168, KLJUČ;196;93;93;93;0;7;6;80;0
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;011;OŠTRICE;VATROGASNI DOM OŠTRICE;OŠTRICE 24;392;192;192;182;10;24;11;130;17
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;012;OREHOVEC;DRUŠTVENI DOM OREHOVEC;OREHOVEC 23 C;229;109;109;107;2;2;16;73;16
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;013;DONJE PRESEČNO;STAMBENI OBJEKT (STARA KUĆA) VL. BOŽICE STEPAN;PRESEČNO 184;240;94;94;94;0;3;5;59;27
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;014;MOŽĐENEC;DRUŠTVENI DOM MOŽĐENEC;MOŽĐENEC 86 A;571;240;240;235;5;6;8;115;106
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;015;GRANA;UREDSKI KONTEJNER PORED MALONOGOMETNOG IGRALIŠTA U GRANI;GRANA;454;197;197;196;1;9;15;152;20
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;016;GORNJE MAKOJIŠĆE;DRUŠTVENI DOM GORNJE MAKOJIŠĆE;GORNJE MAKOJIŠĆE 90 G;343;164;164;161;3;3;12;123;23
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;017;PAKA;"POSLOVNI PROSTOR ""PLASTILAK"" VL. FRANJE KUZMIĆA";PAKA 20;64;31;31;31;0;2;2;18;9
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;018;SUDOVEC;DRUŠTVENI DOM SUDOVEC;TRG SVETOG FLORIJANA 1, SUDOVEC;278;192;192;189;3;7;12;146;24
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;019;DONJE MAKOJIŠĆE 1.;KUĆA VL. VLADIMIRA OŠTREKA;DONJE MAKOJIŠĆE 16;101;52;52;52;0;3;17;30;2
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;020;DONJE MAKOJIŠĆE 2.;OSNOVNA ŠKOLA PODRUTE U DONJEM MAKOJIŠĆU;DONJE MAKOJIŠĆE 115;317;123;123;121;2;5;20;67;29
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;021;MAĐAREVO;PODRUČNA ŠKOLA MAĐAREVO;MADŽAREVO 149;775;385;385;382;3;20;52;256;54
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;022;TOPLIČICA;KUĆA VL. VLADE CESARA;TOPLIČICA, ZLATARSKA 48;212;86;86;82;4;4;17;45;16
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;023;KRČ;U POSLOVNOM PROSTORU VL. STJEPANA PAŽURA;KRČ 44;360;167;167;165;2;4;11;120;30
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;024;JELENŠČAK;KUĆA VL. NEVENKE KUZMIĆ;JELENŠČAK 7;161;67;67;67;0;1;10;42;14
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;025;KAMENA GORICA;DRUŠTVENI DOM KAMENA GORICA;KAMENA GORICA 40 B;183;86;86;84;2;4;14;61;5
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;026;PODRUTE;ZADRUŽNI DOM PODRUTE (U PRIZEMLJU);PODRUTE 29;226;80;80;77;3;6;9;45;17
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;027;PODEVČEVO;DRUŠTVENI DOM PODEVČEVO;PODEVČEVO 90;638;193;193;184;9;2;11;151;20
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;028;ZAVRŠJE PODBELSKO;PODRUČNA ŠKOLA ZAVRŠJE PODBELSKO;ZAVRŠJE PODBELSKO 115;716;208;208;207;1;5;8;151;43
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;029;FILIPIĆI;KUĆA VL. DIJANE PISKAČ;FILIPIĆI 2;101;21;21;21;0;1;0;18;2
05;VARAŽDINSKA ŽUPANIJA;grad;NOVI MAROF;030;GORNJE PODRUTE;DRUŠTVENI DOM GORNJE PODRUTE;PODRUTE 154 B;123;47;47;47;0;0;2;40;5
