Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;JOSIP JANY;IVAN STANČIN
05;VARAŽDINSKA ŽUPANIJA;općina;SVETI ĐURĐ;001;HRŽENICA - 1;DRUŠTVENI DOM;ULICA BRAĆE RADIĆ 54;277;133;133;132;1;120;12
05;VARAŽDINSKA ŽUPANIJA;općina;SVETI ĐURĐ;002;HRŽENICA - 2;PROSTORIJE NK RADNIČKI;LUDBREŠKA 30;411;170;170;169;1;162;7
05;VARAŽDINSKA ŽUPANIJA;općina;SVETI ĐURĐ;003;KOMARNICA LUDBREŠKA;DRUŠTVENI DOM;KOMARNICA LUDBREŠKA 61A;129;84;84;83;1;78;5
05;VARAŽDINSKA ŽUPANIJA;općina;SVETI ĐURĐ;004;SVETI ĐURĐ;DRUŠTVENI DOM;ULICA BRAĆE RADIĆ 32;513;243;243;234;9;212;22
05;VARAŽDINSKA ŽUPANIJA;općina;SVETI ĐURĐ;005;LUKA LUDBREŠKA;DRUŠTVENI DOM;LUKA LUDBREŠKA 74;185;95;95;93;2;92;1
05;VARAŽDINSKA ŽUPANIJA;općina;SVETI ĐURĐ;006;KARLOVEC LUDBREŠKI;DRUŠTVENI DOM;LUG 1;416;184;184;179;5;144;35
05;VARAŽDINSKA ŽUPANIJA;općina;SVETI ĐURĐ;007;PRILES;DRUŠTVENI DOM;PRILES 45B;187;132;132;128;4;120;8
05;VARAŽDINSKA ŽUPANIJA;općina;SVETI ĐURĐ;008;OBRANKOVEC;DRUŠTVENI DOM;OBRANKOVEC 1B;108;53;53;52;1;46;6
05;VARAŽDINSKA ŽUPANIJA;općina;SVETI ĐURĐ;009;SESVETE LUDBREŠKE;PROSTORIJE MJESNOG ODBORA;VINOGRADSKA ULICA 17;381;172;172;169;3;164;5
05;VARAŽDINSKA ŽUPANIJA;općina;SVETI ĐURĐ;010;STRUGA;DRUŠTVENI DOM;STRUGA 114;365;168;168;166;2;160;6
