Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA SELJAÈKA STRANKA BRAÆE RADIÆ - HSS BRAÆE RADIÆ, BLOK UMIROVLJENICI ZAJEDNO - BUZ;NARODNA STRANKA - REFORMISTI - REFORMISTI, SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA STRANKA UMIROVLJENIKA - HSU;KANDIDACIJSKA LISTA GRUPE BIRAÈA - MARKO PLIŠO;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  KRISTIJAN REMENAR;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  ANITA SAKAÈ
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;001;VARAŽDINSKE TOPLICE;GRADSKA VIJEÆNICA;ULICA DR. FRANJE TUÐMANA 4 (RANIJA ADRESA: UL. MARŠALA TITA 4);357;186;186;179;7;89;16;45;7;13;9
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;002;VARAŽDINSKE TOPLICE;OSNOVNA ŠKOLA;ULICA GRADA VUKOVARA 1 (RANIJA ADRESA: UL. MARTINA PUŠTEKA);489;291;291;283;8;132;11;77;18;28;17
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;003;VARAŽDINSKE TOPLICE;SENZOMOTORNA DVORANA UZ DJEÈJI VRTIÆ;ULICA BRAÆE RADIÆ 12;662;379;379;362;17;169;12;119;15;27;20
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;004;VRTLINOVEC;VATROGASNI DOM;VRTLINOVEC;339;142;142;133;9;35;5;74;4;12;3
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;005;ŠKARNIK;KUÆA IVICE RATKOVIÆA;ŠKARNIK 14;72;51;51;50;1;15;6;25;2;1;1
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;006;PIŠÆANOVEC;KUÆA RADOVANA KANEŠIÆA;PIŠÆANOVEC 16;52;32;32;30;2;4;1;13;0;12;0
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;007;MARTINKOVEC;KUÆA NIKOLE FOŠNJARA;MARTINKOVEC 1;86;44;44;44;0;18;3;18;0;4;1
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;008;JARKI HORVATIÆEVI;KUÆA ANTONIJE VUDRAG;JARKI HORVATIÆEVI 19;47;13;13;13;0;9;0;2;0;0;2
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;009;JALŠEVEC SVIBOVEÈKI;VATROGASNI DOM;JALŠEVEC SVIBOVEÈKI;247;156;156;152;4;43;1;102;0;4;2
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;010;SVIBOVEC;VATROGASNI DOM;SVIBOVEC;229;129;129;123;6;50;10;41;5;14;3
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;011;LESKOVEC TOPLIÈKI;VATROGASNI DOM;LESKOVEC TOPLIÈKI;397;247;247;240;7;121;7;91;5;11;5
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;012;DRENOVEC;VATROGASNI DOM;DRENOVEC;289;170;170;166;4;92;2;39;1;31;1
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;013;GORNJA POLJANA;VATROGASNI DOM;GORNJA POLJANA;209;126;126;121;5;45;6;64;1;3;2
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;014;DONJA POLJANA;VATROGASNI DOM;DONJA POLJANA;339;217;217;215;2;41;5;151;7;2;9
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;015;GREŠÆEVINA;VATROGASNI DOM;GREŠÆEVINA;147;93;93;89;4;19;29;31;1;7;2
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;016;TUHOVEC;DRUŠTVENI DOM;TUHOVEC;618;362;362;355;7;107;11;99;123;12;3
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;017;PETKOVEC TOPLIÈKI;PODRUÈNA ŠKOLA;PETKOVEC TOPLIÈKI;208;132;132;124;8;24;8;25;2;63;2
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;018;ÈRNILE;DRUŠTVENI DOM;ÈRNILE;129;96;96;94;2;21;3;23;3;42;2
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDINSKE TOPLICE;019;HRASTOVEC TOPLIÈKI;KUÆA ROBERTA MRVÈIÆA;HRASTOVEC TOPLIÈKI 2A;189;137;137;135;2;57;4;37;3;31;3
