Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;CENTAR;KANDIDACIJSKA LISTA GRUPE BIRAČA -  IVAN ČEHOK;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRVATSKA STRANKA UMIROVLJENIKA - HSU;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA SELJAČKA STRANKA BRAĆE RADIĆ - HSS BRAĆE RADIĆ, BLOK UMIROVLJENICI ZAJEDNO - BUZ, HRVATSKI LABURISTI - STRANKA RADA - LABURISTI;MOST, HRVATSKI SUVERENISTI, HRAST - POKRET ZA USPJEŠNU HRVATSKU;NARODNA STRANKA - REFORMISTI - REFORMISTI;KANDIDACIJSKA LISTA GRUPE BIRAČA -  DUBRAVKA NOVAK;KANDIDACIJSKA LISTA GRUPE BIRAČA -  DAVOR PATAFTA;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;001;VARAŽDIN;PROSTORIJE GRADSKE  VIJEĆNICE (DVORANA PRIZ.LIJEVO);TRG KRALJA TOMISLAVA 1;494;248;247;242;5;15;31;8;66;8;18;17;33;20;26
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;002;VARAŽDIN;PROSTORIJE DOBROVOLJNOG VATROGASNOG DRUŠTVA VARAŽDIN (DVORIŠTE);TRENKOVA 44;739;318;318;313;5;6;63;9;48;9;11;33;53;23;58
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;003;VARAŽDIN;BIVŠE PROSTORIJE GRADSKOG DRUŠTVA CRVENOG KRIŽA VARAŽDIN;ULICA STANKA VRAZA 8;506;213;213;207;6;4;52;5;31;5;5;21;22;12;50
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;004;VARAŽDIN;PROSTORIJE II. MJESNOG ODBORA;KOLODVORSKA 3;841;414;414;400;14;9;66;12;66;10;17;29;82;32;77
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;005;VARAŽDIN;PROSTORIJE HŽ-ODRŽAVANJE PRUGA;ULAZ IZ ULICE MATICE HRVATSKE;762;358;358;347;11;6;51;7;51;16;16;38;78;22;62
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;006;VARAŽDIN;PROSTORIJE HŽ-PUTNIČKI PRIJEVOZ (ULAZ IZA DOMA ŽELJEZNIČARA);KOLODVORSKA 17;808;339;339;328;11;7;38;13;54;6;19;30;68;31;62
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;007;VARAŽDIN;PROSTORIJE I. OSNOVNE ŠKOLE;KRALJA P. KREŠIMIRA IV 10;625;310;310;301;9;9;59;5;43;9;9;20;69;9;69
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;008;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE III. MJESNOG ODBORA;ZAGREBAČKA 17;910;403;403;385;18;10;53;20;60;11;9;26;68;27;101
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;009;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE III. MJESNOG ODBORA;ZAGREBAČKA 17;973;420;420;407;13;4;69;22;51;10;21;43;82;17;88
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;010;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE DJEČJEG VRTIĆA (LEGO DVORANA);ALEJA KRALJA ZVONIMIRA 3;666;276;276;270;6;6;45;8;28;4;12;18;56;14;79
