Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;BARBARA ANTOLIÆ VUPORA;RADIMIR ÈAÈIÆ;MARIO LEŠINA;KRUNOSLAV LUKAÈIÆ;DENIS MLADENOVIÆ;DARKO NOVOSELEC;ANÐELKO STRIÈAK
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;001;IVANEC - 1;SREDNJA ŠKOLA-BIRALIŠTE I;IVANEC;554;218;218;205;13;64;81;2;6;4;5;43
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;002;IVANEC - 2;OSNOVNA ŠKOLA-BIRALIŠTE I;IVANEC;887;402;402;380;22;105;132;7;27;12;7;90
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;003;IVANEC - 3;PROSTORIJE MUZEJA PLANINARSTVA IVANEC;ULICA RUDOLFA RAJTERA 5;578;256;256;235;21;44;107;6;20;7;16;35
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;004;IVANEC - 4;SREDNJA ŠKOLA - BIRALIŠTE II;IVANEC;629;274;274;262;12;63;107;8;15;14;11;44
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;005;IVANEC - 5;"PROSTORIJE NOVE RADIONICE ""PAHINSKO""";IVANEC;396;177;177;167;10;39;75;5;8;5;13;22
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;006;IVANEC - 6;OSNOVNA ŠKOLA- BIRALIŠTE II;IVANEC;780;346;346;331;15;71;128;4;19;11;7;91
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;007;IVANEC-7;KUÆA PETRE PETRINJAK;IVANEC, ULICA ŽRTAVA HRVATSKIH DOMOVINSKIH RATOVA 20 B;535;253;253;241;12;41;114;4;16;9;8;49
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;008;LANÈIÆ;DRUŠTVENI DOM;LANÈIÆ;326;134;134;128;6;26;62;2;5;3;4;26
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;009;VUGLOVEC;DRUŠTVENI DOM VUGLOVEC-GEÈKOVEC;BIRALIŠTE VUGLOVEC;283;108;108;104;4;15;47;1;5;3;4;29
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;010;GEÈKOVEC;DRUŠTVENI DOM VUGLOVEC-GEÈKOVEC;BIRALIŠTE GEÈKOVEC;104;51;51;49;2;19;17;0;3;1;3;6
