Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;CENTAR;KANDIDACIJSKA LISTA GRUPE BIRAČA -  IVAN ČEHOK;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRVATSKA STRANKA UMIROVLJENIKA - HSU;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA SELJAČKA STRANKA BRAĆE RADIĆ - HSS BRAĆE RADIĆ, DEMOKRATSKA KNEGINEČKA STRANKA - DKS, BLOK UMIROVLJENICI ZAJEDNO - BUZ;MOST, HRVATSKI SUVERENISTI, HRAST - POKRET ZA USPJEŠNU HRVATSKU;NARODNA STRANKA - REFORMISTI - REFORMISTI, STRANKA HRVATSKIH UMIROVLJENIKA - UMIROVLJENICI - UMIROVLJENICI;KANDIDACIJSKA LISTA GRUPE BIRAČA -  DAVOR PATAFTA;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;001;IVANEC - 1;SREDNJA ŠKOLA-BIRALIŠTE I;IVANEC;554;218;218;202;16;0;20;9;42;10;3;50;6;62
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;002;IVANEC - 2;OSNOVNA ŠKOLA-BIRALIŠTE I;IVANEC;887;402;402;377;25;7;20;10;95;21;16;93;2;113
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;003;IVANEC - 3;PROSTORIJE MUZEJA PLANINARSTVA IVANEC;ULICA RUDOLFA RAJTERA 5;578;256;256;240;16;5;32;11;34;16;5;87;5;45
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;004;IVANEC - 4;SREDNJA ŠKOLA - BIRALIŠTE II;IVANEC;629;274;273;260;13;4;22;8;40;11;21;85;7;62
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;005;IVANEC - 5;"PROSTORIJE NOVE RADIONICE ""PAHINSKO""";IVANEC;396;177;177;169;8;0;15;6;32;16;4;49;3;44
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;006;IVANEC - 6;OSNOVNA ŠKOLA- BIRALIŠTE II;IVANEC;780;346;346;326;20;10;25;6;81;23;11;94;6;70
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;007;IVANEC-7;KUĆA PETRE PETRINJAK;IVANEC, ULICA ŽRTAVA HRVATSKIH DOMOVINSKIH RATOVA 20 B;535;253;253;241;12;4;14;7;49;16;11;86;5;49
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;008;LANČIĆ;DRUŠTVENI DOM;LANČIĆ;326;134;134;125;9;1;3;3;30;4;5;42;3;34
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;009;VUGLOVEC;DRUŠTVENI DOM VUGLOVEC-GEČKOVEC;BIRALIŠTE VUGLOVEC;283;108;108;101;7;3;7;3;27;6;3;28;1;23
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;010;GEČKOVEC;DRUŠTVENI DOM VUGLOVEC-GEČKOVEC;BIRALIŠTE GEČKOVEC;104;51;51;48;3;2;2;0;6;3;1;13;1;20
