Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;NENAD BUKOVÈAN;DANIMIR KOLMAN;DAVOR TETEC
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;001;RASINJA;DRUŠTVENI DOM;TRG SV. FLORIJANA 16;744;451;451;447;4;17;145;285
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;002;SUBOTICA PODRAVSKA;DRUŠTVENI DOM;TRG MLADOSTI 22;442;224;224;219;5;17;143;59
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;003;CVETKOVEC;DRUŠTVENI DOM;TRG SVETOG TROJSTVA 14;171;75;75;73;2;7;43;23
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;004;GORICA;VATROGASNI DOM;GORICA 11;112;53;53;52;1;3;29;20
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;005;KUZMINEC;VATROGASNI DOM;KUZMINEC 105;226;106;106;105;1;8;52;45
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;006;KOLEDINEC;DRUŠTVENI DOM;KOLEDINEC 63B;126;77;77;75;2;2;21;52
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;007;BELANOVO SELO;DRUŠTVENI DOM;BELANOVO SELO 24;28;19;19;19;0;0;11;8
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;008;IVANÈEC;DRUŠTVENI DOM;IVANÈEC 30A;40;22;22;22;0;0;18;4
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;009;DUGA RIJEKA;BIVŠA ŠKOLA;DUGA RIJEKA 26;168;75;75;74;1;0;54;20
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;010;RIBNJAK;DRUŠTVENI DOM;RIBNJAK 12;38;24;24;22;2;3;17;2
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;011;RADELJEVO SELO;DRUŠTVENI DOM;RADELJEVO SELO 31;84;27;27;27;0;2;10;15
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;012;PRKOS;BIVŠA ŠKOLA;PRKOS 28;107;36;36;36;0;3;13;20
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;013;VELIKI POGANAC;DRUŠTVENI DOM;VELIKI POGANAC 38;169;67;67;67;0;4;49;14
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;opæina;RASINJA;014;LUDBREŠKI IVANAC;DRUŠTVENI DOM;LUDBREŠKI IVANAC 34;44;24;24;24;0;2;11;11
