Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA SELJAÈKA STRANKA - HSS;HRVATSKA SELJAÈKA STRANKA - STJEPAN RADIÆ - HSS - SR, AUTOHTONA - HRVATSKA STRANKA PRAVA - A - HSP, HRVATSKA STRANKA REDA - HSR, HRVATSKA STRANKA SVIH ÈAKAVACA KAJKAVACA I ŠTOKAVACA - HSSÈKŠ;MOST;MREŽA NEZAVISNIH LISTA - MREŽA, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS;NEZAVISNI;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  MARIO RAJN;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, GRAÐANSKO-LIBERALNI SAVEZ - GLAS
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;ÐURÐEVAC;001;ÐURÐEVAC;DRUŠTVENI DOM PESKI - ULAZ DESNO;ÐURÐEVAC;621;352;352;347;5;7;25;3;3;2;5;281;0;21
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;ÐURÐEVAC;002;ÐURÐEVAC;DRUŠTVENI DOM PESKI - ULAZ LIJEVO;ÐURÐEVAC;751;382;382;373;9;5;13;2;5;1;2;318;1;26
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;ÐURÐEVAC;003;GRKINE;DRUŠTVENI DOM GRKINE;GRKINE;96;41;41;39;2;3;1;0;1;0;1;28;0;5
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;ÐURÐEVAC;004;SEVEROVCI;DRUŠTVENI DOM SEVEROVCI;SEVEROVCI;98;38;38;38;0;0;0;0;0;0;1;36;0;1
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;ÐURÐEVAC;005;ÐURÐEVAC;DRUŠTVENI DOM NOVO SELO;ÐURÐEVAC;799;482;482;467;15;8;35;4;2;3;9;354;1;51
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;ÐURÐEVAC;006;ÐURÐEVAC;ZGRADA INE;ÐURÐEVAC;549;284;284;281;3;3;22;0;0;6;6;229;1;14
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;ÐURÐEVAC;007;SVETA ANA;DRUŠTVENI DOM SVETA ANA;SVETA ANA;86;42;42;42;0;0;1;0;1;0;1;37;0;2
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;ÐURÐEVAC;008;ÐURÐEVAC;DOM KULTURE ÐURÐEVAC - ULAZ LIJEVO;ÐURÐEVAC;624;325;325;320;5;2;20;4;2;3;6;252;0;31
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;ÐURÐEVAC;009;ÐURÐEVAC;DOM KULTURE ÐURÐEVAC- ULAZ DESNO;ÐURÐEVAC;657;360;360;357;3;7;31;2;2;3;8;268;1;35
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;ÐURÐEVAC;010;MIÈETINAC;DRUŠTVENI DOM MIÈETINAC;MIÈETINAC;170;104;104;103;1;0;18;0;0;0;0;71;0;14
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;ÐURÐEVAC;011;ÐURÐEVAC;ZGRADA GRADA ÐURÐEVCA  (STARA VIJEÆNICA);S. RADIÆA 1, ÐURÐEVAC;560;340;339;335;4;5;25;1;0;3;10;254;1;36
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;ÐURÐEVAC;012;ÐURÐEVAC;ZGRADA ZAJEDNICE SPORTSKIH UDRUGA GRADA ÐURÐEVCA;ULICA ANTUNA RADIÆA 4;508;271;271;267;4;3;9;3;2;4;2;209;0;35
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;ÐURÐEVAC;013;ÈEPELOVAC;DRUŠTVENI DOM ÈEPELOVAC;ÈEPELOVAC;280;128;128;118;10;4;10;1;3;2;3;85;0;10
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;ÐURÐEVAC;014;BUDROVAC;DRUŠTVENI DOM BUDROVAC;BUDROVAC;276;129;129;126;3;1;18;0;0;0;3;85;0;19
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;ÐURÐEVAC;015;SIROVA KATALENA;VATROGASNI DOM SIROVA KATALENA;SIROVA KATALENA;216;102;102;102;0;4;42;0;1;1;6;39;0;9
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;ÐURÐEVAC;016;SUHA KATALENA;DRUŠTVENI DOM SUHA KATALENA;SUHA KATALENA;263;125;125;122;3;5;14;1;0;0;6;95;0;1
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;001;REKA;DRUŠTVENI DOM REKA;MAŽURANIÆEV TRG 18;1227;373;373;363;10;39;51;22;5;11;35;34;4;162
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;002;STARIGRAD;PODRUÈNA ŠKOLA STARIGRAD (1);KREŠIMIROVA ULICA 30;975;348;348;335;13;25;43;28;2;30;29;43;5;130
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;003;STARIGRAD;PODRUÈNA ŠKOLA STARIGRAD (2);KREŠIMIROVA ULICA 30;1049;298;298;288;10;17;40;44;3;25;25;37;8;89
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;004;DRAGANOVEC;DRUŠTVENI DOM DRAGANOVEC;DRAGANOVEC;429;146;146;144;2;8;11;15;0;26;11;17;1;55
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;005;BAKOVÈICA;PODRUÈNA ŠKOLA BAKOVÈICA;ŠKOLSKA 35;267;109;109;106;3;5;23;6;3;10;9;10;0;40
06;KOPRIVNIÈKO-KRIŽEVAÈKA ŽUPANIJA;grad;KOPRIVNICA;006;JAGNJEDOVEC;PROSTORIJE MJESNOG ODBORA JAGNJEDOVEC;JAGNJEDOVEC;265;115;115;114;1;6;40;9;0;3;8;9;1;38
