Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;KRISTINA KUBIŠTA;SLAVKO NEHVATAL;ZDENKO PIHIR
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;DEŽANOVAC;001;GORNJI DEŽANOVAC;VATROGASNI DOM;GORNJI DEŽANOVAC 46;4;0;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;DEŽANOVAC;002;DONJI DEŽANOVAC;DRUŠTVENI DOM;DONJI DEŽANOVAC 285;110;51;51;51;0;23;25;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;DEŽANOVAC;003;IVANOVO POLJE;VATROGASNI DOM;IVANOVO POLJE 53;5;0;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;DEŽANOVAC;004;KREŠTELOVAC;DOM KULTURE;KREŠTELOVAC 65;5;1;1;1;0;0;1;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;DEŽANOVAC;005;SOKOLOVAC;VATROGASNI DOM;BRAĆE RADIĆA 14;4;1;1;1;0;0;0;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;DEŽANOVAC;006;BLAGORODOVAC;DOM KULTURE;BANA JELAČIĆA BB;2;0;0;0;0;0;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;DEŽANOVAC;007;GOVEĐE POLJE;VATROGASNI DOM;GOVEĐE POLJE 31;3;2;2;2;0;2;0;0
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;DEŽANOVAC;008;TROJEGLAVA;DOM KULTURE;HRVATSKIH VELIKANA 1;55;27;27;27;0;9;5;13
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;DEŽANOVAC;009;GORNJI SREĐANI;VATROGASNI DOM;GORNJI SREĐANI 70;59;30;30;28;2;11;4;13
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;DEŽANOVAC;010;DONJI SREĐANI;ČEŠKI DOM;DONJI SREĐANI 22;98;60;60;60;0;34;21;5
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;DEŽANOVAC;011;GOLUBINJAK;ČEŠKI DOM;GOLUBINJAK 62;67;51;51;50;1;32;13;5
