Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DAMIR BAJS NEZAVISNA LISTA - DAMIR BAJS NL, HRVATSKA STRANKA UMIROVLJENIKA - HSU, STRANKA UMIROVLJENIKA - SU, BLOK UMIROVLJENICI ZAJEDNO - BUZ, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, NARODNA STRANKA - REFORMISTI - REFORMISTI, NEZAVISNI SELJACI HRVATSKE - NSH, GRAÐANSKO-LIBERALNI SAVEZ - GLAS, HRVATSKA SELJAÈKA STRANKA BRAÆE RADIÆ - HSS BRAÆE RADIÆ;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA SELJAÈKA STRANKA - HSS
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;ÐULOVAC;001;BATINJANI;DOM U BATINJANIMA;BATINJANI 70;227;78;77;75;2;22;9;28;6;10
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;ÐULOVAC;002;VUKOVJE;DOM U VUKOVJU;VUKOVJE 33;131;72;72;71;1;15;5;39;8;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;ÐULOVAC;003;BOROVA KOSA;DOM U BOROVOJ KOSI;BOROVA KOSA 41;55;32;32;31;1;10;9;9;0;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;ÐULOVAC;004;MASLENJAÈA;DOM U MALOJ MASLENJAÈI;MALA MASLENJAÈA 2D;222;107;107;103;4;34;23;27;10;9
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;ÐULOVAC;005;VELIKI BASTAJI;OSNOVNA ŠKOLA U VELIKIM BASTAJIMA;VELIKI BASTAJI 82;507;438;438;418;20;102;128;169;3;16
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;ÐULOVAC;006;VELIKI MILETINAC;DOM U VELIKOM MILETINCU;VELIKI MILETINAC 38;58;41;41;39;2;3;11;22;0;3
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;ÐULOVAC;007;ÐULOVAC;HRVATSKI DOM U ÐULOVCU- LIJEVO;FRANKOPANSKA 2;690;489;489;472;17;180;41;168;5;78
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;ÐULOVAC;008;ÐULOVAC;HRVATSKI DOM U ÐULOVCU-DESNO;FRANKOPANSKA 2;350;233;233;221;12;145;18;44;4;10
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;ÐULOVAC;009;MALA BABINA GORA;DOM U MALOJ BABINOJ GORI;MALA BABINA GORA 16;73;46;46;39;7;15;2;13;0;9
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;ÐULOVAC;010;KORENIÈANI;DOM U KORENIÈANIMA;KORENIÈANI BB;177;148;148;133;15;58;15;41;1;18
