Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;LUKA ERDEC;ŽELJKO MAVRIN
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;IVANSKA;001;IVANSKA;DRUŠTVENI DOM  IVANSKA;IVANSKA, SLAVKA KOLARA 1;576;311;311;298;13;49;249
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;IVANSKA;002;KOLAREVO SELO;DRUŠTVENI DOM;KOLAREVO SELO 71;105;34;34;33;1;4;29
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;IVANSKA;003;UTISKANI;HRVATSKI SELJAČKI DOM;UTISKANI 31 A;139;81;81;79;2;10;69
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;IVANSKA;004;ĐURĐIC;DRUŠTVENI DOM;ĐURĐIC 33;157;76;76;74;2;16;58
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;IVANSKA;005;KRIŽIC;DRUŠTVENI DOM;KRIŽIC 84;134;91;91;90;1;27;63
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;IVANSKA;006;RASTOVAC;DOM RASTOVAC;RASTOVAC 28;25;15;15;14;1;8;6
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;IVANSKA;007;SAMARICA;VATROGASNI DOM;SAMARICA 60A;118;83;83;83;0;9;74
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;IVANSKA;008;DONJA PETRIČKA;VATROGASNI DOM;DONJA PETRIČKA 60;120;75;75;75;0;6;69
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;IVANSKA;009;GORNJA PETRIČKA;VATROGASNI DOM;GORNJA PETRIČKA 30;86;50;50;50;0;3;47
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;IVANSKA;010;BABINAC;DRUŠTVENI DOM;BABINAC 50;113;76;76;76;0;5;71
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;IVANSKA;011;SRIJEDSKA;VATROGASNI DOM;SRIJEDSKA 47;230;104;104;103;1;11;92
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;IVANSKA;012;STARA PLOŠĆICA;DRUŠTVENI DOM;STARA PLOŠĆICA 72;199;105;105;100;5;23;77
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;IVANSKA;013;PALJEVINE;DRUŠTVENI DOM;PALJEVINE 9;184;80;80;77;3;14;63
