Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ROVIŠĆE;001;ROVIŠĆE;DRUŠTVENI DOM (VELIKA DVORANA);TRG HRVATSKIH BRANITELJA 2;964;428;428;350;78;350
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ROVIŠĆE;002;PREDAVAC;DRUŠTVENI DOM PREDAVAC;TRG HRVATSKIH GRANIČARA 25;990;425;425;405;20;405
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ROVIŠĆE;003;PREKOBRDO;DRUŠTVENI DOM;PREKOBRDO 100;96;35;35;33;2;33
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ROVIŠĆE;004;DOMANKUŠ;DRUŠTVENI DOM;DOMANKUŠ 44;195;68;68;60;8;60
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ROVIŠĆE;005;GORNJE ROVIŠĆE;DRUŠTVENI DOM;GORNJE ROVIŠĆE 44;72;24;24;20;4;20
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ROVIŠĆE;006;KAKINAC;VATROGASNI DOM;KAKINAC 32;47;23;23;23;0;23
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ROVIŠĆE;007;KOVAČEVAC;VATROGASNI DOM;KOVAČEVAC 29;143;32;32;29;3;29
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ROVIŠĆE;008;PODGORCI;DRUŠTVENI DOM;PODGORCI 68;328;138;138;124;14;124
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ROVIŠĆE;009;TUK;VATROGASNI DOM;TUK 69;289;93;93;84;9;84
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ROVIŠĆE;010;ŽABJAK;VATROGASNI DOM;ŽABJAK 40;350;119;119;108;11;108
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ROVIŠĆE;011;KRALJEVAC;VATROGASNI DOM;KRALJEVAC 292;335;99;99;90;9;90
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;ROVIŠĆE;012;LIPOVČANI;PRIVATNA KUĆA JOSIPA TUNIĆA;LIPOVČANI 14;38;22;22;22;0;22
