Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;SILVESTAR ŠTEFOVIÆ
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;ŠTEFANJE;001;NARTA;ZDRAVSTVENA AMBULANTA - NARTA;NARTA 294;205;77;77;69;8;69
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;ŠTEFANJE;002;NARTA;VARTOGASNI DOM NARTA;NARTA 180;339;108;108;81;27;81
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;ŠTEFANJE;003;ŠTEFANJE;DRUŠTVENI DOM ŠTEFANJE;ŠTEFANJE 61;233;112;112;103;9;103
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;ŠTEFANJE;004;ŠTEFANJE;DRUŠTVENI DOM ŠTEFANJE BRIJEG;ŠTEFANJE 236 A;54;30;30;25;5;25
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;ŠTEFANJE;005;STARO ŠTEFANJE;DRUŠTVENI DOM STARO ŠTEFANJE;STARO ŠTEFANJE 90;147;94;94;84;10;84
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;ŠTEFANJE;006;LAMINAC;DRUŠTVENI DOM LAMINAC;LAMINAC 133;245;96;96;73;23;73
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;ŠTEFANJE;007;BLATNICA;DRUŠTVENI DOM BLATNICA;BLATNICA 78;79;33;33;27;6;27
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;ŠTEFANJE;008;DONJA ŠUŠNJARA;DRUŠTVENI DOM DONJA ŠUŠNJARA;DONJA ŠUŠNJARA 67;101;66;66;62;4;62
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;ŠTEFANJE;009;GORNJA ŠUŠNJARA;DRUŠTVENI DOM GORNJA ŠUŠNJARA;GORNJA ŠUŠNJARA 24 A;25;13;13;13;0;13
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;ŠTEFANJE;010;STARINE;DRUŠTVENI DOM STARINE;STARINE 13;46;30;30;23;7;23
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;opæina;ŠTEFANJE;011;DASKATICA;DRUŠTVENI DOM DASKATICA;DASKATICA 26;82;31;31;30;1;30
