Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;DAMIR BAJS NEZAVISNA LISTA - DAMIR BAJS NL, HRVATSKA STRANKA UMIROVLJENIKA - HSU, STRANKA UMIROVLJENIKA - SU, BLOK UMIROVLJENICI ZAJEDNO - BUZ, DEMOKRATI, NEZAVISNI SELJACI HRVATSKE - NSH, GRAĐANSKO-LIBERALNI SAVEZ - GLAS, HRVATSKA SELJAČKA STRANKA BRAĆE RADIĆ - HSS BRAĆE RADIĆ, HRVATSKA SELJAČKA STRANKA - HSS;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, NARODNA STRANKA - REFORMISTI - REFORMISTI;HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKI GRĐEVAC;001;VELIKI GRĐEVAC;BIVŠA TRGOVINA DAVORKE ŠOJAT;IGNACA FRANCIŠKOVIĆA 38;303;178;178;175;3;39;28;20;44;37;7
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKI GRĐEVAC;002;VELIKI GRĐEVAC;OSNOVNA ŠKOLA MATE LOVRAKA;TRG M. LOVRAKA 11;431;267;267;258;9;68;35;47;73;13;22
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKI GRĐEVAC;003;VELIKI GRĐEVAC;POSLOVNI PROSTOR MILANA RAKOCIJE;V. NAZORA 55;223;139;139;136;3;37;16;17;41;13;12
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKI GRĐEVAC;004;PAVLOVAC;PODRUČNA ŠKOLA;KRALJA ZVONIMIRA 2;150;79;79;76;3;22;11;12;27;3;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKI GRĐEVAC;005;PAVLOVAC;POSLOVNI PROSTOR MILOVANA KUNDAKA;MATIJE GUPCA 86;162;109;109;104;5;34;0;6;57;3;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKI GRĐEVAC;006;PAVLOVAC;KUĆA DRAGICE RANOGAJEC;KOLODVORSKA  96;118;68;68;68;0;8;6;37;14;2;1
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKI GRĐEVAC;007;DONJA KOVAČICA;MJESNI DOM U DONJOJ KOVAČICI;DONJA KOVAČICA 53A;217;121;121;119;2;55;7;20;31;1;5
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKI GRĐEVAC;008;MALA PISANICA;MJESNI DOM U MALOJ PISANICI;MALA PISANICA 43;140;72;72;70;2;18;6;7;32;2;5
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKI GRĐEVAC;009;DRAŽICA;MJESNI DOM U DRAŽICI;DRAŽICA 71;104;62;62;61;1;11;5;27;14;2;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKI GRĐEVAC;010;GORNJA KOVAČICA;VATROGASNO SPREMIŠTE U G. KOVAČICI;GORNJA KOVAČICA 95;245;122;122;119;3;22;13;18;30;19;17
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;općina;VELIKI GRĐEVAC;011;ZRINSKA;BIVŠA TRGOVINA U ZRINSKOJ;ZRINSKA 47;101;28;28;26;2;2;1;3;4;16;0
