Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;VEDRAN KINKELA;NEVIO KLARIĆ;IVA LETINA;MLADEN PRENC;ENI ŠEBALJ
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;001;MATULJI;"OŠ ""ANDRIJE MOHOROVIČIĆ"" - LIJEVO";ŠETALIŠTE DRAGA GERVAISA 1;981;422;421;417;4;213;11;61;48;84
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;002;MATULJI;"OŠ ""ANDRIJE MOHOROVIČIĆ"" - DESNO";ŠETALIŠTE DRAGA GERVAISA 1;1097;463;462;453;9;199;24;103;33;94
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;003;BREGI;DOM BREGI;POŠČIĆI 57;632;284;284;276;8;134;15;31;13;83
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;004;MATULJI;OPĆINA MATULJI, ZGRADA OPĆINE MATULJI;TRG M. TITA 11;966;399;399;395;4;178;9;72;54;82
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;005;MATULJI;PROSTORIJE AMK-MATULJI;KASTAVSKA CESTA 4;1080;416;416;409;7;164;29;78;48;90
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;006;JUŠIĆI;DRUŠTVENI DOM;JUŠIĆI 42;776;357;357;354;3;109;9;47;82;107
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;007;RUKAVAC;"PODRUČNA ŠKOLA ""RUKAVAC""";RUKAVAC BB;1072;403;403;392;11;134;27;47;38;146
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;008;JURDANI;MJESNI URED JURDANI;JURDANI 64;563;244;244;242;2;75;15;31;30;91
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;009;KUĆELI;DOM BIŠKUPI;BIŠKUPI;112;49;49;49;0;23;0;3;7;16
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;010;PERMANI;DOM PERMANI;PERMANI 1;526;272;272;267;5;91;6;37;69;64
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;011;BREŠCA;"OŠ ""DRAGO GERVAIS""-BREŠCA";BREŠCA 6;324;149;149;147;2;72;6;16;24;29
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;012;VELI BRGUD;DOM VELI BRGUD;VELI BRGUD 62;475;225;225;220;5;87;3;34;54;42
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;013;ZVONEĆA;"PODRUČNA ŠKOLA ""ZVONEĆA""";ZVONEĆA 40;222;103;103;101;2;62;1;10;17;11
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;014;VELE MUNE;PROSTORIJE BIVŠE MJESNE ZAJEDNICE;VELE MUNE 2;222;98;98;95;3;35;9;17;19;15
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;015;RUPA;DRUŠTVENI DOM RUPA;RUPA 29;288;178;178;175;3;50;9;80;16;20
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;016;PASJAK;"KUD ""DANICA""";PASJAK 6O;118;68;68;68;0;12;2;35;7;12
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;017;ŠAPJANE;DOM ŠAPJANE;ŠAPJANE;161;115;115;110;5;37;18;26;15;14
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;018;BRDCE;ZGRADA BROJ  2;BRDCE;59;31;31;28;3;7;1;15;4;1
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;019;LIPA;MUZEJ LIPA;LIPA 35;113;70;70;68;2;26;5;9;11;17
08;PRIMORSKO-GORANSKA ŽUPANIJA;općina;MATULJI;020;ŽEJANE;PODRUČNA ŠKOLA ŽEJANE;ŽEJANE 1;107;54;54;54;0;18;1;9;7;19
