Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  ŽELJKO GRBAC;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;ISTARSKI DEMOKRATSKI SABOR - IDS, HRVATSKA SELJAÈKA STRANKA - HSS, KVARNERSKA INICIJATIVA - REGIONALNA PLATFORMA - KVARNERSKA;MOST;PRIMORSKO GORANSKI SAVEZ - PGS, AKCIJA MLADIH - AM, UNIJA KVARNERA - UNIJA;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA STRANKA UMIROVLJENIKA - HSU;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  ENI ŠEBALJ
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;MATULJI;001;MATULJI;"OŠ ""ANDRIJE MOHOROVIÈIÆ"" - LIJEVO";ŠETALIŠTE DRAGA GERVAISA 1;981;405;405;402;3;25;60;27;17;33;165;75
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;MATULJI;002;MATULJI;"OŠ ""ANDRIJE MOHOROVIÈIÆ"" - DESNO";ŠETALIŠTE DRAGA GERVAISA 1;1097;460;460;448;12;24;102;29;28;28;156;81
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;MATULJI;003;BREGI;DOM BREGI;POŠÈIÆI 57;632;284;284;279;5;13;35;12;17;15;105;82
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;MATULJI;004;MATULJI;OPÆINA MATULJI, ZGRADA OPÆINE MATULJI;TRG M. TITA 11;966;398;398;392;6;31;79;19;8;50;138;67
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;MATULJI;005;MATULJI;PROSTORIJE AMK-MATULJI;KASTAVSKA CESTA 4;1080;416;416;408;8;25;78;25;30;41;142;67
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;MATULJI;006;JUŠIÆI;DRUŠTVENI DOM;JUŠIÆI 42;776;357;357;355;2;15;43;15;13;67;102;100
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;MATULJI;007;RUKAVAC;"PODRUÈNA ŠKOLA ""RUKAVAC""";RUKAVAC BB;1072;403;403;394;9;14;47;16;32;40;109;136
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;MATULJI;008;JURDANI;MJESNI URED JURDANI;JURDANI 64;563;239;239;234;5;12;34;12;16;29;56;75
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;MATULJI;009;KUÆELI;DOM BIŠKUPI;BIŠKUPI;112;49;49;47;2;3;2;10;0;8;16;8
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;MATULJI;010;PERMANI;DOM PERMANI;PERMANI 1;526;272;272;265;7;62;32;9;10;49;62;41
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;MATULJI;011;BREŠCA;"OŠ ""DRAGO GERVAIS""-BREŠCA";BREŠCA 6;324;149;149;146;3;35;16;12;8;17;31;27
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;MATULJI;012;VELI BRGUD;DOM VELI BRGUD;VELI BRGUD 62;475;225;225;224;1;115;19;3;0;27;37;23
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;MATULJI;013;ZVONEÆA;"PODRUÈNA ŠKOLA ""ZVONEÆA""";ZVONEÆA 40;222;103;103;99;4;19;12;1;3;16;40;8
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;MATULJI;014;VELE MUNE;PROSTORIJE BIVŠE MJESNE ZAJEDNICE;VELE MUNE 2;222;98;98;95;3;9;18;7;9;13;27;12
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;MATULJI;015;RUPA;DRUŠTVENI DOM RUPA;RUPA 29;288;178;178;176;2;11;73;2;15;14;41;20
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;MATULJI;016;PASJAK;"KUD ""DANICA""";PASJAK 6O;118;68;68;67;1;2;30;1;2;10;14;8
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;MATULJI;017;ŠAPJANE;DOM ŠAPJANE;ŠAPJANE;161;115;115;111;4;4;30;2;19;17;30;9
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;MATULJI;018;BRDCE;ZGRADA BROJ  2;BRDCE;59;31;31;28;3;1;16;2;2;1;5;1
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;MATULJI;019;LIPA;MUZEJ LIPA;LIPA 35;113;70;70;69;1;6;12;2;4;8;23;14
08;PRIMORSKO-GORANSKA ŽUPANIJA;opæina;MATULJI;020;ŽEJANE;PODRUÈNA ŠKOLA ŽEJANE;ŽEJANE 1;107;54;54;53;1;7;7;6;3;6;7;17
