Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;TOMISLAV CVITKOVIĆ;MIHAEL JOVANOVIĆ
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;001;BIRAČKO MJESTO BR. 1;PROSTORIJE MJESNOG ODBORA KLENOVICA;KLENOVICA, OMLADINSKI PRILAZ 2;528;258;258;256;2;224;32
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;002;BIRAČKO MJESTO BR. 2;PROSTOR RECEPCIJE U BIVŠEM TURISTIČKOM NASELJU POVILE;POVILE, M. BUTKOVIĆA BB;240;123;123;121;2;91;30
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;003;BIRAČKO MJESTO BR. 3;PROSTORIJE BIVŠE OSNOVNE ŠKOLE DONJI ZAGON;DONJI ZAGON B.B.;120;72;72;70;2;45;25
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;004;BIRAČKO MJESTO BR. 4;PROSTORIJE DOMA KULTURE LEDENICE;LEDENICE;161;124;124;117;7;101;16
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;005;BIRAČKO MJESTO BR. 5;"PROSTORIJE ""DOMA KULTURE"" BATER";BATER BB;112;88;88;85;3;58;27
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;006;BIRAČKO MJESTO BR. 6;PROSTORIJE VATROGASNOG DOMA NOVI VINODOLSKI;NOVI VINODOLSKI, VATROGASNA 2;467;235;235;228;7;151;77
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;007;BIRAČKO MJESTO BR. 7;"PROSTORIJE ""MALE SALE DOMA KULTURE""";NOVI VINODOLSKI, KORZO HRVATSKIH BRANITELJA 1;733;413;413;394;19;262;132
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;008;BIRAČKO MJESTO BR. 8;"PROSTORIJE OSNOVNE ŠKOLE ""IVAN MAŽURANIĆ""";NOVI VINODOLSKI, LOKVICA 2;734;374;374;356;18;221;135
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;009;BIRAČKO MJESTO BR. 9;PROSTORIJE NARODNE ČITAONICE I KNJIŽNICE NOVI VINODOLSKI;NOVI VINODOLSKI, TRG VINODOLSKOG ZAKONA 1;797;337;337;319;18;213;106
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;010;BIRAČKO MJESTO BR. 10;"PROSTOR ""ADRIA TURIST""";NOVI VINODOLSKI, KRALJA TOMISLAVA 6;535;277;276;261;15;160;101
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;NOVI VINODOLSKI;011;BIRAČKO MJESTO BR. 11;"PROSTORIJE UPRAVNE ZGRADE ""ŠUMARIJE""";NOVI VINODOLSKI, KORZO HRVATSKIH BRANITELJA 39;583;261;261;252;9;160;92
