Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  DRAŽEN MUFIÆ;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;001;BIRAÈKO MJESTO BR. 1;DOM KULTURE JABLAN;ULICA JABLAN;157;96;96;94;2;27;43;0;24
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;002;BIRAÈKO MJESTO BR. 2;PODRUÈNA ŠKOLA SENJSKO;VRBOVSKO, SENJSKO 108;387;210;210;197;13;45;110;6;36
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;003;BIRAÈKO MJESTO BR. 3;ZGRADA ŠUMARIJE VRBOVSKO;VRBOVSKO, IVANA GORANA KOVAÈIÆA 19;509;225;225;218;7;44;105;10;59
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;004;BIRAÈKO MJESTO BR. 4;PROSTORIJE OSNOVNE ŠKOLE IVANA GORANA KOVAÈIÆA U VRBOVSKOM;VRBOVSKO, KRALJA TOMISLAVA 18;703;364;364;343;21;79;168;14;82
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;005;BIRAÈKO MJESTO BR. 5;VATROGASNI DOM BLAŽEVCI;BLAŽEVCI;117;73;73;73;0;38;26;0;9
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;006;BIRAÈKO MJESTO BR. 6;DOM KULTURE LUKOVDOL;LUKOVDOL;233;108;108;104;4;41;42;0;21
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;007;BIRAÈKO MJESTO BR. 7;PODRUÈNA ŠKOLA SEVERIN NA KUPI;SEVERIN NA KUPI 4;398;214;214;200;14;75;76;0;49
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;008;BIRAÈKO MJESTO BR. 8;PODRUÈNA ŠKOLA VELIKI JADRÈ;VELIKI JADRÈ;160;104;104;100;4;24;56;0;20
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;009;BIRAÈKO MJESTO BR. 9;PODRUÈNA ŠKOLA GOMIRJE;GOMIRJE, ULICA JOVE MAMULE;545;279;279;268;11;7;111;88;62
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;010;BIRAÈKO MJESTO BR. 10;DOM KULTURE  /DVORANA TZK/ MORAVICE;ULICA MARKA VUÈKOVIÆA 2 MORAVICE;664;263;263;253;10;19;74;94;66
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;011;BIRAÈKO MJESTO BR. 11;PODRUÈNA ŠKOLA MORAVICE;MORAVICE, ULICA DOKMANOVIÆI;293;102;102;94;8;2;17;57;18
