Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;ÐORÐE BUSIÆ;NEMANJA MUSULIN
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;001;BIRAÈKO MJESTO BR. 1;DOM KULTURE JABLAN;ULICA JABLAN;6;2;2;2;0;1;1
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;002;BIRAÈKO MJESTO BR. 2;PODRUÈNA ŠKOLA SENJSKO;VRBOVSKO, SENJSKO 108;30;4;4;4;0;3;1
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;003;BIRAÈKO MJESTO BR. 3;ZGRADA ŠUMARIJE VRBOVSKO;VRBOVSKO, IVANA GORANA KOVAÈIÆA 19;95;3;3;2;1;2;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;004;BIRAÈKO MJESTO BR. 4;PROSTORIJE OSNOVNE ŠKOLE IVANA GORANA KOVAÈIÆA U VRBOVSKOM;VRBOVSKO, KRALJA TOMISLAVA 18;139;49;49;49;0;24;25
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;005;BIRAÈKO MJESTO BR. 5;VATROGASNI DOM BLAŽEVCI;BLAŽEVCI;1;1;1;1;0;0;1
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;006;BIRAÈKO MJESTO BR. 6;DOM KULTURE LUKOVDOL;LUKOVDOL;2;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;007;BIRAÈKO MJESTO BR. 7;PODRUÈNA ŠKOLA SEVERIN NA KUPI;SEVERIN NA KUPI 4;14;1;1;1;0;0;1
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;008;BIRAÈKO MJESTO BR. 8;PODRUÈNA ŠKOLA VELIKI JADRÈ;VELIKI JADRÈ;1;0;0;0;0;0;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;009;BIRAÈKO MJESTO BR. 9;PODRUÈNA ŠKOLA GOMIRJE;GOMIRJE, ULICA JOVE MAMULE;449;259;259;252;7;64;188
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;010;BIRAÈKO MJESTO BR. 10;DOM KULTURE  /DVORANA TZK/ MORAVICE;ULICA MARKA VUÈKOVIÆA 2 MORAVICE;412;183;182;180;2;132;48
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;VRBOVSKO;011;BIRAÈKO MJESTO BR. 11;PODRUÈNA ŠKOLA MORAVICE;MORAVICE, ULICA DOKMANOVIÆI;200;77;77;75;2;58;17
