Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;MARKO BORAS MANDIÆ;GARI CAPPELLI;MARINKO KOLJANIN;ZLATKO KOMADINA;LEONARDO PAVELA;IVA RINÈIÆ
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;001;BAKAR;"PROSTORIJE DOMA KULTURE ""MATIJA MAŽIÆ""";PALADA BB;1250;533;533;524;9;33;213;18;214;13;33
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;002;KRASICA;PROSTORIJE MJESNOG ODBORA KRASICA;KRASICA 230A;1217;454;454;432;22;41;171;16;149;12;43
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;003;ŠKRLJEVO;PROSTORIJE DOMA KULTURE ŠKRLJEVO;ŠKRLJEVO 191;1107;504;504;485;19;29;180;23;177;22;54
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;004;KUKULJANOVO;PROSTORIJE DOMA KULTURE KUKULJANOVO;KUKULJANOVO 205B;856;445;445;417;28;39;135;20;174;11;38
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;005;HRELJIN;PROSTORIJE DOMA KULTURE HRELJIN;HRELJIN 119;1263;586;586;566;20;44;213;34;213;18;44
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;006;HRELJIN;"PROSTORIJE NK ""NAPRIJED""";HRELJIN, MEJA GAJ BB;631;298;298;284;14;16;108;9;118;12;21
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;007;ZLOBIN;PROSTORIJE DOMA KULTURE ZLOBIN;ZLOBIN 157;260;159;159;148;11;10;57;5;67;2;7
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;008;PRAPUTNJAK;PROSTORIJE PODRUÈNE ŠKOLE PRAPUTNJAK;PRAPUTNJAK 101;480;272;272;266;6;19;106;15;98;10;18
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRES;001;CRES;GRADSKA VIJEÆNICA CRES;CRES, CRESKOG STATUTA 15;521;318;318;302;16;37;85;5;156;10;9
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRES;002;CRES;"GRADSKA KNJIŽNICA I ÈITAONICA ""FRANE PETRIÆA""";CRES, TRG SV. FRANE 8;499;346;346;335;11;39;97;6;166;11;16
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRES;003;CRES;OSNOVNA ŠKOLA FRANE PETRIÆA;CRES, ŠETALIŠTE 20. TRAVNJA 56;489;294;294;273;21;27;87;4;140;6;9
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRES;004;CRES;DOM ZA ODGOJ DJECE;CRES, JADRANSKA OBALA 15;608;422;422;411;11;51;104;5;212;23;16
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRES;005;BELI;PROSTOR MJESNOG ODBORA BELI;BELI;177;74;74;70;4;9;18;6;33;0;4
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRES;006;ORLEC;ORLEC;ORLEC 3;102;66;66;64;2;7;14;1;41;0;1
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRES;007;VALUN;TURIST BIRO;VALUN;83;46;46;45;1;9;11;2;14;6;3
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRES;008;MARTINŠÆICA;PROSTOR MJESNOG ODBORA;MARTINŠÆICA;247;135;135;133;2;8;45;1;64;8;7
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRIKVENICA;001;CRIKVENICA;"""THALASSOTHERAPIA""";CRIKVENICA, GAJEVO ŠETALIŠTE 21;751;333;333;327;6;17;93;9;166;9;33
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRIKVENICA;002;CRIKVENICA;ZGRADA GRADA CRIKVENICE;CRIKVENICA, KRALJA TOMISLAVA 85;1137;478;478;458;20;41;147;10;212;10;38
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRIKVENICA;003;CRIKVENICA;"OSNOVNA ŠKOLA ""V.NAZORA""";CRIKVENICA,VINODOLSKA 12;1025;422;421;402;19;17;176;12;154;16;27
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRIKVENICA;004;CRIKVENICA;ZGRADA GRADSKE VIJEÆNICE (STARA ŠKOLA);CRIKVENICA, VINODOLSKA 1;833;328;328;316;12;21;98;9;142;7;39
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRIKVENICA;005;CRIKVENICA;"SREDNJA ŠKOLA ""DR. A. BARCA""";CRIKVENICA, ZIDARSKA 4;1611;675;675;647;28;38;260;13;283;16;37
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRIKVENICA;006;CRIKVENICA;"SREDNJA ŠKOLA ""DR. A. BARCA""";CRIKVENICA, ZIDARSKA 4;1629;631;631;597;34;30;188;19;297;12;51
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRIKVENICA;007;DRAMALJ;"""ZADRUŽNI DOM""";DRAMALJ, DRAMALJSKO SELCE 30;1779;625;625;610;15;46;168;17;312;16;51
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRIKVENICA;008;JADRANOVO;DOM KULTURE JADRANOVO;JADRANOVO, IVANA GORANA KOVAÈIÆA 1;1338;480;480;468;12;24;188;14;195;15;32
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRIKVENICA;009;SELCE;PODRUÈNA ŠKOLA SELCE;SELCE, ANDRIJE ANTIÆA 33;1578;625;625;604;21;43;191;15;294;10;51
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;ÈABAR;001;BIRAÈKO MJESTO BR. 1 U ÈABRU;VIJEÆNICA GRADA ÈABRA U ÈABRU;NARODNOG OSLOBOÐENJA 2, ÈABAR;623;334;334;318;16;20;58;9;205;15;11
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;ÈABAR;002;BIRAÈKO MJESTO BR. 2 U PREZIDU;ZGRADA OSNOVNE ŠKOLE U PREZIDU;GORANSKA 103, PREZID;743;395;395;374;21;16;61;8;249;25;15
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;ÈABAR;003;BIRAÈKO MJESTO BR. 3 U TRŠÆU;ZGRADA DRUŠTVENOG DOMA U TRŠÆU;ŠKOLSKA 1, TRŠÆE;783;443;443;418;25;18;71;23;264;18;24
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;ÈABAR;004;BIRAÈKO MJESTO BR. 4 U GEROVU;ZGRADA OSNOVNE ŠKOLE U GEROVU;ZAGREBAÈKA 2, GEROVO;906;503;503;486;17;18;96;10;325;14;23
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;ÈABAR;005;BIRAÈKO MJESTO BR. 5 U PLEŠCIMA;ZGRADA DRUŠTVENOG DOMA U PLEŠCIMA;ANTUNA MUHVIÆA 1, PLEŠCE;270;162;162;161;1;7;46;2;97;6;3
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;001;BIRAÈKO MJESTO BR. 1;"ZGRADA PODRUÈNE OŠ ""I.G. KOVAÈIÆA"" CRNI LUG";CRNI LUG, I.G. KOVAÈIÆA 2;322;149;149;141;8;10;39;4;80;2;6
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;002;BIRAÈKO MJESTO BR. 2;ZGRADA MGP LUÈICE;LUÈICE, LUÈIÆKA CESTA 1;291;70;70;69;1;8;17;2;30;5;7
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;003;BIRAÈKO MJESTO BR. 3;ZGRADA RADNIÈKOG DOMA DELNICE;DELNICE, ŠKOLSKA 24;1127;532;532;519;13;23;154;10;278;13;41
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;004;BIRAÈKO MJESTO BR. 4;ZGRADA SUDA DELNICE;DELNICE, TINA UJEVIÆA 1;1231;544;544;522;22;32;122;16;286;10;56
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;005;BIRAÈKO MJESTO BR. 5;ZGRADA ŠUMARIJE DELNICE;DELNICE, PETRA KREŠIMIRA IV  53;1288;621;621;601;20;38;136;6;344;17;60
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;006;BIRAÈKO MJESTO BR. 6;"ZGRADA OSNOVNE ŠKOLE ""F.K.FRANKOPANA""  BROD NA KUPI";BROD NA KUPI, KRALJA TOMISLAVA 17 A;369;173;173;167;6;8;51;6;86;4;12
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;DELNICE;007;BIRAÈKO MJESTO BR. 7;ZGRADA OSNOVNE ŠKOLE TURKE;TURKE, TURKE 19;133;59;59;59;0;4;11;0;40;2;2
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KASTAV;001;KASTAV;DOM BRAÆE MATEŠIÆ;ŠPOROVA JAMA 2;878;478;478;461;17;115;71;19;203;15;38
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KASTAV;002;KASTAV;PROSTORIJA DRUŠTVENOG DOMA BRNÈIÆI;BRNÈIÆI 66;1133;443;443;420;23;66;97;19;185;10;43
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KASTAV;003;KASTAV;PROSTORIJA U PRIZEMLJU ZGRADE (MO REŠETARI);ŠTIVAR 13;2260;750;750;728;22;105;194;30;296;26;77
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KASTAV;004;KASTAV;"PROSTORIJA GLAZBENOG DOMA ""DR. VOJKO VLAH""";SPINÈIÆI 47;1706;733;733;720;13;110;173;17;316;25;79
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KASTAV;005;KASTAV;PROSTORIJA DRUŠTVENOG DOMA BRAÆE MILIH (PRIZEMLJE);RUBEŠI 65;1605;629;629;608;21;94;139;30;260;37;48
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KASTAV;006;KASTAV;PROSTORIJA DRUŠTVENOG DOMA BRAÆE MILIH (SUTEREN);RUBEŠI 65;959;373;373;363;10;41;111;16;146;20;29
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KASTAV;007;KASTAV;PROSTORIJA ŠKOLSKE SPORTSKE DVORANE;STRAŽNICA 2;856;353;353;340;13;64;72;15;157;8;24
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRALJEVICA;001;KRALJEVICA;I KAT - VIJEÆNICA;FRANKOPANSKA 1A;1167;594;594;564;30;60;205;27;227;10;35
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRALJEVICA;002;KRALJEVICA;DOM KULTURE I SPORTA, PROSTORIJA UDRUGE UMIROVLJENIKA;STROSSMAYEROVA 29;1186;523;523;502;21;35;177;11;210;13;56
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRALJEVICA;003;BAKARAC;PROSTORIJE DRUŠTVENOG DOMA;BAKARAC 8;265;140;140;135;5;20;48;4;47;4;12
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRALJEVICA;004;KRIŽIŠÆE;PROSTORIJE DRUŠTVENOG DOMA;KRIŽIŠÆE 27;386;210;210;199;11;15;81;11;66;6;20
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRALJEVICA;005;ŠMRIKA;"PROSTORIJE DRUŠTVENOG  DOMA ""IVICA TURINA""";BURIÆEVA 38;906;431;431;409;22;40;149;20;159;11;30
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;001;KRK;GALERIJA DECUMANUS;KRK, J.J.STROSSMAYERA BB;839;299;299;287;12;66;57;8;124;8;24
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;002;KRK;MALA VIJEÆNICA GRADA KRKA;KRK, TRG JOSIPA BANA JELAÈIÆA BR.2;728;278;278;269;9;61;49;6;109;5;39
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;003;KRK;VELIKA VIJEÆ. GRADA KRKA - I DIO;KRK, TRG JOSIPA BANA JELAÈIÆA BR.2;1008;413;413;393;20;82;77;11;181;6;36
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;004;KRK;VELIKA VIJEÆ. GRADA KRKA - II DIO;KRK, TRG JOSIPA BANA JELAÈIÆA BR.2;1138;421;421;408;13;90;82;9;197;7;23
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;005;KORNIÆ;MJESNI DOM KORNIÆ;KORNIÆ;566;190;190;183;7;37;34;4;86;3;19
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;006;VRH;MJESNI DOM VRH;VRH;860;261;261;253;8;42;58;8;120;4;21
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;007;PINEZIÆI;MJESNI DOM PINEZIÆI;PINEZIÆI;437;204;204;199;5;73;28;5;76;3;14
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;008;MILOHNIÆI;MJESNI DOM MILOHNIÆI;MILOHNIÆI;430;150;150;145;5;25;25;4;81;4;6
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;KRK;009;POLJICA;ŠKOLA POLJICA;POLJICA 14;417;179;178;174;4;55;48;3;57;5;6
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;001;MALI LOŠINJ;GRAD MALI LOŠINJ;MALI LOŠINJ, RIVA LOŠINJSKIH KAPETANA 7;873;469;469;449;20;21;194;13;183;18;20
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;002;MALI LOŠINJ;MUZEJ APOKSIOMENA;MALI LOŠINJ, RIVA LOŠINJSKIH KAPETANA 13;814;428;428;424;4;23;158;9;182;20;32
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;003;MALI LOŠINJ;VODOOPSKRBA I ODVODNJA CRES LOŠINJ D.O.O.;MALI LOŠINJ, TRG ŽRTAVA FAŠIZMA 6;1042;628;628;614;14;28;285;6;228;33;34
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;004;MALI LOŠINJ;UDRUGA UMIROVLJENIKA GRADA MALOG LOŠINJA;MALI LOŠINJ, BRAÆE IVANA I STJEPANA VIDULIÆA 14;1427;796;794;770;24;46;343;9;283;39;50
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;005;MALI LOŠINJ;POSLOVNI PROSTOR BIVŠE POSLOVNICE OTP BANKE;MALI LOŠINJ, CRESKA 3;1144;649;649;629;20;29;266;4;256;35;39
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;006;VELI LOŠINJ;PROSTORIJA MJESNOG ODBORA;VELI LOŠINJ, OBALA MARŠALA TITA 36;818;455;455;430;25;32;141;8;209;23;17
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;007;ILOVIK;ILOVIK - PROSTORIJA MJESNOG ODBORA;ILOVIK;135;60;60;60;0;1;49;0;7;1;2
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;008;SUSAK;SUSAK - PROSTORIJE MJESNOG ODBORA - DOM ISELJENIKA;SUSAK;257;77;77;77;0;3;47;0;25;1;1
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;009;UNIJE;UNIJE - PROSTORIJA OSNOVNE ŠKOLE;UNIJE;117;36;36;33;3;2;6;1;22;1;1
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;010;ÆUNSKI;ÆUNSKI - PROSTORIJE MJESNOG ODBORA;ÆUNSKI BR. 23;312;168;168;158;10;8;62;0;69;6;13
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;011;NEREZINE;"NEREZINE - PROSTORIJA ""GRADSKE VIJEÆNICE""";NEREZINE, TRG STUDENAC;532;283;283;280;3;27;121;1;102;11;18
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;012;PUNTA KRIŽA;PUNTA KRIŽA - PROSTORIJA OSNOVNE ŠKOLE;PUNTA KRIŽA;65;35;35;34;1;1;15;1;16;1;0
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;MALI LOŠINJ;013;BELEJ;"BELEJ - PROSTORIJA ""ZADRUŽNOG DOMA""";BELEJ;81;52;52;50;2;3;23;2;19;1;2
