Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AKCIJA MLADIH - AM, UNIJA KVARNERA - UNIJA, ALTERNATIVA 101 - ALTERNATIVA;BURA;DOMOVINSKI POKRET - DP, HRVATSKA STRANKA PRAVA - HSP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;LISTA ZA RIJEKU - RI, KVARNERSKA INICIJATIVA - REGIONALNA PLATFORMA - KVARNERSKA, STRANKA UMIROVLJENIKA - SU;MOST;MOŽEMO! - POLITIÈKA PLATFORMA, NOVA LJEVICA - NL, ZELENA ALTERNATIVA - ODRŽIVI RAZVOJ HRVATSKE - Zelena alternativa - ORaH;RADNIÈKA FRONTA - RF;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  IVA RINÈIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, PRIMORSKO GORANSKI SAVEZ - PGS, ISTARSKI DEMOKRATSKI SABOR - IDS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA SELJAÈKA STRANKA - HSS
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;001;BAKAR;"PROSTORIJE DOMA KULTURE ""MATIJA MAŽIÆ""";PALADA BB;1250;533;533;520;13;44;7;20;216;22;10;18;19;14;150
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;002;KRASICA;PROSTORIJE MJESNOG ODBORA KRASICA;KRASICA 230A;1217;454;453;438;15;37;11;11;175;12;11;29;11;13;128
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;003;ŠKRLJEVO;PROSTORIJE DOMA KULTURE ŠKRLJEVO;ŠKRLJEVO 191;1107;504;504;489;15;31;13;8;188;13;27;32;19;23;135
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;004;KUKULJANOVO;PROSTORIJE DOMA KULTURE KUKULJANOVO;KUKULJANOVO 205B;856;445;445;425;20;48;14;8;134;19;17;24;13;17;131
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;005;HRELJIN;PROSTORIJE DOMA KULTURE HRELJIN;HRELJIN 119;1263;587;586;569;17;50;12;19;201;24;31;26;13;30;163
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;006;HRELJIN;"PROSTORIJE NK ""NAPRIJED""";HRELJIN, MEJA GAJ BB;631;298;298;288;10;18;9;10;115;8;12;9;7;7;93
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;007;ZLOBIN;PROSTORIJE DOMA KULTURE ZLOBIN;ZLOBIN 157;260;159;159;148;11;13;4;6;59;1;1;3;5;2;54
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;BAKAR;008;PRAPUTNJAK;PROSTORIJE PODRUÈNE ŠKOLE PRAPUTNJAK;PRAPUTNJAK 101;480;272;272;267;5;25;7;12;105;8;13;9;5;8;75
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRES;001;CRES;GRADSKA VIJEÆNICA CRES;CRES, CRESKOG STATUTA 15;521;318;318;297;21;51;4;19;53;12;12;10;9;3;124
08;PRIMORSKO-GORANSKA ŽUPANIJA;grad;CRES;002;CRES;"GRADSKA KNJIŽNICA I ÈITAONICA ""FRANE PETRIÆA""";CRES, TRG SV. FRANE 8;499;346;346;333;13;77;7;17;68;8;10;11;4;10;121
