Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;ZLATKO FUMIÆ;JOSIPA PAVLOVIÆ
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;BRINJE;001;BRINJE - OŠ BRINJE - PRIZEMLJE;OŠ BRINJE - PRIZEMLJE;BRINJE;804;518;518;502;16;370;132
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;BRINJE;002;BRINJE - OŠ BRINJE - I KAT;OŠ BRINJE - I KAT;BRINJE;349;247;247;239;8;212;27
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;BRINJE;003;BRINJE - OSNOVNA ŠKOLA KRIŽPOLJE;OSNOVNA ŠKOLA KRIŽPOLJE;KRIŽPOLJE;423;221;221;219;2;147;72
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;BRINJE;004;BRINJE - OŠ LETINAC;OŠ LETINAC;LETINAC;103;75;75;70;5;48;22
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;BRINJE;005;BRINJE - DOM PROKIKE;DOM PROKIKE;PROKIKE;106;53;53;51;2;46;5
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;BRINJE;006;BRINJE - OŠ KRIŽ KAMENICA;OŠ KRIŽ KAMENICA;KRIŽ KAMENICA;170;111;111;110;1;83;27
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;BRINJE;007;BRINJE - ZADRUŽNI DOM VODOTEÈ;ZADRUŽNI DOM VODOTEÈ;VODOTEÈ;47;30;30;29;1;28;1
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;BRINJE;008;BRINJE - OSNOVNA ŠKOLA JEZERANE;OSNOVNA ŠKOLA JEZERANE;JEZERANE;259;116;116;114;2;83;31
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;BRINJE;009;BRINJE - OŠ LIPICE;OŠ LIPICE;LIPICE;120;50;50;50;0;40;10
09;LIÈKO-SENJSKA ŽUPANIJA;opæina;BRINJE;010;BRINJE - OŠ STAJNICA;OŠ STAJNICA;STAJNICA;172;92;92;91;1;76;15
