Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;IVAN STARČEVIĆ;KARLO STARČEVIĆ;MARIO STILINOVIĆ;NIKOLA ŠIMUNIĆ;MIRJANA VRKLJAN RADOŠEVIĆ
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;001;GOSPIĆ;PUČKO OTVORENO UČILIŠTE DR ANTE STARČEVIĆA;ULICA DR. FRANJE TUĐMANA BR. 5, GOSPIĆ;952;613;613;602;11;19;277;144;132;30
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;002;GOSPIĆ;ZGRADA HRVATSKE POŠTE U GOSPIĆU;KANIŠKA ULICA BR. 53, GOSPIĆ;951;638;638;616;22;14;270;129;183;20
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;003;GOSPIĆ;ZGRADA DOMA ZDRAVLJA U GOSPIĆU;ULICA 118. BRIGADE HRVATSKE VOJSKE 3, GOSPIĆ;1377;742;742;730;12;17;350;175;145;43
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;004;GOSPIĆ;ZGRADA GIMNAZIJE U GOSPIĆU;BUDAČKA ULICA BR. 24, GOSPIĆ;798;521;521;515;6;4;244;141;99;27
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;005;GOSPIĆ;"ZGRADA ""USLUGE"" D.O.O. U GOSPIĆU";BUŽIMSKA ULICA 10;1511;1026;1026;1009;17;18;514;264;159;54
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;006;GOSPIĆ;ČITAONICA KANIŽA;KANIŽA GOSPIĆKA;375;239;239;234;5;1;119;55;54;5
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;007;GOSPIĆ;ČITAONICA ŽABICA;ŽABICA, GOSPIĆ;164;101;101;96;5;1;34;30;25;6
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;008;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE LIČKI NOVI;LIČKI NOVI;242;125;125;121;4;4;48;40;25;4
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;009;GOSPIĆ;ZGRADA HRVATSKIH CESTA U PODOŠTRI;PODOŠTRA;157;103;103;99;4;3;38;28;24;6
09;LIČKO-SENJSKA ŽUPANIJA;grad;GOSPIĆ;010;GOSPIĆ;ZGRADA OSNOVNE ŠKOLE BILAJ;BILAJ;274;200;200;196;4;1;50;67;75;3
