Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA STRANKA PRAVA - HSP;LiPO;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;001;GOSPIÆ;PUÈKO OTVORENO UÈILIŠTE DR ANTE STARÈEVIÆA;ULICA DR. FRANJE TUÐMANA BR. 5, GOSPIÆ;952;613;613;604;9;37;164;242;147;14
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;002;GOSPIÆ;ZGRADA HRVATSKE POŠTE U GOSPIÆU;KANIŠKA ULICA BR. 53, GOSPIÆ;951;638;638;617;21;21;145;238;193;20
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;003;GOSPIÆ;ZGRADA DOMA ZDRAVLJA U GOSPIÆU;ULICA 118. BRIGADE HRVATSKE VOJSKE 3, GOSPIÆ;1377;742;742;732;10;57;185;326;144;20
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;004;GOSPIÆ;ZGRADA GIMNAZIJE U GOSPIÆU;BUDAÈKA ULICA BR. 24, GOSPIÆ;798;521;521;513;8;34;152;213;99;15
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;005;GOSPIÆ;"ZGRADA ""USLUGE"" D.O.O. U GOSPIÆU";BUŽIMSKA ULICA 10;1511;1026;1026;1009;17;77;284;451;165;32
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;006;GOSPIÆ;ÈITAONICA KANIŽA;KANIŽA GOSPIÆKA;375;239;239;232;7;12;55;104;60;1
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;007;GOSPIÆ;ÈITAONICA ŽABICA;ŽABICA, GOSPIÆ;164;101;101;95;6;9;29;33;24;0
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;008;GOSPIÆ;ZGRADA OSNOVNE ŠKOLE LIÈKI NOVI;LIÈKI NOVI;242;125;125;123;2;6;52;41;24;0
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;009;GOSPIÆ;ZGRADA HRVATSKIH CESTA U PODOŠTRI;PODOŠTRA;157;103;103;101;2;6;33;34;26;2
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;010;GOSPIÆ;ZGRADA OSNOVNE ŠKOLE BILAJ;BILAJ;274;200;200;196;4;8;71;45;71;1
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;011;GOSPIÆ;OBITELJSKA KUÆA MILANA GENDE RIBNIK;RIBNIK 31/1;78;47;47;45;2;2;16;8;19;0
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;012;GOSPIÆ;ZGRADA OSNOVNE ŠKOLE TRNOVAC;TRNOVAC;151;82;82;80;2;4;36;21;17;2
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;013;GOSPIÆ;ZGRADA OSNOVNE ŠKOLE BRUŠANE;BRUŠANE;133;77;77;75;2;7;26;13;25;4
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;014;GOSPIÆ;ÈITAONICA BUDAK;BUDAK;119;74;74;74;0;3;16;35;18;2
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;015;GOSPIÆ;ZGRADA OSNOVNE ŠKOLE MUŠALUK;MUŠALUK;168;84;84;84;0;6;23;43;10;2
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;016;GOSPIÆ;ZGRADA OSNOVNE ŠKOLE LIÈKI OSIK;LIÈKI OSIK (NASELJE);1421;707;707;685;22;49;122;336;149;29
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;017;GOSPIÆ;KUÆA DRAGANA ŠOPA, LIÈKI OSIK (STARI) BR 64;LIÈKI OSIK (STARI);187;93;93;90;3;9;18;45;18;0
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;018;GOSPIÆ;ZGRADA DRUŠTVENOG DOMA  VREBAC;VREBAC;103;32;32;31;1;0;1;18;5;7
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;019;GOSPIÆ;MJESNI ODBOR MOGORIÆ;MOGORIÆ;94;31;31;31;0;2;0;14;6;9
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;020;GOSPIÆ;MJESNI ODBOR MEDAK;MEDAK;123;34;34;33;1;2;0;16;5;10
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;021;GOSPIÆ;ZGRADA HRVATSKOG NARODNOG DOMA SMILJAN;SMILJAN;497;317;317;311;6;12;90;163;44;2
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;022;GOSPIÆ;ZGRADA OSNOVNE ŠKOLE DEBELO BRDO;DEBELO BRDO;63;39;39;38;1;0;10;28;0;0
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;023;GOSPIÆ;ZGRADA OSNOVNE ŠKOLE  BUŽIM;BUŽIM;86;53;53;51;2;2;25;14;9;1
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;024;GOSPIÆ;ZGRADA OSNOVNE ŠKOLE VELIKI ŽITNIK;VELIKI ŽITNIK;44;23;23;22;1;0;6;16;0;0
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;025;GOSPIÆ;ZGRADA OSNOVNE ŠKOLE KLANAC;KLANAC;192;109;109;105;4;3;26;52;21;3
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;026;GOSPIÆ;ZGRADA OSNOVNE ŠKOLE ALEKSINICA;ALEKSINICA;123;69;69;68;1;3;18;30;16;1
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;027;GOSPIÆ;ZGRADA OSNOVNE ŠKOLE KALINOVAÈA;KALINOVAÈA;108;63;63;60;3;2;16;39;2;1
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;028;GOSPIÆ;ZGRADA OSNOVNE ŠKOLE NOVOSELIJA;NOVOSELIJA;202;124;124;117;7;1;48;54;12;2
09;LIÈKO-SENJSKA ŽUPANIJA;grad;GOSPIÆ;029;GOSPIÆ;KUÆA MARIA JOVANOVIÆA;MALA PLANA 35 A;73;44;44;40;4;1;14;19;5;1
