Rbr.županije;Županija;Oznaka GROP;Grad/općina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno birača;Glasovalo birača;Glasovalo birača (po listićima);Važeći listići;Nevažeći listići;KANDIDACIJSKA LISTA GRUPE BIRAČA -  GORAN BUKOVAC;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;KANDIDACIJSKA LISTA GRUPE BIRAČA -  NENAD JANKOVIĆ;LiPO;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;001;OTOČAC - PODRUČNA ŠKOLA HRVATSKO POLJE;PODRUČNA ŠKOLA HRVATSKO POLJE;HRVATSKO POLJE;150;74;74;73;1;6;2;20;0;16;28;1
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;002;OTOČAC - PODRUČNA ŠKOLA KOMPOLJE;PODRUČNA ŠKOLA KOMPOLJE;KOMPOLJE;495;246;246;236;10;38;4;68;0;5;114;7
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;003;OTOČAC - PODRUČNA ŠKOLA ŠVICA;PODRUČNA ŠKOLA ŠVICA;ŠVICA;404;250;250;242;8;52;8;54;5;10;101;12
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;004;OTOČAC - PODRUČNA ŠKOLA LIPOVLJE;PODRUČNA ŠKOLA LIPOVLJE;LIPOVLJE;191;94;94;91;3;28;5;25;0;0;28;5
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;005;OTOČAC - PODRUČNA ŠKOLA KUTEREVO;PODRUČNA ŠKOLA KUTEREVO;KUTEREVO;404;233;233;231;2;92;3;47;1;0;85;3
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;006;OTOČAC - AUTO-KLUB OTOČAC;AUTO KLUB OTOČAC;OTOČAC, IVE SENJANINA 12;1304;779;778;760;18;309;37;168;6;24;182;34
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;007;OTOČAC-OSNOVNA ŠKOLA OTOČAC;OŠ OTOČAC;OTOČAC;568;374;374;366;8;146;10;44;3;18;124;21
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;008;OTOČAC-ZGRADA GACKOG PUČKOG  O. UČ. (KAT);ZGRADA GACKOG  PUČKOG O. UČ.(KAT);OTOČAC;834;507;507;500;7;146;13;128;12;13;171;17
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;009;OTOČAC - ZGRADA GACKOG PUČKOG O. UČ (PRIZ);ZGRADA GACKOG PUČKOG O. UČ. (PRIZ);OTOČAC;1085;583;583;563;20;173;12;122;9;16;219;12
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;010;OTOČAC - LOVAČKI DOM DABAR;LOVAČKI DOM DABAR;DABAR;90;37;37;35;2;5;1;6;1;2;20;0
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;011;OTOČAC - DOM PROZOR DONJI;DOM PROZOR DONJI;PROZOR DONJI;404;271;271;265;6;53;7;39;3;13;147;3
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;012;OTOČAC - PODRUČNA ŠKOLA PROZOR GORNJI;PODRUČNA ŠKOLA PROZOR GORNJI;PROZOR GORNJI;340;219;219;216;3;70;7;26;1;2;104;6
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;013;OTOČAC - PODRUČNA ŠKOLA ČOVIĆI;PODRUČNA ŠKOLA ČOVIĆI;ČOVIĆI;497;305;305;293;12;71;9;107;5;5;94;2
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;014;OTOČAC - PODRUČNA ŠKOLA LIČKO LEŠĆE;PODRUČNA ŠKOLA LIČKO LEŠĆE;LIČKO LEŠĆE DONJE;349;204;204;203;1;51;9;71;2;2;65;3
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;015;"OTOČAC - HRVATSKI SELJAČKI DOM ""GACKA"" LIČKO LEŠĆE";"HRVATSKI SELJAČKI DOM ""GACKA""";LIČKO LEŠĆE GORNJE;225;160;160;157;3;22;9;61;2;0;61;2
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;016;OTOČAC - PODRUČNA ŠKOLA SINAC;PODRUČNA ŠKOLA SINAC;SINAC;459;287;286;277;9;29;63;95;3;1;82;4
09;LIČKO-SENJSKA ŽUPANIJA;grad;OTOČAC;017;OTOČAC - MJESNI DOM RAMLJANI;MJESNI DOM RAMLJANI;RAMLJANI;100;52;52;52;0;12;2;7;2;1;28;0
